species_name,subgroup,RDI.CA,RDI.FE,RDI.ZN,RDI.EPA,RDI.DHA,RDI.micro.tot,ID
Oreochromis niloticus,finfish,0.0,0.0,1.0,0.0,0.0,1.0,65
Amblypharyngodon mola,finfish,1.0,1.0,1.0,1.0,1.0,5.0,2
Portunus pelagicus,crustacean,0.0,0.0,1.0,0.0,0.0,1.0,79
Abramis brama,finfish,0.0,0.0,0.0,0.0,0.0,0.0,1
Mya spp,mollusc,0.0,0.0,1.0,0.0,0.0,1.0,54
Solea solea,finfish,0.0,1.0,0.0,0.0,0.0,1.0,95
Eleutheronema tetradactylum,finfish,0.0,0.0,0.0,0.0,0.0,0.0,25
Schizothorax richardsonii,finfish,1.0,0.0,0.0,1.0,1.0,3.0,91
Carcinus maenus,crustacean,0.0,0.0,1.0,1.0,1.0,3.0,9
Sander lucioperca,finfish,0.0,0.0,0.0,0.0,0.0,0.0,86
Ompok pabda,finfish,0.0,0.0,0.0,0.0,0.0,0.0,60
Oncorhynchus mykiss,finfish,0.0,0.0,0.0,1.0,1.0,2.0,62
Homarus gammarus,crustacean,0.0,0.0,0.0,0.0,0.0,0.0,32
Stenodus leucichthys,finfish,0.0,0.0,0.0,0.0,0.0,0.0,97
Portunus pelagicus,crustacean,0.0,0.0,1.0,0.0,0.0,1.0,79
Pollachius virens,finfish,0.0,0.0,0.0,0.0,0.0,0.0,77
Oncorhynchus mykiss,finfish,0.0,0.0,0.0,1.0,1.0,2.0,62
Thunnus alalunga,finfish,0.0,0.0,0.0,1.0,1.0,2.0,101
Mullus surmuletus,finfish,0.0,1.0,0.0,1.0,1.0,3.0,53
Coregonus clupeaformis,finfish,0.0,0.0,0.0,0.0,0.0,0.0,17
Octopus vulgaris,mollusc,0.0,0.0,0.0,0.0,0.0,0.0,59
Sarda sarda,finfish,0.0,1.0,0.0,1.0,0.0,2.0,87
Channa striata,finfish,0.0,0.0,0.0,0.0,0.0,0.0,12
Amblypharyngodon mola,finfish,1.0,1.0,1.0,1.0,1.0,5.0,2
Crassostrea rhizophorae,mollusc,0.0,0.0,1.0,0.0,0.0,1.0,20
Fenneropenaeus indicus,crustacean,1.0,1.0,1.0,1.0,1.0,5.0,27
Patagonotothen ramsayi,finfish,0.0,0.0,0.0,0.0,0.0,0.0,71
Psetta maxima,finfish,0.0,0.0,0.0,0.0,0.0,0.0,80
Eleutheronema tetradactylum,finfish,0.0,0.0,0.0,0.0,0.0,0.0,25
Anarhichas lupus,finfish,0.0,0.0,0.0,0.0,0.0,0.0,4
Microstomus pacificus,finfish,0.0,0.0,0.0,0.0,0.0,0.0,51
Schizothorax richardsonii,finfish,1.0,0.0,0.0,1.0,1.0,3.0,91
Puntius sophore,finfish,1.0,1.0,1.0,1.0,1.0,5.0,81
Neolissochilus hexagonolepis,finfish,1.0,0.0,0.0,1.0,1.0,3.0,57
Cipangopaludina chinensis,mollusc,1.0,0.0,1.0,0.0,0.0,2.0,14
Boreogadus saida,finfish,0.0,0.0,0.0,0.0,0.0,0.0,6
Pomacea canaliculata,mollusc,1.0,1.0,1.0,0.0,0.0,3.0,78
Salvelinus fontinalis,finfish,0.0,0.0,0.0,0.0,1.0,1.0,83
Sepia officinalis,mollusc,0.0,0.0,0.0,0.0,0.0,0.0,93
Amblypharyngodon mola,finfish,1.0,1.0,1.0,1.0,1.0,5.0,2
Melanogrammus aeglefinus,finfish,0.0,0.0,0.0,0.0,0.0,0.0,47
Microstomus pacificus,finfish,0.0,0.0,0.0,0.0,0.0,0.0,51
Aphanopus carbo,finfish,0.0,0.0,0.0,0.0,0.0,0.0,5
Loligo vulgaris,mollusc,0.0,1.0,0.0,0.0,1.0,2.0,45
Liza aurata,finfish,0.0,0.0,0.0,0.0,0.0,0.0,43
Pleuronectes platessa,finfish,0.0,0.0,0.0,0.0,0.0,0.0,76
Xiphias gladius,finfish,0.0,0.0,0.0,1.0,1.0,2.0,108
Perca flavescens,finfish,0.0,0.0,0.0,0.0,0.0,0.0,73
Thymallus arcticus,finfish,0.0,0.0,0.0,0.0,0.0,0.0,102
Pagellus bogaraveo,finfish,0.0,0.0,0.0,0.0,0.0,0.0,66
Salvelinus namaycush,finfish,0.0,0.0,0.0,0.0,1.0,1.0,84
Lampris guttatus,finfish,0.0,0.0,0.0,0.0,0.0,0.0,37
Oncorhyncus spp,finfish,0.0,0.0,0.0,0.0,0.0,0.0,64
Boreogadus saida,finfish,0.0,0.0,0.0,0.0,0.0,0.0,6
Theragra chalcogramma,finfish,0.0,0.0,0.0,0.0,0.0,0.0,100
Amblypharyngodon mola,finfish,1.0,1.0,1.0,1.0,1.0,5.0,2
Perca flavescens,finfish,0.0,0.0,0.0,0.0,0.0,0.0,73
Boreogadus saida,finfish,0.0,0.0,0.0,0.0,0.0,0.0,6
