species_name,subgroup,RDI.CA,RDI.FE,RDI.ZN,RDI.EPA,RDI.DHA,RDI.micro.tot,ID
Microstomus pacificus,finfish,0.0,0.0,0.0,0.0,0.0,0.0,51
Meretrix lusoria,mollusc,0.0,1.0,0.0,0.0,1.0,2.0,48
Merlangius merlangus,finfish,0.0,0.0,0.0,0.0,0.0,0.0,49
Boreogadus saida,finfish,0.0,0.0,0.0,0.0,0.0,0.0,6
Tilapia pra,finfish,1.0,0.0,0.0,0.0,0.0,1.0,103
Sardinella longiceps,finfish,1.0,1.0,1.0,1.0,1.0,5.0,89
Salvelinus namaycush,finfish,0.0,0.0,0.0,0.0,1.0,1.0,84
Anarhichas lupus,finfish,0.0,0.0,0.0,0.0,0.0,0.0,4
Leiognathus splendens,finfish,0.0,0.0,0.0,1.0,1.0,2.0,39
Cyprinus carpio,finfish,0.0,0.0,0.0,0.0,1.0,1.0,23
Sardinella fimbriata,finfish,0.0,0.0,0.0,0.0,1.0,1.0,88
Eleutheronema tetradactylum,finfish,0.0,0.0,0.0,0.0,0.0,0.0,25
Litopenaeus vannamei,crustacean,0.0,0.0,0.0,1.0,1.0,2.0,42
