number_of_targets,number_of_species,threshold
1.05,1.0,30
1.83,2.0,30
2.51,3.0,30
3.08,4.0,30
3.39,5.0,30
3.7,6.0,30
3.88,7.0,30
4.09,8.0,30
4.25,9.0,30
4.37,10.0,30
4.43,11.0,30
4.5,12.0,30
4.58,13.0,30
4.63,14.0,30
4.73,15.0,30
4.77,16.0,30
4.78,17.0,30
4.79,18.0,30
4.84,19.0,30
4.85,20.0,30
4.89,21.0,30
4.9,22.0,30
4.91,23.0,30
4.92,24.0,30
4.96,25.0,30
4.97,26.0,30
4.98,27.0,30
4.98,28.0,30
4.98,29.0,30
4.98,30.0,30
4.98,31.0,30
5.0,32.0,30
5.0,33.0,30
5.0,34.0,30
5.0,35.0,30
5.0,36.0,30
5.0,37.0,30
5.0,38.0,30
5.0,39.0,30
5.0,40.0,30
5.0,41.0,30
5.0,42.0,30
5.0,43.0,30
5.0,44.0,30
5.0,45.0,30
5.0,46.0,30
5.0,47.0,30
5.0,48.0,30
5.0,49.0,30
5.0,50.0,30
5.0,51.0,30
5.0,52.0,30
5.0,53.0,30
5.0,54.0,30
5.0,55.0,30
5.0,56.0,30
5.0,57.0,30
5.0,58.0,30
5.0,59.0,30
5.0,60.0,30
5.0,61.0,30
5.0,62.0,30
5.0,63.0,30
5.0,64.0,30
5.0,65.0,30
5.0,66.0,30
5.0,67.0,30
5.0,68.0,30
5.0,69.0,30
5.0,70.0,30
5.0,71.0,30
5.0,72.0,30
5.0,73.0,30
5.0,74.0,30
5.0,75.0,30
5.0,76.0,30
5.0,77.0,30
5.0,78.0,30
5.0,79.0,30
5.0,80.0,30
5.0,81.0,30
5.0,82.0,30
5.0,83.0,30
5.0,84.0,30
5.0,85.0,30
5.0,86.0,30
5.0,87.0,30
5.0,88.0,30
5.0,89.0,30
5.0,90.0,30
5.0,91.0,30
5.0,92.0,30
5.0,93.0,30
5.0,94.0,30
5.0,95.0,30
5.0,96.0,30
5.0,97.0,30
5.0,98.0,30
5.0,99.0,30
5.0,100.0,30
5.0,101.0,30
5.0,102.0,30
5.0,103.0,30
5.0,104.0,30
5.0,105.0,30
5.0,106.0,30
5.0,107.0,30
5.0,108.0,30
