number_of_targets,number_of_species,threshold
0.57,1.0,63
0.85,2.0,63
1.14,3.0,63
1.5,4.0,63
1.71,5.0,63
2.08,6.0,63
2.33,7.0,63
2.49,8.0,63
2.59,9.0,63
2.69,10.0,63
2.82,11.0,63
2.98,12.0,63
3.08,13.0,63
3.21,14.0,63
3.25,15.0,63
3.37,16.0,63
3.48,17.0,63
3.55,18.0,63
3.63,19.0,63
3.68,20.0,63
3.75,21.0,63
3.82,22.0,63
3.86,23.0,63
3.89,24.0,63
3.92,25.0,63
3.96,26.0,63
4.02,27.0,63
4.02,28.0,63
4.08,29.0,63
4.11,30.0,63
4.17,31.0,63
4.23,32.0,63
4.25,33.0,63
4.27,34.0,63
4.3,35.0,63
4.37,36.0,63
4.39,37.0,63
4.42,38.0,63
4.46,39.0,63
4.48,40.0,63
4.5,41.0,63
4.52,42.0,63
4.59,43.0,63
4.63,44.0,63
4.65,45.0,63
4.67,46.0,63
4.68,47.0,63
4.71,48.0,63
4.73,49.0,63
4.75,50.0,63
4.75,51.0,63
4.75,52.0,63
4.76,53.0,63
4.76,54.0,63
4.77,55.0,63
4.79,56.0,63
4.8,57.0,63
4.81,58.0,63
4.83,59.0,63
4.84,60.0,63
4.84,61.0,63
4.84,62.0,63
4.85,63.0,63
4.86,64.0,63
4.86,65.0,63
4.87,66.0,63
4.9,67.0,63
4.91,68.0,63
4.92,69.0,63
4.94,70.0,63
4.94,71.0,63
4.96,72.0,63
4.96,73.0,63
4.97,74.0,63
4.97,75.0,63
4.98,76.0,63
4.98,77.0,63
4.98,78.0,63
4.99,79.0,63
4.99,80.0,63
4.99,81.0,63
4.99,82.0,63
4.99,83.0,63
4.99,84.0,63
4.99,85.0,63
4.99,86.0,63
4.99,87.0,63
4.99,88.0,63
4.99,89.0,63
4.99,90.0,63
5.0,91.0,63
5.0,92.0,63
5.0,93.0,63
5.0,94.0,63
5.0,95.0,63
5.0,96.0,63
5.0,97.0,63
5.0,98.0,63
5.0,99.0,63
5.0,100.0,63
5.0,101.0,63
5.0,102.0,63
5.0,103.0,63
5.0,104.0,63
5.0,105.0,63
5.0,106.0,63
5.0,107.0,63
5.0,108.0,63
