page_id,level_1,level_2,common_name,latin_name,part,preparation,reference,ca_mg,zn_mg,fe_mg,protein_g,fat_g,fapun3,fapun_all_g,mn_mg,mg_mg,epa,dha,latin_name_cleaned,old_species1,cine_id,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,realm,source
6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,27,NA,NA,NA,17.1,9.1,NA,NA,NA,NA,NA,NA,Acipenser fulvescens,Acipenser fulvenscens,1,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,freshbrack,cine
6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,44,6.61,0.443,0.139,18.3,3.31,NA,NA,0.02,NA,NA,NA,Acipenser fulvescens,Acipenser fulvenscens,2,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,freshbrack,cine
6447,Fish,Searun Fish,Lake Sturgeon,Acipenser fulvenscens,muscle,raw,79,14,NA,1.5,16.8,10.8,NA,NA,NA,NA,NA,NA,Acipenser fulvescens,Acipenser fulvenscens,3,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,elongated,demersal,9,274,freshbrack,cine
6447,Fish,Searun Fish,Atlantic Sturgeon,Acipenser oxyrhyncus,muscle,raw,23,NA,NA,NA,NA,6,NA,2.1,NA,NA,1,0.5,Acipenser oxyrinchus,Acipenser oxyrhyncus,4,15.11111111111111,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.325,subtropical,elongated,demersal,46,403,freshbrackmarine,cine
6447,Fish,Searun Fish,Atlantic Sturgeon,Acipenser oxyrhyncus,muscle,raw,55,NA,NA,NA,NA,NA,NA,2.55,NA,NA,1.4,0.57,Acipenser oxyrinchus,Acipenser oxyrhyncus,5,15.11111111111111,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.325,subtropical,elongated,demersal,46,403,freshbrackmarine,cine
6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,muscle,raw,13,NA,0.42,NA,16.1,4.04,NA,0.69,0.025,NA,0.194,0.093,Acipenser spp.,Acipenser spp.,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,muscle,raw,55,NA,NA,NA,NA,7.2,2.29,NA,NA,NA,1.4,0.57,Acipenser spp.,Acipenser spp.,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,muscle,raw,27,NA,NA,NA,18.1,1.9,NA,NA,NA,NA,NA,NA,Acipenser spp.,Acipenser spp.,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6447,Fish,Searun Fish,Sturgeon,Acipenser spp.,eggs,raw,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acipenser spp.,Acipenser spp.,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6453,Fish,Searun Fish,Alewife,Alosa pseudoharengus,muscle,raw,55,NA,NA,NA,NA,3.49,0.51,NA,NA,NA,0.1,0.27,Alosa pseudoharengus,Alosa pseudoharengus,10,2.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.29,temperate,fusiform / normal,pelagic-neritic,145,40,freshbrackmarine,cine
