"latin_name","calcium","zinc","iron","epa","dha"
"Acipenser spp.",13,0.42,0.7,0.596,0.3315
"Alosa sapidissima",47,0.346667,0.86,1.09,1.32
"Anoplopoma fimbria",35,0.31,1.22667,0.575667,0.7
"Caridea and Caprellida",230,1.605,5.43167,0.2155,0.151
"Catostomus commersonii",50.4,0.6,0.8,0.154333,0.289
"Centropristes striata",40.48,0.32075,0.6815,0.1305,0.367
"Clupea harengus",44.4,0.8662,1.1,0.75725,1.14667
"Clupea pallasii",57.4,0.515,1.75333,0.9845,0.7
"Clupeinae and Alosinae",39.3333,1.09167,1.3525,4.075,2.795
"Coregonus artedi",17.4833,1.81,0.38,0.103333,0.341333
"Coregonus clupeaformis",23.5,1.42111,0.69875,0.2118,0.6
"Delphinapterus leucas",10.22,2.706,6.595,1.75857,2.04214
"Esox lucius",69.1094,1.5491,0.429727,0.0508,0.14775
"Gadidae",42.6667,0.724333,0.32,0.093,0.1155
"Gadiformes",29,0.71,0.364,0.09,0.215
"Gadus macrocephalus",8.5,0.35,0.23,0.0866667,0.1175
"Gadus morhua",15.5556,1.0265,1.22,0.955857,0.761375
"Hippoglossinae",17.3333,0.61,0.643333,0.1885,0.22
"Hippoglossus hippoglossus",15.5,0.4,0.5,0.2205,0.315
"Hippoglossus spp.",47,0.42,0.84,0.071,0.292
"Hippoglossus stenolepis",28,0.19,0.095,0.1,0.3
"Lota lota",44.9091,1.15182,0.9,0.393636,0.391333
"Melanogrammus aeglefinus",29.4,0.5076,0.8958,0.0745,0.163
"Mercenaria mercenaria<ca>",49,2.3,2.8,0.09,0.08
"Micropogonias undulatus",56,0.3855,0.976,0.1,0.1
"Microstomus pacificus",39.5,0.2,0.2,0.08,0.09
"Morone saxatillis",15,0.3425,0.826667,0.1845,0.5925
"Mugil cephalus",93,0.499,1.45,0.4,0.4
"Mya arenaria",53,1.7,40.5,0.2,0.2
"Mytilidae",101,3.63,17,0.13,0.17
"Mytilus edulis",42.75,2.39167,8.11667,0.1605,0.19
"Oncorhynchus and Salmo spp.",22.6,1.1,1.24,2.8,6.2
"Oncorhynchus gorbuscha",13,0.5375,0.873333,0.412667,0.590667
"Oncorhynchus keta",11.2857,0.756,0.525,0.288667,0.462667
"Oncorhynchus kisutch",46.5,0.4075,1.0675,2.9712,5.06075
"Oncorhynchus mykiss",52.2222,2.805,1.71033,0.260167,0.816667
"Oncorhynchus nerka",36.8571,0.57,0.684286,0.7276,1.2492
"Oncorhynchus tshawytscha",24.5714,0.57,1.22125,0.7648,0.578
"Ophiodon elongatus",26.8,0.293333,0.642,0,0
"Osmerus mordax",67,1.725,0.82,0.1975,0.18
"Pleuronectinae",23.5,0.78,0.55,0.159,0.113
"Pleuronectinae and Cynoglossinae",46,0.229,0.685333,0.1465,0.0963333
"Pollachius virens",60,0.47,0.46,0.071,0.35
"Pomatomus saltatrix",40.6333,0.79575,1.8824,0.326,0.612667
"Pseudopleuronectes americanus",13.1,0.397,0.1015,0.07,0.12
"Pusa hispida",17.9421,4.78333,16.0824,1.46022,0.078
"Reinhardtius hippoglossoides",10.6,0.4,0.6425,0.658667,0.635
"Salmo salar",15.575,0.67,0.80625,0.367667,1.184
"Salvelinus alpinus",39.1667,2.07909,1.67692,0.626667,0.496667
"Salvelinus fontinalis",29.26,0.6862,0.6652,0.137333,0.2
"Salvelinus namaycush",18.5,1.88125,1.166,0.224,1.1
"Salvelinus spp., Oncorhynchus spp., Salmo salar",33.9,0.5585,0.96025,0.201,0.528
"Scomber scombrus",10.3333,0.49225,1.215,1.137,2.0825
"Scomber spp.",23,0.519,1.2045,1.45,2.16
"Sebastes norvegicus",101.667,0.6915,0.734333,0.093,0.0715
"Sebastes pinniger",9,0.4,0.4,0.2,0.3
"Sebastes spp.",12,0.3385,0.53,0.2565,0.3595
"Sepiolida and Teuthida",40,1.76917,1.945,0.13875,0.337
"Sparidae",40.6,0.772,0.697,0.13,0.15075
"Squaliformes",38.6667,0.43,1.02667,0.316,0.5135
"Squalus acanthias",11,0.613,1.25,0.7,1.2
"Stenodus leucichthys",55.3333,0.45,0.366667,0.185,0.32
"Stenodus spp., Coegonus spp., Prosopium spp.",117,0.822,0.386,0.27425,0.791667
"Thaleichthys pacificus",194.829,1.3,1.13333,0.12,0.18
"Theragra chalcogramma",5,0.44,0.23,0.15,0.222
"Theragra chalcogramma and Pollachius virens",43.6667,0.385,0.425,0.09,0.196667
"Thunnus spp.",8.5,0.426667,1.305,0.3415,0.993333
"Thymallus arcticus",273.837,0.7,1,0.1,0.1
"Veneroida, Myoida, and Ostreoida",52.5429,1.924,10.4371,0.112667,0.082
