Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,nutrient,concentration,reference,abs_lat,seanuts_id2,subgroup,source,part,page_id,level_1,level_2,realm,part_corr,common_name,latin_name,preparation,ca_mg,zn_mg,fe_mg,protein_g,fat_g,fapun3,fapun_all_g,mn_mg,mg_mg,epa,dha,latin_name_cleaned,old_species1,cine_id
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,fapun3,0.25122,"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76",41.53,288,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle-skinless,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,protein_g,18.999999999999996,"Lazos E.S., Aggelousis G., Alexakis A. (1989). Metal and proximate composition of the edible portion of 11 freshwater fish species. Journal of Food Composition and Analysis 2: 371-381",41.53,131,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle-skinless,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,protein_g,19.999999999999996,"Lazos E.S., Aggelousis G., Alexakis A. (1989). Metal and proximate composition of the edible portion of 11 freshwater fish species. Journal of Food Composition and Analysis 2: 371-381",41.53,134,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle-skinless,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,epa,0.09322000000000001,"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76",41.53,288,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle-skinless,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,dha,0.12087,"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76",41.53,288,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle-skinless,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,ca_mg,53.00000000000001,"Lazos E.S., Aggelousis G., Alexakis A. (1989). Metal and proximate composition of the edible portion of 11 freshwater fish species. Journal of Food Composition and Analysis 2: 371-381",41.53,131,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle-skinless,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,ca_mg,52.00000000000001,"Lazos E.S., Aggelousis G., Alexakis A. (1989). Metal and proximate composition of the edible portion of 11 freshwater fish species. Journal of Food Composition and Analysis 2: 371-381",41.53,134,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle-skinless,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,ca_mg,20.92,"Łuczyńska J., Tońska E., Łuczyński M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178",54.00394,193,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,ca_mg,12.110000000000001,"Łuczyńska J., Tońska E., Łuczyński M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178",54.117096,231,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,ca_mg,11.600000000000001,"Łuczyńska J., Tońska E., Łuczyński M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178",54.084241,237,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,ca_mg,11.459999999999999,"Łuczyńska J., Tońska E., Łuczyński M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178",54.117096,240,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,fat_g,1.4,"Lazos E.S., Aggelousis G., Alexakis A. (1989). Metal and proximate composition of the edible portion of 11 freshwater fish species. Journal of Food Composition and Analysis 2: 371-381",41.53,131,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle-skinless,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,fat_g,0.7,"Lazos E.S., Aggelousis G., Alexakis A. (1989). Metal and proximate composition of the edible portion of 11 freshwater fish species. Journal of Food Composition and Analysis 2: 371-381",41.53,134,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle-skinless,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,fat_g,6.4,"Ostermeyer U., Schmidt T. (2006). Vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413",53.875369,287,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle-skinless,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,fat_g,6.4,"Ostermeyer U., Schmidt T. (2006). vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413",53.875369,287,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle-skinless,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,fat_g,1,"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76",41.53,288,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle-skinless,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,zn_mg,1,"Lazos E.S., Aggelousis G., Alexakis A. (1989). Metal and proximate composition of the edible portion of 11 freshwater fish species. Journal of Food Composition and Analysis 2: 371-381",41.53,131,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle-skinless,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,zn_mg,0.9,"Lazos E.S., Aggelousis G., Alexakis A. (1989). Metal and proximate composition of the edible portion of 11 freshwater fish species. Journal of Food Composition and Analysis 2: 371-381",41.53,134,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle-skinless,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,zn_mg,0.373252,"Łuczyńska J., Tońska E., Łuczyński M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178",54.00394,193,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,zn_mg,0.36618,"Łuczyńska J., Tońska E., Łuczyński M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178",54.117096,231,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,zn_mg,0.39294,"Łuczyńska J., Tońska E., Łuczyński M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178",54.084241,237,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,zn_mg,0.372708,"Łuczyńska J., Tońska E., Łuczyński M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178",54.117096,240,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,fe_mg,0.6,"Lazos E.S., Aggelousis G., Alexakis A. (1989). Metal and proximate composition of the edible portion of 11 freshwater fish species. Journal of Food Composition and Analysis 2: 371-381",41.53,131,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle-skinless,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,fe_mg,0.7,"Lazos E.S., Aggelousis G., Alexakis A. (1989). Metal and proximate composition of the edible portion of 11 freshwater fish species. Journal of Food Composition and Analysis 2: 371-381",41.53,134,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle-skinless,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,fe_mg,0.21,"Łuczyńska J., Tońska E., Łuczyński M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178",54.00394,193,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,fe_mg,0.19,"Łuczyńska J., Tońska E., Łuczyński M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178",54.117096,231,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,fe_mg,0.17,"Łuczyńska J., Tońska E., Łuczyński M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178",54.084241,237,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,fusiform / normal,benthopelagic,NA,82,fe_mg,0.18000000000000002,"Łuczyńska J., Tońska E., Łuczyński M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178",54.117096,240,finfish,seanuts,muscle,NA,NA,NA,freshbrack,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albatrossia pectoralis,5.666666666666667,mainly animals (troph. 2.8 and up),variable,3.86,deep-water,elongated,bathydemersal,3500,210,fapun_all_g,0.06207205899999999,"Oliveira A.C.M., Bechtel P.J. (2005). Lipid analysis of fillets from giant grenadier (Albatrossia pectoralis), arrow-tooth flounder (Atheresthes stomias), pacivic cod (Gadus macrocephalus) and walleye pollock (Theragra chalcogramma). Journal of Muscle Foods 17:20-33",57.79,291,finfish,seanuts,muscle,NA,NA,NA,marine,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albatrossia pectoralis,5.666666666666667,mainly animals (troph. 2.8 and up),variable,3.86,deep-water,elongated,bathydemersal,3500,210,fapun3,0.056094173000000004,"Oliveira A.C.M., Bechtel P.J. (2005). Lipid analysis of fillets from giant grenadier (Albatrossia pectoralis), arrow-tooth flounder (Atheresthes stomias), pacivic cod (Gadus macrocephalus) and walleye pollock (Theragra chalcogramma). Journal of Muscle Foods 17:20-33",57.79,291,finfish,seanuts,muscle,NA,NA,NA,marine,muscle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
