species1,ca_mg,zn_mg,fe_mg,epa,dha,Length,bulk_trophic_level,feeding_mode,feeding_level,AgeMatMin,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep
Anarhichas lupus,6.800000000000001,0.78,0.15,0.16104126866666668,0.14857718,149.99999999999997,3.73,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),6,temperate,elongated,demersal,600
Aphanopus carbo,12.95,0.385,0.10000000000000002,0.045188149999999996,0.13160337500000002,110.00000000000004,4.48,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3,deep-water,eel-like,bathypelagic,2300
Channa striata,91.76666666666665,0.715,0.4033333333333333,0.005620824000000001,0.08419735175,100.00000000000004,3.36,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),2,tropical,elongated,benthopelagic,10
Cyclopterus lumpus,8.650000000000002,0.8865000000000001,0.40499999999999997,1.6074609933333333,1.6662046273333333,61.00000000000001,3.64,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3,polar,short and / or deep,benthopelagic,868
Esox lucius,75.99999999999997,0.7806734444444444,1.2261,0.049509643000000006,0.1871504904,137.00000000000003,4.400000095,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3,subtropical,elongated,demersal,30
Gadus macrocephalus,11.8,0.38393333333333335,0.18,0.054679898000000005,0.144061265,100.00000000000004,4.37,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),5,boreal,fusiform / normal,demersal,1280
Gadus morhua,8.699999999999998,0.3400000000000001,0.12000000000000001,0.048041454500000004,0.12249686700000001,194.16666669999995,4.29,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),2,temperate,fusiform / normal,benthopelagic,600
Isurus oxyrinchus,12,0.4,1.2,0.0253916,0.205086,391.9999999999999,4.32,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),7,subtropical,fusiform / normal,pelagic-oceanic,750
Lamna nasus,10.000000000000002,0.4,1.8,0.031027099999999995,0.288873,277,4.36,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),5,boreal,fusiform / normal,pelagic-oceanic,1360
Melanogrammus aeglefinus,7.800000000000002,0.29,0.11000000000000001,0.054158488333333324,0.12367719833333334,99.14285713999998,3.56,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),5,temperate,fusiform / normal,demersal,450
Merlangius merlangus,59.13169999999999,1.35225,5.224675,0.04605189,0.1720236,57.00000000000001,3.57,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3,temperate,fusiform / normal,benthopelagic,200
Merluccius productus,9.8,0.35105,0.25,0.06946741900000002,0.118810272,74.99999999999997,3.9800000190000002,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),3.8,temperate,elongated,pelagic-neritic,1000
Microstomus pacificus,14.533333333333333,0.3887666666666667,0.21333333333333335,0.07999999999999999,0.08999999999999998,62.00000000000001,3.34,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),5.5,temperate,short and / or deep,demersal,1370
