Food Item ID,Food Item ID,Subgroup,"Country, region",Type,ISSCAAP,3_alpha,Food name in own language,Food name in English,Processing,Scientific name,ASFIS English name,ASFIS Scientific name,Season,Other,n,Comments on data processing/methods,Publication year,BiblioID,Compiler,Latest revision in version,CA(mg),FE(mg),ZN(mg),F20D5N3(g),F22D6N3(g),AS(mcg),CD(mcg),HG(mcg),PB(mcg)
0901309,0901309,Finfish,Unknown (samples from Istanbul local fish market),,37,HOM,,"Horse mackerel, muscle fillet, raw",r,Trachurus trachurus,Atlantic horse mackerel,Trachurus trachurus,,,1,,2010,fi3,DR,1.0,,,,,,,,,
0901339,0901339,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",,13,MDI,Barbado,"Flatwhiskered catfish, wild, skinless, boneless fillets, raw",r,Pinirampus pinirampu,Flatwhiskered catfish,Pinirampus pinirampu,,,,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,,,,0.284944427,0.682588052,,,,
0901340,0901340,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",,11,FCP,Carpa,"Common carp, wild, skinless, boneless fillets, raw",r,Cyprinus carpio,Common carp,Cyprinus carpio,,,,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,,,,,0.014040524,,,,
0901341,0901341,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",,13,,Cascudo abacaxi,"wild, skinless, boneless fillets, raw",r,Megaloancistrus aculeatus,,Loricariidae,,,,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,,,,,0.022009598,,,,
0901342,0901342,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",,13,DPG,Cascudo cachorro,"Granulated catfish, wild, skinless, boneless fillets, raw",r,Pterodoras granulosus,Granulated catfish,Pterodoras granulosus,,,,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,,,,,0.327263527,,,,
0901343,0901343,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",,33,LGQ,Corvina,"South American silver croaker, wild, skinless, boneless fillets, raw",r,Plagioscion squamosissimus,South American silver croaker,Plagioscion squamosissimus,,,,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,,,,0.058739117,0.052228263,,,,
0901344,0901344,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",,13,PLL,Curimba,"Streaked prochilod, wild, skinless, boneless fillets, raw",r,Prochilodus lineatus,Streaked prochilod,Prochilodus lineatus,,,,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,,,,0.040009546,0.188807397,,,,
0901345,0901345,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",,13,SXU,Dourado,"Dorado, wild, skinless, boneless fillets, raw",r,Salminus maxillosus,Dorado,Salminus maxillosus,,,,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,,,,0.032706129,0.048411624,,,,
0901346,0901346,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",,13,HBY,Jurupoca,"wild, skinless, boneless fillets, raw",r,Hemisorubim plathyrhinchos,,Hemisorubim platyrhynchos,,,,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,,,,,0.397990409,,,,
0901348,0901348,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",,13,CSO,Pacu,"Pirapatinga, wild, skinless, boneless fillets, raw",r,Colossoma mitrei,Pacu,Piaractus mesopotamicus,,,,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,,,,0.235237848,,,,,
0901349,0901349,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",,13,,Piapara,"wild, skinless, boneless fillets, raw",r,Leporinus elongatus,,Anostomidae,,,,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,,,,,0.081477796,,,,
0901350,0901350,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",,13,LPD,Piau,"wild, skinless, boneless fillets, raw",r,Leporinus friderici,,Leporinus friderici,,,,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,,,,0.031878146,0.103566489,,,,
0901351,0901351,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",,13,UDC,Pintado,"Spotted sorubim, wild, skinless, boneless fillets, raw",r,Pseudoplatystoma corruscans,Spotted sorubim,Pseudoplatystoma corruscans,,,,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,,,,0.045230278,0.079957398,,,,
0901352,0901352,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",,13,,Piranha,"wild, skinless, boneless fillets, raw",r,Serrasalmus marginatus,,Characidae,,,,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,,,,0.005896797,0.018318792,,,,
0901353,0901353,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",,12,TLN,Tilápia,"Nile tilapia, wild, skinless, boneless fillets, raw",r,Oreochromis niloticus,Nile tilapia,Oreochromis niloticus,,,,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,,,,0.050246702,0.023938598,,,,
0901354,0901354,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",,13,,Traíra,"wild, skinless, boneless fillets, raw",r,Hoplias malabaricus,,Erythrinidae,,,,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,,,,0.00661606,0.007100303,,,,
0901355,0901355,Finfish,"Brazil (samples from fish markets in Maringá, Paraná, Brazil)",,23,TRO,Truta,"wild, skinless, boneless fillets, raw",r,Salmus sp.,Trouts nei,Salmo spp,,,,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,,,,0.098050685,0.691720662,,,,
0901367,0901367,Finfish,"Sri Lanka, Ibbagamuwa, Bathalagoda tank",,12,TLM,,"Tilapia, wild, boneless flesh, raw",r,Oreochromis mossambicus,Mozambique tilapia,Oreochromis mossambicus,,"mean length and weight of fish: 11.4cm, 59.2g",,,1996,fi24,DR,1.0,47.3,0.2,,,,,,,
0901368,0901368,Finfish,"Sri Lanka, Nikaweratiya, Magala tank",,13,FSS,Lulla (Sinhala)/Viral (Tamil),"Snakehead, wild, boneless flesh, raw",r,Ophicephalus striatus,Striped snakehead,Channa striata,,"mean length and weight of fish: 24.6cm, 112.0g",,,1996,fi24,DR,1.0,108.3,0.5,,,,,,,
0901369,0901369,Finfish,"Sri Lanka, Ibbagamuwa, Bathalagoda tank",,13,GOU,Weligouva (Sinhal)/Uluvai (Tamil),"Goby, wild, boneless flesh, raw",r,Glossogobius giurias,Tank goby,Glossogobius giurias,,"mean length and weight of fish: 18.0cm, 37.2g",,,1996,fi24,DR,1.0,[336.6],[1.3],,,,,,,
0901370,0901370,Finfish,Unknown (samples obtained from local fish market in Adana),,33,GPW,,"Waker, muscle tissue, raw",r,Epinephelus aeneus,Waker,Epinephelus aeneus,,,,FA converted using XFA,2007,fi34,DR,1.0,,,,0.078408126,0.26692128,,,,
0901371,0901371,Finfish,Unknown (samples obtained from local fish market in Adana),,34,GUU,,"Tub gurned, muscle tissue, raw",r,Trigla lucerna,Tub gurnard,Chelidonichthys lucerna,,,,FA converted using XFA,2007,fi34,DR,1.0,,,,0.073189662,0.2278799,,,,
0901372,0901372,Finfish,Unknown (samples obtained from local fish market in Adana),,32,WHG,,"Whitting, muscle tissue, raw",r,Merlangius merlangus,Whiting,Merlangius merlangus,,,,FA converted using XFA,2007,fi34,DR,1.0,,,,0.06181878,0.2754012,,,,
0901373,0901373,Finfish,Unknown (samples obtained from local fish market in Adana),,37,MAC,,"Mackerel, muscle tissue, raw",r,Scomber scombrus,Atlantic mackerel,Scomber scombrus,,,,FA converted using XFA,2007,fi34,DR,1.0,,,,0.044521872,0.33062656,,,,
0901374,0901374,Finfish,Unknown (samples obtained from local fish market in Adana),,37,BLU,,"Blue fish, muscle tissue, raw",r,Pomatomus saltator,Bluefish,Pomatomus saltatrix,,,,FA converted using XFA; FAPUN6 calculated (sum of individual FA n-6),2007,fi34,DR,1.0,,,,0.034770855,0.28855813,,,,
0901375,0901375,Finfish,Unknown (samples obtained from local fish market in Adana),,33,SBG,,"Sea bream, muscle tissue, raw",r,Sparus auratus,Gilthead seabream,Sparus aurata,,,,FA converted using XFA,2007,fi34,DR,1.0,,,,0.77355374,1.9881588,,,,
0901376,0901376,Finfish,Unknown (samples obtained from local fish market in Adana),,33,BSS,,"Sea bass, muscle tissue, raw",r,Dicentrarchus labrax,European seabass,Dicentrarchus labrax,,,,FA converted using XFA,2007,fi34,DR,1.0,,,,0.187761132,0.39317502,,,,
0901377,0901377,Finfish,Unknown (samples obtained from local fish market in Adana),,33,SRI,,"Marbled spinefoot, muscle tissue, raw",r,Siganus rivulatus,Marbled spinefoot,Siganus rivulatus,,,,FA converted using XFA,2007,fi34,DR,1.0,,,,0.042690769,0.11535381,,,,
0901392,0901392,Finfish,Unknown,,11,FCP,,"Carp, muscle tissue, raw",r,Cyprinus carpio,Common carp,Cyprinus carpio,Jun-Jul 1995,"mature, female fish; weight: 3500g",1,,2008,fi41,DR,1.0,,,,,,,,,
0901393,0901393,Finfish,Unknown,,11,BIC,,"Bighead carp, muscle tissue, raw",r,Aristichthys nobilis,Bighead carp,Hypophthalmichthys nobilis,Jun-Jul 1995,"mature, female fish; weight: 7000g",1,,2008,fi41,DR,1.0,,,,,,,,,
0901394,0901394,Finfish,Unknown,,13,FPI,,"Pike, muscle tissue, raw",r,Esox lucius,Northern pike,Esox lucius,Mar-Apr 1995,"mature, female fish; weight: 1500g",1,,2008,fi41,DR,1.0,,,,,,,,,
0901395,0901395,Finfish,New Zealand,W,38,CAH,,"Elephant fish, wild, skinless fillet, frozen",r,,"Elephantfishes, etc. nei",(Callorhinchidae),Jan 1985,"mean length and weight of fish: 67cm, 2407g",1,,1985,fi42,DR,1.0,,,,,,,,,
0901398,0901398,Finfish,Unknown,,11,FCY,Shir-bot,"Barb, fillet, raw",r,Barbus grypsus,,Cyprinidae,,,,PRO-/FAT- (analyzed according to AOAC 2000),2008,fi44,DR,1.0,,,,,,,,,
0901399,0901399,Finfish,Unknown,,11,FCY,Berzem,"Barb, fillet, raw",r,Barbus barbilus,,Cyprinidae,,,,PRO-/FAT- (analyzed according to AOAC 2000),2008,fi44,DR,1.0,,,,,,,,,
0901400,0901400,Finfish,Unknown,,11,FCP,Capoor,"Common carp, fillet, raw",r,Cyprinus carpio,Common carp,Cyprinus carpio,,,,PRO-/FAT- (analyzed according to AOAC 2000),2008,fi44,DR,1.0,,,,,,,,,
0901401,0901401,Finfish,Unknown,,23,TRS,Ghezel-ala,"Sea trout, fillet, raw",r,Salmo trutta,Sea trout,Salmo trutta,,,,PRO-/FAT- (analyzed according to AOAC 2000),2008,fi44,DR,1.0,,,,,,,,,
0901402,0901402,Finfish,Unknown,,35,ANE,,"Anchovy, skinless fillet, raw",r,Engraulis encrasicolus,European anchovy,Engraulis encrasicolus,,,1,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in consumers of fish and shellfish from France. Science of the Total Environment 407:1875-1885.",2008,fi45,DR,1.0,,,,0.701,1.365,,,,
0901403,0901403,Finfish,Unknown,,32,COD,,"Cod, skinless fillet, raw/frozen",r,Gadus morhua,Atlantic cod,Gadus morhua,,,4,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,DR,1.0,,,,0.028,0.075,,,,
0901404,0901404,Finfish,Unknown,,22,ELE,,"Eel, skinless fillet, raw",r,Anguilla anguilla,European eel,Anguilla anguilla,,,1,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,DR,1.0,,,,0.432,0.716,,,,
0901405,0901405,Finfish,Unknown,,34,ORY,,"Emperor, skinless fillet, raw/frozen",r,Hoplostethus atlanticus,Orange roughy,Hoplostethus atlanticus,,,3,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,DR,1.0,,,,0.471,0.742,,,,
0901406,0901406,Finfish,Unknown,,23,RNG,,"Grenadier, skinless fillet, raw/frozen",r,Coryphaenoides rupestris,Roundnose grenadier,Coryphaenoides rupestris,,,4,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,DR,1.0,,,,0.041,0.078,,,,
0901407,0901407,Finfish,Unknown,,32,HAD,,"Haddock, skinless fillet, raw",r,Melanogrammus aeglefinus,Haddock,Melanogrammus aeglefinus,,,2,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,DR,1.0,,,,0.018,0.06,,,,
0901408,0901408,Finfish,Unknown,,32,HKE,,"Hake, skinless fillet, raw/frozen",r,Merluccius merluccius,European hake,Merluccius merluccius,,,4,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,DR,1.0,,,,0.028,0.123,,,,
0901409,0901409,Finfish,Unknown,,34,JOD,,"John dory, skinless fillet, raw/frozen",r,Zeus faber,John dory,Zeus faber,,,2,"FA: tr means under the LOQ (0.1 g/100 g total lipids); FAPUN3 and FAPUN6 calc. (sum of individual FA n-3, n-6); Scientific names of species taken from: Sirot V, Guerin T, Volatier J.-L., Leblanc J.-C. (2008). Dieteary exposure and biomarkers of arsenic in",2008,fi45,DR,1.0,,,,0.032,0.156,,,,
