ref_info,ref_number,Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,notes
"A. Fuentes, I. FernÍçndez-Segovia *, I. Escriche, J.A. Serra. Comparison of physico-chemical parameters and composition of mussels (Mytilus galloprovincialis Lmk.) from different Spanish originsFood Chemistry 112 (2009) 295_„_302",1,"Fuentes, A; Fern_ndez-Segovia, I; Escriche, I; Serra, JA; ",Comparison of physico-chemical parameters and composition of mussels (Mytilus galloprovincialis Lmk.) from different Spanish origins,Food Chemistry,112,2,295-302,2009,Elsevier,
"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76",2,"Aggelousis, George; Lazos, Evangelos S; ",Fatty acid composition of the lipids from eight freshwater fish species from Greece,Journal of food Composition and Analysis,4,1,68-76,1991,Elsevier,
"Alasalvar C., Taylor K.D.A., Yubcov E., Shahidi F., Alexis M. (2002). Differentiation of cultured and wild sea bass (Dicentrarchus labrax): total lipid content, fatty acid and trace mineral composition. Food Chemistry 79: 145-150",3,"Alasalvar, C; Taylor, KDA; Zubcov, E; Shahidi, F; Alexis, M; ","Differentiation of cultured and wild sea bass (Dicentrarchus labrax): total lipid content, fatty acid and trace mineral composition",Food chemistry,79,2,145-150,2002,Elsevier,
"ÍÅlvarez V., Medina I., Prego R., Aubourg S.P. (2009). Lipid and mineral distribution in different zones of farmed and wild blackspot seabream (Pagellus bogaraveo). Eur. J. Lipid Sci. Technol. 111: 957-966",4,"çlvarez, Victoria; Medina, Isabel; Prego, Ricardo; Aubourg, Santiago P; ",Lipid and mineral distribution in different zones of farmed and wild blackspot seabream (Pagellus bogaraveo),European Journal of Lipid Science and Technology,111,10,957-966,2009,Wiley Online Library,
"Andrade A.D., Rubira A.F., Matsushita M., Souza N.E. (1995). –_3 fatty acids in freshwater fish from South Brazil. JAOCS 72(10): 1207-1210",5,"Andrade, AD; Rubira, AF; Matsushita, M; Souza, NE; ",_3 fatty acids in freshwater fish from south brazil,Journal of the American Oil Chemistsê Society,72,10,1207-1210,1995,Springer,
"Anthony, Jane E., et al. ""Yields, proximate composition and mineral content of finfish and shellfish.""‘_Journal of Food Science‘_48.1 (1983): 313-314.",6,"Anthony, J. E., Hadgis, P. N., Milam, R. S., Herzfeld, G. A., Taper, L. J., & Ritchey, S. J.","Yields, proximate composition and mineral content of finfish and shellfis",Journal of Food Science,48,1,313-314,1983,Wiley Online Library,
"Anto êÅ nio Marques a,*, Ba êÅ rbara Teixeira a, Sara Barrento a, PatrÑ± êÅcia Anacleto a, Maria LuÑ± êÅsa Carvalho b, Maria Leonor Nunes. Chemical composition of Atlantic spider crab Maja brachydactyla: Human health implications. Journal of Food Composition and Analysis 2010",7,"Marques, Ant‹nio; Teixeira, B_rbara; Barrento, Sara; Anacleto, Patrêcia; Carvalho, Maria Luêsa; Nunes, Maria Leonor; ",Chemical composition of Atlantic spider crab Maja brachydactyla: Human health implications,Journal of Food Composition and Analysis,23,3,230-237,2010,Elsevier,
"Appavoo et al, 1991",8,"Appavoo, Donna M; Kubow, Stan; Kuhnlein, Harriet V; ",Lipid composition of indigenous foods eaten by the Sahtu (Hareskin) Dene-Metis of the Northwest Territories,Journal of Food Composition and Analysis,4,2,107-119,1991,Elsevier,
"Bachok Z., Meziane T., Mfilinge P.L., Tsuchiaya M. (2009). Fatty acid markers as an indicator for temporal changes in food sources of the bivalve Quidnipagus palatum. Aquatic Ecosystem Health Management 12: 390-400",9,"Bachok, Zainudin; Meziane, Tarik; Mfilinge, Prosper L; Tsuchiya, Makoto; ",Fatty acid markers as an indicator for temporal changes in food sources of the bivalve Quidnipagus palatum,Aquatic Ecosystem Health & Management,12,4,390-400,2009,Taylor & Francis,
"Balogun A.M., Akegbejo - Samsons Y. (1992). Waste Yield, Proximate and Mineral Composition of Shrimp Resources of Nigeria's Costal Waters. Bioresource Technology. 40:157 - 161",10,"Balogun, Adebisi M; Akegbejo-Samsons, Yemi; ","Waste yield, proximate and mineral composition of shrimp resources of Nigeria's Coastal Waters",Bioresource Technology,40,2,157-161,1992,Elsevier,
"Bandarra N.M., Batista I., Nunes M.L. (2009). Chemical composition and nutritional value of raw and cooked black scabbardfish (Aphanopus carbo). Scientia Marina 73(S2): 105-113",11,"Bandarra, Narcisa Maria; Batista, Irineu; Nunes, Mari Leonor; ",Chemical composition and nutritional value of raw and cooked black scabbardfish (Aphanopus carbo),Scientia Marina,73,S2,105-113,2009,,
"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539",12,"Bandarra, Narcisa M; Batista, Irineu; Nunes, Maria L; Empis, Jos_ M; ",Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus),European Food Research and Technology,212,5,535-539,2001,Springer,
"Barrento S., Marques A., Teixeira B., Vaz-Pires P., Carvalho M.L., Nunes M.L. (2008). Essential elements and contaminants in edible tissues of European and American lobsters. Food Chemistry 111: 862-867",13,"Barrento, Sara; Marques, Antãnio; Teixeira, Börbara; Vaz-Pires, Paulo; Carvalho, Maria Luêsa; Nunes, Maria Leonor; ",Essential elements and contaminants in edible tissues of European and American lobsters,Food chemistry,111,4,862-867,2008,Elsevier,
"Barrento S., Marques A., Teixeira B., Vaz-Pires P., Nunes M.L. (2009). Nutritional Quality of the edible tissues of Euripean Lobster Homarus gammarus and American Lobster Homarus Americanus. Journal of Agricultural and Food Chemistry 57: 3645 - 3652",14,"Barrento, Sara; Marques, Antonio; Teixeira, Barbara; Vaz-Pires, Paulo; Nunes, Maria Leonor; ",Nutritional quality of the edible tissues of European lobster Homarus gammarus and American lobster Homarus americanus,Journal of agricultural and food chemistry,57,9,3645-3652,2009,ACS Publications,
"Barrento, Sara, et al. ""Essential elements and contaminants in edible tissues of European and American lobsters.""‘_Food chemistry‘_111.4 (2008): 862-867.",15,"Barrento, Sara; Marques, Antonio; Teixeira, Barbara; Vaz-Pires, Paulo; Nunes, Maria Leonor; ",Nutritional quality of the edible tissues of European lobster Homarus gammarus and American lobster Homarus americanus,Journal of agricultural and food chemistry,57,9,3645-3652,2009,ACS Publications,
"Belinsky D.L., Kuhnlein H.V., Yeboah F., Penn A.F., Chan H.M. (1996) Composition of fish consumed by the James Bay Cree.J Food Comp Anal 9: 148-162",16,"Belinsky, DL; Kuhnlein, HV; Yeboah, F; Penn, AF; Chan, HM; ",Composition of fish consumed by the James Bay Cree,Journal of Food Composition and Analysis,9,2,148-162,1996,Elsevier,
