Food Item ID	Code	Subgroup	"Country, region"	Type	ISSCAAP	3_alpha	Food name in own language	Food name in English	Processing	Scientific name	ASFIS English name	ASFIS Scientific name	Season	Other	n	Comments on data processing/methods	Publication year	BiblioID	PROTCNT(g)	PROTCNP(g)	PROT-(g)	FAT(g)	FATCE(g)	FAT-(g)	CA(mg)	FE(mg)	F20D5N3(g)	F22D6N3(g)	ZN(mg)	AS(mcg)	CD(mcg)	HG(mcg)	PB(mcg)
900001	900001	Finfish	"Thailand, main rivers (Chaopraya, Bangprakong, Mae-klong, Thajean)"	W	11	PTG	Pla Ta-pien	"Common silver barb, wild, muscle fillet, raw"	r	Puntius gonionotus	silver barb	Barbonymus goniontus	May-Oct		1	NNP calc. as % of TN	1999	fi2	17.9				7.4										
900004	900004	Finfish	"Thailand, main rivers (Chaopraya, Bangprakong, Mae-klong, Thajean)"	W	12	TLN	Pla Nil	"Nile Tilapia, wild, muscle fillet, raw"	r	Oreochromis niloticus	Nile Tilapia	Oreochromis niloticus	May-Oct		1	NNP calc. as % of TN	1999	fi2	19.8				1.8										
900007	900007	Finfish	"Thailand, main rivers (Chaopraya, Bangprakong, Mae-klong, Thajean)"	W	13	PGS	Pla Sa-waai	"Striped catfish, wild, muscle fillet, raw"	r	Pangasius sutchi	Striped catfish	Pangasius hypophthalamus	May-Oct		1	NNP calc. as % of TN	1999	fi2	17				8.9										
900010	900010	Finfish	"Thailand, main rivers (Chaopraya, Bangprakong, Mae-klong, Thajean)"	W	13	CMC	Pla Duk-oui	"Walking catfish, wild, muscle fillet, raw"	r	Clarias macrocephalus	Bighead catfish	Clarias macrocephalus	May-Oct		1	NNP calc. as % of TN	1999	fi2	17.8				14.7										
900014	900014	Finfish	"Thailand, main rivers (Chaopraya, Bangprakong, Mae-klong, Thajean)"	W	13	FSS	Pla Chon	"Striped snake-head fish, wild, muscle fillet, raw"	r	Channa striatus	Striped snake-head	Channa striata	May-Oct		1	NNP calc. as % of TN	1999	fi2	19.9				8.5										
900018	900018	Finfish	"Thailand, main rivers (Chaopraya, Bangprakong, Mae-klong, Thajean)"	W	13	FLT	Pla Lai	"Swamp eel, wild, fillet, raw"	r	Fluta alba	Asian swamp eel	Monopterus albus	May-Oct		1	NNP calc. as % of TN	1999	fi2	20.3				0.6										
900020	900020	Finfish	"Thailand, main rivers (Chaopraya, Bangprakong, Mae-klong, Thajean)"	W	13	FKN	Pla Graai	"Spotted featherback, wild, skinned, minced, raw"	r	Notopterus chitala	Knifefishes	Notopterus spp	May-Oct		1	NNP calc. as % of TN	1999	fi2	16.7				1.2										
900026	900026	Finfish	"Thailand, Gulf of Thailand"	W	25	GIP	Pla Ga-pong khao	"Giant seaperch, wild, muscle fillet, raw"	r	Lates calcarifer	Giant seaperch	Lates calcarifer	Oct-Nov		1	NNP calc. as % of TN	1999	fi2	22				3.2										
900029	900029	Finfish	"Thailand, Gulf of Thailand"	W	33	MAL	Pla Ga-pong dang	"Malabar red snapper, wild, muscle fillet, raw"	r	Lutjanus malabaricus	Malabar blood snapper	Lutjanus malabaricus	Oct-Nov		1	NNP calc. as % of TN	1999	fi2	18.1				0.5										
900033	900033	Finfish	"Thailand, Gulf of Thailand"	W	33	EFX	Pla Gow	"Grouper, wild, muscle fillet, raw"	r	Epinephelus sexfasciatus	Sixbar grouper	Epinephelus sexfasciatus	Oct-Nov		1	NNP calc. as % of TN	1999	fi2	18.9				0.6										
900036	900036	Finfish	"Thailand, Gulf of Thailand"	W	36	COM	Pla In-see	"Spanish mackerel (portion), raw"	r	Scomberomorus commerson	Narrow-barred spanish mackerel	Scomberomorus commerson	Oct-Nov		1	NNP calc. as % of TN	1999	fi2	21.5				3.6										
900038	900038	Finfish	"Thailand, Gulf of Thailand"	W	37	RNJ	Pla Samlee	"Black-banded trevally, wild, muscle fillet, raw"	r	Seriolina nigrofasciata	Blackbanded trevally	Seriolina nigrofasciata	Oct-Nov		1	NNP calc. as % of TN	1999	fi2	18.1				9.2										
900042	900042	Finfish	"Thailand, Gulf of Thailand"	W	37	POB	Pla Jalamet-dum	"Black pomfret, wild, muscle fillet, raw"	r	Parastromateus niger	Black pomfret	Parastromateus niger	Oct-Nov		1	NNP calc. as % of TN	1999	fi2	20.4				3.6										
900045	900045	Finfish	"Thailand, Gulf of Thailand"	W	37	RAB	Pla Tu-sod	"Short-bodied mackerel, wild, muscle fillet, raw"	r	Rastrelliger brachysoma	Short mackerel	Rastrelliger brachysoma	Oct-Nov		1	NNP calc. as % of TN	1999	fi2	21.1				3.8										
900051	900051	Finfish	"Thailand, Gulf of Thailand"	W	37	SIP	Pla Jalamet-khao	"silver pomfret, wild, muscle fillet, raw"	r	Pampus argenteus	silver pomfret	Pampus argenteus	Oct-Nov		1	NNP calc. as % of TN	1999	fi2	19.4				6.8										
