latin_name,feeding_mode,feeding_level,BodyShapeI,part,DemersPelag,EnvTemp,nutrient,reference,AgeMatMin,log_concentration,log_length,bulk_trophic_level,DepthRangeDeep
Acipenser fulvenscens,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),elongated,muscle,demersal,temperate,dha,27,18,NA,5.6131281063880705,3.27999997138977,9
Acipenser fulvenscens,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),elongated,muscle,demersal,temperate,dha,44,18,NA,5.6131281063880705,3.27999997138977,9
Acipenser fulvenscens,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),elongated,muscle,demersal,temperate,dha,79,18,NA,5.6131281063880705,3.27999997138977,9
Acipenser fulvenscens,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),elongated,muscle,demersal,temperate,epa,27,18,NA,5.6131281063880705,3.27999997138977,9
Acipenser fulvenscens,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),elongated,muscle,demersal,temperate,epa,44,18,NA,5.6131281063880705,3.27999997138977,9
Acipenser fulvenscens,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),elongated,muscle,demersal,temperate,epa,79,18,NA,5.6131281063880705,3.27999997138977,9
Acipenser oxyrhyncus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),elongated,muscle,demersal,subtropical,dha,23,15.11111111111111,-0.6931471805599453,5.998936561946683,3.325,46
Acipenser oxyrhyncus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),elongated,muscle,demersal,subtropical,dha,55,15.11111111111111,-0.5621189181535413,5.998936561946683,3.325,46
Acipenser oxyrhyncus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),elongated,muscle,demersal,subtropical,epa,23,15.11111111111111,0,5.998936561946683,3.325,46
Acipenser oxyrhyncus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),elongated,muscle,demersal,subtropical,epa,55,15.11111111111111,0.3364722366212129,5.998936561946683,3.325,46
Acipenser spp.,NA,NA,NA,eggs,NA,NA,dha,27,NA,NA,NA,NA,NA
Acipenser spp.,NA,NA,NA,eggs,NA,NA,epa,27,NA,NA,NA,NA,NA
Acipenser spp.,NA,NA,NA,muscle,NA,NA,dha,13,NA,-2.375155785828881,NA,NA,NA
Acipenser spp.,NA,NA,NA,muscle,NA,NA,dha,27,NA,NA,NA,NA,NA
Acipenser spp.,NA,NA,NA,muscle,NA,NA,dha,55,NA,-0.5621189181535413,NA,NA,NA
Acipenser spp.,NA,NA,NA,muscle,NA,NA,epa,13,NA,-1.6398971199188088,NA,NA,NA
Acipenser spp.,NA,NA,NA,muscle,NA,NA,epa,27,NA,NA,NA,NA,NA
Acipenser spp.,NA,NA,NA,muscle,NA,NA,epa,55,NA,0.3364722366212129,NA,NA,NA
Alosa pseudoharengus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,eggs,pelagic-neritic,temperate,dha,27,2.3333333333333335,NA,3.6888794541139363,3.29,145
