rowname,species_name
1,Scomber japonicus
2,Gadus morhua
3,Thunnus albacares
4,Engraulis japonicus
5,Trichiurus lepturus
6,Sardina pilchardus
7,Scomber scombrus
8,Dosidicus gigas
9,Mallotus villosus
10,Micromesistius poutassou
11,Acetes japonicus
12,Oncorhynchus gorbuscha
13,Sardinella longiceps
14,Illex argentinus
15,Clupea pallasii
16,Portunus trituberculatus
17,Brevoortia patronus
18,Gadus macrocephalus
19,Thunnus obesus
20,Rastrelliger kanagurta
21,Engraulis encrasicolus
22,Cololabis saira
23,Larimichthys polyactis
24,Sprattus sprattus
25,Muraenesox cinereus
26,Sardinops melanostictus
27,Tenualosa ilisha
28,Trachurus murphyi
29,Patinopecten yessoensis
30,Merluccius hubbsi
31,Trachurus capensis
32,Todarodes pacificus
33,Trachypenaeus curvirostris
34,Euthynnus affinis
35,Opisthonema libertate
36,Pollachius virens
37,Melanogrammus aeglefinus
38,Merluccius productus
39,Pandalus borealis
40,Rastrelliger brachysoma
41,Harpadon nehereus
42,Rastrineobola argentea
43,Cetengraulis mysticetus
44,Scomberomorus commerson
45,Sardinella aurita
46,Lates niloticus
47,Ethmalosa fimbriata
48,Sardinops caeruleus
49,Thunnus alalunga
50,Oreochromis niloticus
51,Euphausia superba
52,Strangomera bentincki
53,Sardinella maderensis
54,Thunnus tonggol
55,Placopecten magellanicus
56,Selar crumenophthalmus
57,Penaeus monodon
58,Trachurus trachurus
59,Selaroides leptolepis
60,Trachurus japonicus
61,Portunus pelagicus
62,Oncorhynchus keta
63,Sardinella gibbosa
64,Crassostrea virginica
65,Brevoortia tyrannus
66,Ammodytes personatus
67,Limanda aspera
