food_item_id,subgroup,country_region,type,isscaap,x3_alpha,food_name_in_own_language,food_name_in_english,processing,scientific_name,asfis_english_name,asfis_scientific_name,season,other,n,comments_on_data_processing_methods,publication_year,biblioid,compiler,latest_revision_in_version,fat_g,fatce_g,fat_g_2,fapu_g,faun_g,xfa_internal_use,facid_g,fapun3_g,fapun6_g,f20d5n3_g,f22d6n3_g,asfis_scientific_name_fishbase_swap
0901309,Finfish,Unknown (samples from Istanbul local fish market),NA,37,HOM,NA,"Horse mackerel, muscle fillet, raw",r,Trachurus trachurus,Atlantic horse mackerel,Trachurus trachurus,NA,NA,1,NA,2010,fi3,DR,1.0,14.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trachurus trachurus
0901339,Finfish,"Brazil (samples from fish markets in Maring‡, Paran‡, Brazil)",NA,13,MDI,Barbado,"Flatwhiskered catfish, wild, skinless, boneless fillets, raw",r,Pinirampus pinirampu,Flatwhiskered catfish,Pinirampus pinirampu,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,19.75,NA,NA,2.434994117,1.088821354,0.925759494,NA,1.920210939,NA,0.284944427,0.682588052,Pinirampus pirinampu
0901340,Finfish,"Brazil (samples from fish markets in Maring‡, Paran‡, Brazil)",NA,11,FCP,Carpa,"Common carp, wild, skinless, boneless fillets, raw",r,Cyprinus carpio,Common carp,Cyprinus carpio,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,1.19,NA,NA,0.193524426,0.05159029,0.812831933,NA,0.034947303,NA,NA,0.014040524,Cyprinus carpio
0901341,Finfish,"Brazil (samples from fish markets in Maring‡, Paran‡, Brazil)",NA,13,NA,Cascudo abacaxi,"wild, skinless, boneless fillets, raw",r,Megaloancistrus aculeatus,NA,Loricariidae,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,0.7,NA,NA,0.095246142,0.080512829,0.728714286,NA,0.022009598,NA,NA,0.022009598,Megalancistrus parananus
0901342,Finfish,"Brazil (samples from fish markets in Maring‡, Paran‡, Brazil)",NA,13,DPG,Cascudo cachorro,"Granulated catfish, wild, skinless, boneless fillets, raw",r,Pterodoras granulosus,Granulated catfish,Pterodoras granulosus,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,3.18,NA,NA,0.769844736,0.167957514,0.888031447,NA,0.521163219,NA,NA,0.327263527,Pterodoras granulosus
0901343,Finfish,"Brazil (samples from fish markets in Maring‡, Paran‡, Brazil)",NA,33,LGQ,Corvina,"South American silver croaker, wild, skinless, boneless fillets, raw",r,Plagioscion squamosissimus,South American silver croaker,Plagioscion squamosissimus,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,0.69,NA,NA,0.137415222,0.072413725,0.725753623,NA,0.11096738,NA,0.058739117,0.052228263,Plagioscion squamosissimus
0901344,Finfish,"Brazil (samples from fish markets in Maring‡, Paran‡, Brazil)",NA,13,PLL,Curimba,"Streaked prochilod, wild, skinless, boneless fillets, raw",r,Prochilodus lineatus,Streaked prochilod,Prochilodus lineatus,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,3.68,NA,NA,0.665252263,0.080756324,0.894141304,NA,0.439538324,NA,0.040009546,0.188807397,Prochilodus lineatus
0901345,Finfish,"Brazil (samples from fish markets in Maring‡, Paran‡, Brazil)",NA,13,SXU,Dourado,"Dorado, wild, skinless, boneless fillets, raw",r,Salminus maxillosus,Dorado,Salminus maxillosus,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,0.88,NA,NA,0.210679363,0.019336201,0.7705,NA,0.150188424,NA,0.032706129,0.048411624,Salminus brasiliensis
0901346,Finfish,"Brazil (samples from fish markets in Maring‡, Paran‡, Brazil)",NA,13,HBY,Jurupoca,"wild, skinless, boneless fillets, raw",r,Hemisorubim plathyrhinchos,NA,Hemisorubim platyrhynchos,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,2.98,NA,NA,1.177107287,5.23207e-4,0.885013423,NA,0.599180809,NA,NA,0.397990409,Hemisorubim platyrhynchos
0901347,Finfish,"Brazil (samples from fish markets in Maring‡, Paran‡, Brazil)",NA,13,MDM,Mandi,"wild, skinless, boneless fillets, raw",r,Pimelodus maculatus,NA,NA,NA,NA,NA,"FA not specified - summed up, entered as <FAUN>; FAME converted using ShF and XFA",1995,fi17,DR,1.0,5.5,NA,NA,0.535059107,0.144215734,0.907,NA,0.317790424,NA,NA,0.09556534,Pimelodus maculatus
