SpecCode,Species,AutoCtr,StockCode,PopQBRefNo,PopQB,MaintQB,Winf,FoodType,K,Salinity,t0,Temperature,Mortality,Locality,b,C_Code,QBRemarks,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,TS
495,Anabas testudineus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,Anguilla japonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,Anguilla rostrata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5147,Channa punctata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3054,Clarias batrachus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1450,Cyprinus carpio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,Dicentrarchus labrax,28,73,2939,1.5199999809265137,1.2599999904632568,3067,nekton,0.23000000417232516,brackish,-0.5799999833106994,15,0.1599999964237213,Marseille,3.079999923706055,250,TL inf: 68.0 cm; W = 0.00908LS^3.14^; A: 1.76; D: 0.448; P: 0.635 (Ref. 013343).,34,1997-09-24 00:00:00,NA,1998-07-01 00:00:00,NA,NA,NA
63,Dicentrarchus labrax,29,73,2939,10.199999809265137,8.960000038146973,3067,nekton,0.23000000417232516,brackish,-0.5799999833106994,15,0.1599999964237213,"Thau Lagoon, S<e8>te",3.079999923706055,250,TL inf: 68.0 cm; A: 1.76; D; 0.448; P; 0.635 (Ref. 013343).,21,1992-11-10 00:00:00,34,1998-07-01 00:00:00,NA,NA,NA
63,Dicentrarchus labrax,28,73,2939,1.5199999809265137,1.2599999904632568,3067,nekton,0.23000000417232516,brackish,-0.5799999833106994,15,0.1599999964237213,Marseille,3.079999923706055,250,TL inf: 68.0 cm; W = 0.00908LS^3.14^; A: 1.76; D: 0.448; P: 0.635 (Ref. 013343).,34,1997-09-24 00:00:00,NA,1998-07-01 00:00:00,NA,NA,NA
63,Dicentrarchus labrax,29,73,2939,10.199999809265137,8.960000038146973,3067,nekton,0.23000000417232516,brackish,-0.5799999833106994,15,0.1599999964237213,"Thau Lagoon, S<e8>te",3.079999923706055,250,TL inf: 68.0 cm; A: 1.76; D; 0.448; P; 0.635 (Ref. 013343).,21,1992-11-10 00:00:00,34,1998-07-01 00:00:00,NA,NA,NA
63,Dicentrarchus labrax,28,73,2939,1.5199999809265137,1.2599999904632568,3067,nekton,0.23000000417232516,brackish,-0.5799999833106994,15,0.1599999964237213,Marseille,3.079999923706055,250,TL inf: 68.0 cm; W = 0.00908LS^3.14^; A: 1.76; D: 0.448; P: 0.635 (Ref. 013343).,34,1997-09-24 00:00:00,NA,1998-07-01 00:00:00,NA,NA,NA
63,Dicentrarchus labrax,29,73,2939,10.199999809265137,8.960000038146973,3067,nekton,0.23000000417232516,brackish,-0.5799999833106994,15,0.1599999964237213,"Thau Lagoon, S<e8>te",3.079999923706055,250,TL inf: 68.0 cm; A: 1.76; D; 0.448; P; 0.635 (Ref. 013343).,21,1992-11-10 00:00:00,34,1998-07-01 00:00:00,NA,NA,NA
63,Dicentrarchus labrax,28,73,2939,1.5199999809265137,1.2599999904632568,3067,nekton,0.23000000417232516,brackish,-0.5799999833106994,15,0.1599999964237213,Marseille,3.079999923706055,250,TL inf: 68.0 cm; W = 0.00908LS^3.14^; A: 1.76; D: 0.448; P: 0.635 (Ref. 013343).,34,1997-09-24 00:00:00,NA,1998-07-01 00:00:00,NA,NA,NA
63,Dicentrarchus labrax,29,73,2939,10.199999809265137,8.960000038146973,3067,nekton,0.23000000417232516,brackish,-0.5799999833106994,15,0.1599999964237213,"Thau Lagoon, S<e8>te",3.079999923706055,250,TL inf: 68.0 cm; A: 1.76; D; 0.448; P; 0.635 (Ref. 013343).,21,1992-11-10 00:00:00,34,1998-07-01 00:00:00,NA,NA,NA
5137,Mystus vittatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10308,Patagonotothen ramsayi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10308,Patagonotothen ramsayi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10308,Patagonotothen ramsayi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10308,Patagonotothen ramsayi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10308,Patagonotothen ramsayi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55383,Piaractus mesopotamicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Portunus pelagicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Portunus pelagicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8674,Pseudoplatystoma corruscans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
360,Sander lucioperca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
360,Sander lucioperca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8435,Albatrossia pectoralis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1888,Alectis alexandrina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
