fdis,sample,nt,s
0.5035363671147055,1_10,2,10
0.5774516588454532,1_10,3,10
0.5537868201773769,1_10,4,10
0.5855579252651788,1_10,3,10
0.583411258733327,1_10,3,10
0.5389135630021421,1_10,2,10
0.4717005069005572,1_10,3,10
0.46022997610006466,1_10,2,10
0.5833743765754621,1_10,3,10
0.5419570462428196,1_10,2,10
0.5746800151958155,1_10,3,10
0.5650588743503723,1_10,3,10
0.4366062299143244,1_10,2,10
0.5727562816410441,1_10,3,10
0.4987826061091445,1_10,1,10
0.5709981116706799,1_10,4,10
0.5441929577240184,1_10,3,10
0.5373399526537846,1_10,4,10
0.5336342428635149,1_10,2,10
0.5807386170295301,1_10,3,10
0.5912671503205613,1_10,2,10
0.5583679746413972,1_10,2,10
0.5561871310633115,1_10,3,10
0.462478617186164,1_10,3,10
0.5004743828702793,1_10,3,10
0.5514747419890543,1_10,4,10
0.5024827677514051,1_10,2,10
0.5376433922211394,1_10,2,10
0.6134999454393044,1_10,5,10
0.5246985640843032,1_10,2,10
0.5568924730196066,1_10,2,10
0.6037617372705693,1_10,3,10
0.5504941006175523,1_10,2,10
0.5289876805679737,1_10,3,10
0.5049432568870524,1_10,1,10
0.5437701446029248,1_10,3,10
0.5260304178738935,1_10,3,10
0.5830913592403364,1_10,4,10
0.5633097454389816,1_10,3,10
0.5235841781015772,1_10,2,10
0.5618407344951792,1_10,3,10
0.5633207450104563,1_10,4,10
0.5331409715905742,1_10,4,10
0.5876703919729217,1_10,5,10
0.5334778254834313,1_10,4,10
0.589810013217236,1_10,4,10
0.5523888641059952,1_10,2,10
0.5599751309857279,1_10,4,10
0.5475232488978364,1_10,3,10
0.5392410524084243,1_10,4,10
0.6047473101062395,1_10,4,10
0.5631947996369375,1_10,1,10
0.5598477828836871,1_10,2,10
0.5142130594025405,1_10,3,10
0.5882142602395498,1_10,3,10
0.5946710075429822,1_10,3,10
0.5342902598219165,1_10,2,10
0.5625178141687553,1_10,3,10
0.4730458219835797,1_10,1,10
0.47468631382410165,1_10,2,10
0.544938809389774,1_10,4,10
0.5720682884396802,1_10,4,10
0.5475049044186573,1_10,3,10
0.5885419523141802,1_10,4,10
0.44911112874277065,1_10,2,10
0.5886852329341259,1_10,3,10
0.5521108652768439,1_10,4,10
0.5191448265263785,1_10,3,10
0.5523797362519244,1_10,2,10
0.5800036728503661,1_10,4,10
0.46979797092550946,1_10,2,10
0.5470392446556144,1_10,3,10
0.5142130594025408,1_10,3,10
0.48922038501289566,1_10,3,10
0.5472836637389314,1_10,2,10
0.5585844918949969,1_10,3,10
0.536654211619251,1_10,3,10
0.5757861548620455,1_10,2,10
0.5046968605658724,1_10,4,10
0.5341067540030303,1_10,4,10
0.5759330880321476,1_10,4,10
0.5263045838572513,1_10,2,10
0.528785560178368,1_10,3,10
0.471118959969992,1_10,2,10
0.5920941468640284,1_10,3,10
0.5364471940451399,1_10,3,10
0.6037385527537006,1_10,2,10
0.570066651695691,1_10,5,10
0.540596464242755,1_10,4,10
0.6124326708932133,1_10,4,10
0.497390706463744,1_10,2,10
0.5035363671147055,1_10,3,10
0.5765012594071369,1_10,3,10
0.5143799702913449,1_10,2,10
0.532761564629148,1_10,3,10
0.4871256195011512,1_10,4,10
0.5404723670379863,1_10,2,10
0.5491159169373641,1_10,2,10
0.5373067296767942,1_10,3,10
0.5564679914628481,1_10,3,10
0.5767105058789594,1_10,3,10
0.5405964642427549,1_10,4,10
0.4986124710936323,1_10,3,10
0.49452258798259496,1_10,2,10
0.5469653764769917,1_10,3,10
0.4996255035361079,1_10,1,10
0.48206845947201166,1_10,1,10
0.5667566327185604,1_10,2,10
0.4687519764872533,1_10,1,10
0.4736423611133788,1_10,3,10
0.5329254116855705,1_10,2,10
0.49314159243801753,1_10,2,10
0.5076644871907434,1_10,2,10
0.5879672196343873,1_10,3,10
0.5153400761126217,1_10,3,10
0.5676103706006077,1_10,1,10
0.6121982711313823,1_10,3,10
0.5270547930913236,1_10,3,10
0.4761354387811737,1_10,1,10
0.47242639378710083,1_10,3,10
0.6065196387791721,1_10,4,10
0.5724682730934518,1_10,3,10
0.4752201450667345,1_10,3,10
0.5069614461940692,1_10,2,10
0.5652591882356365,1_10,2,10
0.5449203267472731,1_10,3,10
0.5471982246423571,1_10,3,10
0.5289426833578756,1_10,2,10
0.5454907004460808,1_10,4,10
0.5452078694496643,1_10,3,10
0.5554698384037672,1_10,4,10
0.555436287030765,1_10,3,10
0.5146177678820959,1_10,2,10
0.4639946998751142,1_10,2,10
0.5874781473107672,1_10,4,10
0.5074284161206206,1_10,1,10
0.545513992691823,1_10,3,10
0.5085233243789602,1_10,2,10
0.5944152240710393,1_10,3,10
0.5452080274150026,1_10,2,10
0.5706021019621355,1_10,3,10
0.5770567702036689,1_10,3,10
0.5852578867067788,1_10,3,10
0.49170396304620595,1_10,2,10
0.5111353140666061,1_10,2,10
0.5035363671147057,1_10,2,10
0.5992506805540829,1_10,4,10
0.579737935030666,1_10,4,10
0.5439396256533391,1_10,2,10
0.5267701915885138,1_10,2,10
0.5369080626826348,1_10,3,10
0.4443424915521355,1_10,2,10
0.5297288155305016,1_10,2,10
