run,fdis,sample,nt,s
1,0.5581026372244371,1_10,3,3
1,0.47995512305181337,1_3,4,3
1,0.561676999786342,1_4,2,3
1,0.5691662063919982,1_5,1,3
1,0.5836979077821736,1_6,1,3
1,0.5871780616769222,1_7,1,3
1,0.5819620164163691,1_8,3,3
1,0.568192087162062,1_9,1,3
1,0.5299472854662852,10_3,1,3
1,0.5351156695954989,10_4,2,3
1,0.5042485256799237,10_5,1,3
1,0.5604310407774226,10_6,2,3
1,0.5529781277727019,10_7,5,3
1,0.5428879307185481,10_8,2,3
1,0.5552723068173492,10_9,1,3
1,0.4873312684318763,100_3,1,3
1,0.4893484270653331,100_4,2,3
1,0.5213643322144657,100_5,1,3
1,0.5044045691318862,100_6,2,3
1,0.5382832267543879,100_7,2,3
1,0.5299472854662852,101_3,0,3
1,0.4617662941386175,101_4,1,3
1,0.5213643322144657,101_5,1,3
1,0.5496599581139473,101_6,3,3
1,0.5464242084376478,101_7,1,3
1,0.5299472854662852,102_3,3,3
1,0.4893484270653331,102_4,4,3
1,0.5448672774487725,102_5,3,3
1,0.5496599581139473,102_6,3,3
1,0.5382832267543882,102_7,3,3
1,0.5299472854662852,103_3,3,3
1,0.4617662941386175,103_4,2,3
1,0.5448672774487725,103_5,2,3
1,0.5496599581139473,103_6,2,3
1,0.5382832267543882,103_7,2,3
1,0.5299472854662852,104_3,2,3
1,0.4893484270653331,104_4,2,3
1,0.5448672774487725,104_5,2,3
1,0.5496599581139473,104_6,2,3
1,0.4753406716487554,104_7,2,3
1,0.3861962639091028,105_3,2,3
1,0.4617662941386174,105_4,2,3
1,0.5448672774487725,105_5,2,3
1,0.47066323969263485,105_6,2,3
1,0.5156048389998745,105_7,2,3
1,0.3861962639091028,106_3,1,3
1,0.5344564401990328,106_4,1,3
1,0.5448672774487725,106_5,1,3
1,0.5543022904663503,106_6,1,3
1,0.5361945450264273,106_7,1,3
1,0.3861962639091028,107_3,1,3
1,0.535115669595499,107_4,5,3
1,0.5448672774487725,107_5,4,3
1,0.5543022904663503,107_6,5,3
1,0.543295367337733,107_7,2,3
1,0.3861962639091028,108_3,4,3
1,0.535115669595499,108_4,3,3
1,0.48935948728950035,108_5,4,3
1,0.5543022904663503,108_6,3,3
1,0.5361945450264273,108_7,5,3
1,0.3861962639091028,109_3,4,3
1,0.5114696779386523,109_4,4,3
1,0.48935948728950035,109_5,3,3
1,0.5543022904663503,109_6,2,3
1,0.5361945450264273,109_7,3,3
1,0.5773502691896257,11_3,1,3
1,0.5351156695954989,11_4,3,3
1,0.5209164690274772,11_5,2,3
1,0.5494032265457973,11_6,2,3
1,0.5810946844930447,11_7,2,3
1,0.5660995033937567,11_8,3,3
1,0.3861962639091028,110_3,1,3
1,0.535115669595499,110_4,2,3
1,0.48935948728950035,110_5,2,3
1,0.5543022904663503,110_6,3,3
1,0.48076743305090314,110_7,1,3
1,0.4873312684318763,111_3,1,3
1,0.5344564401990328,111_4,1,3
1,0.48935948728950035,111_5,1,3
1,0.5543022904663503,111_6,1,3
1,0.5141537649717337,111_7,1,3
1,0.4873312684318763,112_3,1,3
1,0.5344564401990328,112_4,5,3
1,0.5213643322144657,112_5,5,3
1,0.5044045691318862,112_6,5,3
1,0.48076743305090286,112_7,5,3
1,0.4873312684318763,113_3,5,3
1,0.5186721240949423,113_4,1,3
1,0.5213643322144657,113_5,5,3
1,0.5044045691318862,113_6,4,3
1,0.5746383650634785,113_7,4,3
1,0.4873312684318763,114_3,4,3
1,0.5344564401990328,114_4,4,3
1,0.5213643322144657,114_5,4,3
1,0.5044045691318862,114_6,5,3
1,0.5746383650634785,114_7,4,3
1,0.4873312684318763,115_3,5,3
1,0.5114696779386524,115_4,4,3
1,0.5213643322144657,115_5,1,3
1,0.5044045691318862,115_6,3,3
1,0.5746383650634785,115_7,4,3
1,0.4873312684318763,116_3,3,3
1,0.4862507638984427,116_4,3,3
1,0.5213643322144657,116_5,3,3
1,0.5355029654823197,116_6,3,3
1,0.5746383650634785,116_7,3,3
1,0.28867513459481287,117_3,3,3
1,0.5114696779386524,117_4,3,3
1,0.5213643322144657,117_5,2,3
1,0.5355029654823197,117_6,5,3
1,0.5292293855865349,117_7,5,3
1,0.28867513459481287,118_3,4,3
1,0.4862507638984427,118_4,3,3
1,0.4274249699320619,118_5,2,3
1,0.5355029654823197,118_6,4,3
1,0.5537696945099247,118_7,2,3
1,0.28867513459481287,119_3,2,3
1,0.5114696779386524,119_4,3,3
1,0.4274249699320619,119_5,2,3
1,0.5355029654823197,119_6,2,3
1,0.5292293855865351,119_7,4,4
1,0.5299472854662852,12_3,2,4
1,0.5114696779386525,12_4,3,4
1,0.5691662063919982,12_5,4,4
1,0.5604310407774226,12_6,3,4
1,0.5740661946613453,12_7,3,4
1,0.5717073556117924,12_8,3,4
1,0.28867513459481287,120_3,3,4
1,0.4862507638984428,120_4,4,4
1,0.4274249699320619,120_5,5,4
1,0.47066323969263485,120_6,3,4
1,0.521227881396997,120_7,3,4
1,0.5351156695954989,121_4,2,4
1,0.4274249699320619,121_5,4,4
1,0.504404569131886,121_6,4,4
1,0.5351156695954989,122_4,4,4
1,0.48935948728950035,122_5,3,4
1,0.504404569131886,122_6,4,4
1,0.5114696779386521,123_4,2,4
1,0.48935948728950035,123_5,2,4
1,0.504404569131886,123_6,4,4
1,0.5351156695954989,124_4,2,4
1,0.48935948728950035,124_5,3,4
1,0.504404569131886,124_6,2,4
1,0.4351919920708439,125_4,2,4
1,0.48935948728950035,125_5,1,4
1,0.4189686201993598,125_6,2,4
1,0.40883560385918677,126_4,2,4
1,0.3778726688010079,126_5,3,4
1,0.47066323969263485,126_6,2,4
1,0.4351919920708439,127_4,1,4
1,0.5708221591068002,127_5,2,4
1,0.5836979077821738,127_6,2,4
1,0.40883560385918677,128_4,2,4
1,0.5691662063919982,128_5,2,4
1,0.5836979077821738,128_6,2,4
1,0.4351919920708439,129_4,2,4
1,0.5691662063919982,129_5,1,4
1,0.5749289570050927,129_6,2,4
1,0.5299472854662852,13_3,2,4
1,0.5351156695954989,13_4,2,4
1,0.5691662063919982,13_5,2,4
1,0.5494032265457973,13_6,1,4
1,0.5810946844930447,13_7,1,4
1,0.5660995033937566,13_8,1,4
1,0.40883560385918677,130_4,2,4
1,0.5538953445564121,130_5,1,4
1,0.5836979077821738,130_6,5,4
1,0.5114696779386524,131_4,5,4
1,0.5691662063919982,131_5,5,4
1,0.5604310407774222,131_6,5,4
1,0.4862507638984427,132_4,5,4
1,0.5708221591068001,132_5,5,4
1,0.5494032265457977,132_6,5,4
1,0.5114696779386524,133_4,5,4
1,0.5708221591068001,133_5,5,4
1,0.5604310407774222,133_6,2,4
1,0.4862507638984427,134_4,4,4
1,0.5595265571604633,134_5,5,4
1,0.5494032265457977,134_6,4,4
1,0.5114696779386524,135_4,5,4
1,0.5708221591068001,135_5,4,4
1,0.5604310407774222,135_6,5,4
1,0.4862507638984428,136_4,4,4
1,0.5564207047229652,136_5,4,4
1,0.5494032265457974,136_6,4,4
1,0.35550047507521987,137_4,4,4
1,0.5406525629692941,137_5,2,4
1,0.5759487199875165,137_6,4,4
1,0.3822205981925247,138_4,4,4
1,0.5564207047229652,138_5,4,4
1,0.5668676173751238,138_6,4,4
1,0.35550047507521987,139_4,4,4
1,0.5406525629692941,139_5,4,4
1,0.5759487199875165,139_6,4,4
1,0.5299472854662852,14_3,4,4
1,0.5351156695954989,14_4,4,4
1,0.553895344556412,14_5,4,4
1,0.5604310407774226,14_6,2,4
1,0.5740661946613453,14_7,4,4
1,0.5660995033937566,14_8,4,4
1,0.35550047507521987,140_4,3,4
1,0.5564207047229652,140_5,3,4
1,0.5668676173751238,140_6,3,4
1,0.5524088181686122,141_4,3,4
1,0.540652562969294,141_5,3,4
1,0.5759487199875165,141_6,2,4
1,0.587785800091769,142_4,2,4
1,0.569166206391998,142_5,4,4
1,0.5668676173751237,142_6,2,4
1,0.587785800091769,143_4,3,4
1,0.569166206391998,143_5,3,4
1,0.5297146388630533,143_6,4,4
1,0.587785800091769,144_4,3,4
1,0.5538953445564121,144_5,3,4
1,0.5407795492617541,144_6,3,4
1,0.587785800091769,145_4,2,4
1,0.569166206391998,145_5,2,4
1,0.5297146388630531,145_6,4,4
1,0.5524088181686122,146_4,2,4
1,0.5075202271603619,146_5,2,4
1,0.5297146388630531,146_6,4,4
1,0.5524088181686122,147_4,3,4
1,0.4902418857868797,147_5,1,4
1,0.5604310407774222,147_6,2,4
1,0.5524088181686122,148_4,2,4
1,0.5075202271603619,148_5,2,4
1,0.5494032265457973,148_6,1,4
1,0.5524088181686122,149_4,1,4
1,0.4902418857868797,149_5,1,4
1,0.5604310407774222,149_6,1,4
1,0.5299472854662852,15_3,4,4
1,0.45927932677184585,15_4,2,4
1,0.5691662063919982,15_5,2,4
1,0.5494032265457973,15_6,2,4
1,0.5810946844930447,15_7,1,4
1,0.5253847774739524,15_8,2,4
1,0.5668209855571281,150_4,2,4
1,0.5075202271603619,150_5,2,4
1,0.5494032265457973,150_6,1,4
1,0.5668209855571281,151_4,2,4
1,0.49024188578687966,151_5,1,4
1,0.5604310407774222,151_6,2,4
1,0.5668209855571281,152_4,2,4
1,0.5564207047229652,152_5,1,4
1,0.5494032265457974,152_6,2,4
1,0.5668209855571281,153_4,1,4
1,0.5406525629692941,153_5,1,4
1,0.4846752032934058,153_6,1,4
1,0.5668209855571281,154_4,1,4
1,0.5564207047229652,154_5,1,4
1,0.4963549509690006,154_6,1,4
1,0.5668209855571281,155_4,5,4
1,0.5406525629692941,155_5,4,4
1,0.4846752032934059,155_6,5,4
1,0.587785800091769,156_4,4,4
1,0.5564207047229652,156_5,4,4
1,0.4846752032934059,156_6,5,4
1,0.587785800091769,157_4,4,4
1,0.540652562969294,157_5,4,4
1,0.5297146388630533,157_6,4,4
1,0.587785800091769,158_4,4,4
1,0.46133038811269333,158_5,4,4
1,0.5407795492617541,158_6,4,4
1,0.587785800091769,159_4,3,4
1,0.4783275006353344,159_5,4,4
1,0.5297146388630531,159_6,4,4
1,0.5299472854662852,16_3,4,4
1,0.45927932677184585,16_4,4,4
1,0.5075202271603618,16_5,3,4
1,0.569567150346617,16_6,3,4
1,0.5740661946613453,16_7,3,4
1,0.5428879307185481,16_8,3,4
1,0.5114696779386526,160_4,3,4
1,0.4613303881126935,160_5,3,4
1,0.5297146388630531,160_6,3,4
1,0.5114696779386526,161_4,3,4
1,0.4613303881126935,161_5,4,4
1,0.4533048697945509,161_6,3,4
1,0.5114696779386526,162_4,3,4
1,0.5567491648096548,162_5,3,4
1,0.5543022904663503,162_6,3,4
1,0.5114696779386526,163_4,3,4
1,0.5567491648096548,163_5,3,4
1,0.5450824668560771,163_6,3,4
1,0.5114696779386526,164_4,2,4
1,0.5448672774487722,164_5,3,4
1,0.5543022904663503,164_6,2,4
1,0.5114696779386526,165_4,2,4
1,0.5567491648096548,165_5,2,4
1,0.5450824668560771,165_6,2,4
1,0.5668209855571281,166_4,2,4
1,0.5213643322144657,166_5,1,4
1,0.5543022904663503,166_6,2,4
1,0.5668209855571281,167_4,2,4
1,0.5056490492289516,167_5,2,4
1,0.5450824668560771,167_6,2,4
1,0.5668209855571281,168_4,3,4
1,0.5213643322144657,168_5,2,4
1,0.49352250506931633,168_6,2,4
1,0.5668209855571281,169_4,2,4
1,0.5056490492289516,169_5,1,4
1,0.5044045691318862,169_6,2,4
1,0.45618153631756514,17_3,2,4
1,0.4351919920708439,17_4,1,4
