Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,DemersPelag,DepthRangeDeep,Length,obs_id,subgroup,food_name_in_english,body_part,ca_mg,fe_mg,zn_mg,epa,dha,protein,fat,biblio_id,bibliography,scientific_name,asfis_scientific_name,genus_species,submitted_name,common_name,location,season,comments_on_data_processing_methods,publication_year,food_item_id,caldata,irondata,zincdata,epadata,dhadata,proteindata,fatdata,data_here,realm
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,benthopelagic,NA,82,bc122,Finfish,"Bream, wild, dorsal muscle, raw",muscle,20.91808,0.213572,0.373252,NA,NA,NA,NA,fi26,"Łuczyńska J., Tońska E., Łuczyński M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178",Abramis brama,Abramis brama,Abramis brama,Abramis brama,Freshwater bream,"Poland, Niegocin Lake",Jun 1997,Minerals given per DM - conversion to FW,2009,0900122,1,1,1,0,0,0,0,3,freshbrack
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,benthopelagic,NA,82,bc123,Finfish,"Bream, wild, dorsal muscle, raw",muscle,11.59704,0.16992,0.39294,NA,NA,NA,NA,fi26,"Łuczyńska J., Tońska E., Łuczyński M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178",Abramis brama,Abramis brama,Abramis brama,Abramis brama,Freshwater bream,"Poland, Kisajno Lake",Jun 1997,Minerals given per DM - conversion to FW,2009,0900123,1,1,1,0,0,0,0,3,freshbrack
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,benthopelagic,NA,82,bc124,Finfish,"Bream, wild, dorsal muscle, raw",muscle,11.4597,0.177786,0.372708,NA,NA,NA,NA,fi26,"Łuczyńska J., Tońska E., Łuczyński M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178",Abramis brama,Abramis brama,Abramis brama,Abramis brama,Freshwater bream,"Poland, Dargin Lake",Jun 1997,Minerals given per DM - conversion to FW,2009,0900124,1,1,1,0,0,0,0,3,freshbrack
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,benthopelagic,NA,82,bc125,Finfish,"Bream, wild, dorsal muscle, raw",muscle,12.10548,0.191706,0.36618,NA,NA,NA,NA,fi26,"Łuczyńska J., Tońska E., Łuczyński M. (2009). Essential mineral cmponents in the muscles of six freshwater fish from the Mazurian Great Lakes (northeastern Poland). Arch Pol Fish 17: 171-178",Abramis brama,Abramis brama,Abramis brama,Abramis brama,Freshwater bream,"Poland, Dargin Lake",Jun 1997,Minerals given per DM - conversion to FW,2009,0900125,1,1,1,0,0,0,0,3,freshbrack
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,benthopelagic,NA,82,bc158,Finfish,"Bream, wild, skinless fillet, raw",muscle_skinless,52,0.7,0.9,NA,NA,20,0.7,fi32,"Lazos E.S., Aggelousis G., Alexakis A. (1989). Metal and proximate composition of the edible portion of 11 freshwater fish species. Journal of Food Composition and Analysis 2: 371-381",Abramis brama,Abramis brama,Abramis brama,Abramis brama,Freshwater bream,"Greece, Evros River",Summer 1987,NA,1989,0900158,1,1,1,0,0,1,1,5,freshbrack
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,benthopelagic,NA,82,bc159,Finfish,"Bream, wild, skinless fillet, raw",muscle_skinless,53,0.6,1,NA,NA,19,1.4,fi32,"Lazos E.S., Aggelousis G., Alexakis A. (1989). Metal and proximate composition of the edible portion of 11 freshwater fish species. Journal of Food Composition and Analysis 2: 371-381",Abramis brama,Abramis brama,Abramis brama,Abramis brama,Freshwater bream,"Greece, Evros River",Summer 1988,NA,1989,0900159,1,1,1,0,0,1,1,5,freshbrack
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,benthopelagic,NA,82,bc225,Finfish,"Bream, wild, skinless, boneless fillet, raw",muscle_skinless,NA,NA,NA,0.09322,0.12087,NA,1,fi47,"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76",Abramis brama,Abramis brama,Abramis brama,Abramis brama,Freshwater bream,"Greece, Evros River",Jul-Aug 1987,FA converted using XFA,1991,0900225,0,0,0,1,1,0,1,3,freshbrack
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,benthopelagic,NA,82,bc665,Finfish,"Common bream, wild, skinless fillet, raw",muscle_skinless,NA,NA,NA,NA,NA,NA,6.4,fi105,"Ostermeyer U., Schmidt T. (2006). Vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413",Abramis abramis,Abramis brama,Abramis brama,Abramis brama,Freshwater bream,"Germany, Usedom, Baltic Sea",Jul 2003,NA,2006,0900684,0,0,0,0,0,0,1,1,freshbrack
Abramis brama,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1500000953674316,temperate,benthopelagic,NA,82,bc665,Finfish,"Common bream, wild, skinless fillet, raw",muscle_skinless,NA,NA,NA,NA,NA,NA,6.4,fi105,"Ostermeyer U., Schmidt T. (2006). vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413",Abramis abramis,Abramis brama,Abramis brama,Abramis brama,Freshwater bream,"Germany, Usedom, Baltic Sea",Jul 2003,NA,2006,0900684,0,0,0,0,0,0,1,1,freshbrack
Acipenser fulvescens,18,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27999997138977,temperate,demersal,9,274,c1,Finfish,"Lake Sturgeon, muscle",muscle,NA,NA,NA,NA,NA,17.1,9.1,27,"Sidwell VD: Chemical and Nutritional Composition of Finfishes, Whales, Crustaceans, Mollusks, and Their Products. Maryland: National Oceanic and Atmospheric Administration, Fisheries Office of Science and Technology; 1981.",NA,NA,Acipenser fulvescens,Acipenser fulvescens,Lake Sturgeon,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,2,freshbrack
