culture,FDiv,FEve
Abenaki,0.7457384503049611,0.7712607842068189
Ahtna,0.82521239164547,0.8828320042850643
Aleut,0.7607415504984302,0.8000063183135873
Bella Coola,0.7224088980288269,0.7276856188496803
Beothuk,0.7929054504839109,0.830930435874311
Carrier,0.7693258837545496,0.798469322668701
Central Salish,0.7435494452569431,0.8129836148960041
Chilcotin,0.7587576118054745,0.8102106170362785
Chinook,0.7328226766786026,0.7729772009148336
Chipewyan,0.8041830482697374,0.860030003620501
Coosan,0.7884511350904001,0.8437219748560868
Cree,0.7321778895428124,0.7500344090813611
Dogrib,0.7713158657078116,0.8282205429455327
Eyak,0.7517728267761349,0.7939594166230527
Gwich'in,0.7482685102268719,0.8107073598819796
Haida,0.7541535293154507,0.80247478614157
Haisla,0.7120812951607616,0.7493140419191507
Han,0.7268335136172145,0.7943578732489572
Heiltsuk,0.7135691044701759,0.7206496852005391
Huron,0.8568406310599673,0.8948601773007168
Ingalik,0.7268335136172145,0.7943578732489572
Interior Salish,0.7754241702875888,0.8355090064898499
Inuit-Inupiaq,0.7576117270605919,0.8166277815422672
Kolchan,0.7456220203594741,0.8234625625875729
Koyukon,0.7163870166049738,0.7848635960868001
Kwakiutl,0.7224088980288269,0.7276856188496803
Maliseet-Passamaquoddy,0.8007089412799108,0.8373771888452195
Metis,0.8417841134189779,0.8877543825475535
Micmac,0.7588780898737463,0.7708672355801455
Montagnais-Naskapi,0.7857212369008731,0.8216443795277647
Nass-Gitksan,0.7225650980961729,0.7798069691789601
Nootkan,0.6880847568403781,0.6895412318436993
Ojibwa-Algonquin,0.7430528929141678,0.7223702649463521
Onondaga,0.8744471613800222,0.8839659399758757
Powhatan,0.8206232775376826,0.8496194841180976
Quileute,0.711893677755171,0.7511683345028837
Sekani,0.7587576118054745,0.8102106170362785
Siuslaw,0.7884511350904001,0.8437219748560868
Slavey-Hare,0.7932385676955884,0.8515089413030258
Tahltan-Kaska-Tagish,0.7455678321567442,0.8021120293189106
Tanaina,0.705459085767617,0.7463655994779175
Tanana,0.7163870166049738,0.7848635960868001
Tillamook,0.7347097425689979,0.762975689080198
Tlingit,0.7120550386618415,0.7356869607850655
Tsimshian,0.7264747056498745,0.7327649948404008
Tutchone,0.7302600026222998,0.7922017058513156
Wampanoag,0.7180358778259516,0.7635377817470654
Yupik,0.7488251957077998,0.7594367214649457
