run,species_no,mean,std.error
1,1,1.6,0.1632993161855452
1,2,1.711111111111111,0.0683294324254051
1,3,1.8166666666666667,0.035470691206128516
1,4,1.8761904761904762,0.022782592786689752
1,5,1.9166666666666667,0.017445291707064606
1,6,1.9523809523809523,0.014730672021184428
1,7,1.9833333333333334,0.011735491270876315
1,8,2,0
1,9,2,0
1,10,2,NA
10,1,1.6,0.1632993161855452
10,2,1.6444444444444444,0.0721639236343101
10,3,1.7166666666666666,0.041307979935470175
10,4,1.7952380952380953,0.027912582877112634
10,5,1.8531746031746033,0.02233997539584809
10,6,1.9047619047619047,0.020304830129105757
10,7,1.95,0.01997898055120797
10,8,1.9777777777777779,0.022222222222222223
10,9,2,0
10,10,2,NA
100,1,1.4,0.1632993161855452
100,2,1.6888888888888889,0.07668789048930225
100,3,1.5916666666666666,0.04505805985803133
100,4,1.7857142857142858,0.028382836222822366
100,5,1.746031746031746,0.02747460833869743
100,6,1.8333333333333333,0.02577867603707275
100,7,1.9,0.027500954910846337
100,8,1.9111111111111112,0.04290254662948546
100,9,2,0
100,10,2,NA
11,1,1.3,0.15275252316519466
11,2,1.4,0.07385489458759964
11,3,1.3583333333333334,0.04395667801920045
11,4,1.3571428571428572,0.03314401204766496
11,5,1.3611111111111112,0.03031769870478009
11,6,1.338095238095238,0.03272232371404436
11,7,1.3,0.042008402520840295
11,8,1.2666666666666666,0.06666666666666667
11,9,1,0
11,10,1,NA
12,1,1.3,0.15275252316519466
12,2,1.2222222222222223,0.06267511942419625
12,3,1.3,0.042008402520840295
12,4,1.4,0.0338869496834943
12,5,1.5,0.031559720154890156
12,6,1.6,0.0338869496834943
12,7,1.7,0.042008402520840295
12,8,1.8,0.06030226891555272
12,9,1.9,0.09999999999999999
12,10,2,NA
13,1,1.2,0.19999999999999998
13,2,1.6888888888888889,0.09439987064610969
13,3,1.525,0.050157315543408104
13,4,1.5476190476190477,0.03442851454672482
13,5,1.6349206349206349,0.030389006601099094
13,6,1.7047619047619047,0.03155253554505403
13,7,1.725,0.04093189670742399
13,8,1.8,0.06030226891555272
13,9,1.9,0.09999999999999999
13,10,2,NA
14,1,1.2,0.19999999999999998
14,2,1.488888888888889,0.08774516719387473
14,3,1.5583333333333333,0.04703511015509145
14,4,1.6333333333333333,0.03333333333333333
14,5,1.6785714285714286,0.029478349466054998
14,6,1.7142857142857142,0.031248474232843364
14,7,1.7833333333333334,0.03776555522604268
14,8,1.8444444444444446,0.05463890236888291
14,9,1.9,0.09999999999999999
14,10,2,NA
15,1,1.3,0.15275252316519466
15,2,1.4222222222222223,0.07446027270295803
15,3,1.475,0.04577759534198053
15,4,1.5095238095238095,0.03457944857003125
15,5,1.5515873015873016,0.03139129414134259
15,6,1.6095238095238096,0.03374578018258081
15,7,1.7,0.042008402520840295
15,8,1.8,0.06030226891555272
15,9,1.9,0.09999999999999999
15,10,2,NA
16,1,1.4,0.1632993161855452
16,2,1.4444444444444444,0.07491109582924912
16,3,1.4833333333333334,0.04580945392704768
16,4,1.5095238095238095,0.03457944857003125
16,5,1.5674603174603174,0.0312711509660525
16,6,1.6333333333333333,0.03333333333333333
16,7,1.7,0.042008402520840295
