run,species_no,mean,std.error
1,1,1.9,0.09999999999999999
1,2,1.9111111111111112,0.04290254662948546
1,3,1.9833333333333334,0.011735491270876315
1,4,2,0
1,5,2,0
1,6,2,0
1,7,2,0
1,8,2,0
1,9,2,0
1,10,2,NA
10,1,1.6,0.1632993161855452
10,2,1.8666666666666667,0.0816496580927726
10,3,2.025,0.049454305083749046
10,4,2.1952380952380954,0.038482030466655395
10,5,2.3531746031746033,0.03546750323116637
10,6,1.9190476190476191,0.018867340071935294
10,7,1.9583333333333333,0.018318048122588696
10,8,1.9777777777777779,0.022222222222222223
10,9,2,0
10,10,2,NA
100,1,1.6,0.1632993161855452
100,2,1.7555555555555555,0.06478835438717001
100,3,1.875,0.030316953129541618
100,4,1.938095238095238,0.016669107655768536
100,5,1.9682539682539681,0.011066301673401994
100,6,1.9904761904761905,0.006718220093499974
100,7,2,0
100,8,2,0
100,9,2,0
100,10,2,NA
11,1,1.8,0.13333333333333333
11,2,1.8888888888888888,0.047377936967913425
11,3,1.9416666666666667,0.021484908824324633
11,4,1.980952380952381,0.009455209762698591
11,5,1.996031746031746,0.003968253968253968
11,6,2,0
11,7,2,0
11,8,2,0
11,9,2,0
11,10,2,NA
12,1,1.6,0.1632993161855452
12,2,1.711111111111111,0.0683294324254051
12,3,1.7666666666666666,0.03877199986918664
12,4,1.8428571428571427,0.025173938410200315
12,5,1.8888888888888888,0.01983652634122008
12,6,1.9428571428571428,0.016055756769971896
12,7,1.975,0.01431195069769
12,8,2,0
12,9,2,0
12,10,2,NA
13,1,1.8,0.13333333333333333
13,2,2,0.07106690545187014
13,3,2.1666666666666665,0.04634140348476124
13,4,2.1666666666666665,0.031361112935800545
13,5,1.9722222222222223,0.010372767909368174
13,6,1.9904761904761905,0.006718220093499974
13,7,2,0
13,8,2,0
13,9,2,0
13,10,2,NA
14,1,1.8,0.13333333333333333
14,2,1.8444444444444446,0.05463890236888291
14,3,1.9333333333333333,0.02286647801900118
14,4,1.9523809523809523,0.014730672021184428
14,5,1.996031746031746,0.003968253968253968
14,6,2,0
14,7,2,0
14,8,2,0
14,9,2,0
14,10,2,NA
15,1,1.6,0.1632993161855452
15,2,1.8,0.06030226891555272
15,3,1.8916666666666666,0.028491075150158012
15,4,1.9428571428571428,0.016055756769971896
15,5,1.9761904761904763,0.009622895669065483
15,6,1.9904761904761905,0.006718220093499974
15,7,2,0
15,8,2,0
15,9,2,0
15,10,2,NA
16,1,1.4,0.1632993161855452
16,2,1.5777777777777777,0.07446027270295803
16,3,1.7166666666666666,0.041307979935470175
16,4,1.8333333333333333,0.02577867603707275
16,5,1.9166666666666667,0.017445291707064606
16,6,1.9666666666666666,0.012416654624658324
16,7,1.9916666666666667,0.008333333333333333
16,8,2,0
16,9,2,0
16,10,2,NA
17,1,1.8,0.13333333333333333
17,2,1.9777777777777779,0.022222222222222223
17,3,1.975,0.01431195069769
17,4,2,0
17,5,2,0
17,6,2,0
17,7,2,0
17,8,2,0
17,9,2,0
17,10,2,NA
18,1,1.6,0.1632993161855452
18,2,1.7333333333333334,0.06666666666666667
18,3,1.7833333333333334,0.03776555522604268
18,4,1.8285714285714285,0.026069544122384464
18,5,1.8888888888888888,0.01983652634122008
18,6,1.938095238095238,0.016669107655768536
18,7,1.975,0.01431195069769
18,8,2,0
18,9,2,0
18,10,2,NA
19,1,1.5,0.16666666666666666
19,2,1.6444444444444444,0.0721639236343101
19,3,1.75,0.03969420930187224
19,4,1.861904761904762,0.02386414332035889
19,5,1.9166666666666667,0.017445291707064606
19,6,1.9666666666666666,0.012416654624658324
19,7,1.9916666666666667,0.008333333333333333
19,8,2,0
19,9,2,0
19,10,2,NA
2,1,1.5,0.16666666666666666
2,2,1.6444444444444444,0.0721639236343101
2,3,1.6666666666666667,0.043213581570144294
2,4,1.7571428571428571,0.029661370413965854
2,5,1.8095238095238095,0.0247855351835327
2,6,1.8857142857142857,0.022007446520957746
2,7,1.9333333333333333,0.02286647801900118
2,8,1.9777777777777779,0.022222222222222223
2,9,2,0
2,10,2,NA
20,1,1.7,0.15275252316519466
20,2,1.6666666666666667,0.0778498944161523
20,3,1.625,0.04437947515604539
20,4,1.6857142857142857,0.03211151353994379
20,5,1.7182539682539681,0.028394293050790442
20,6,1.7809523809523808,0.02860937709203404
20,7,1.8333333333333333,0.03416333590378282
20,8,1.8888888888888888,0.047377936967913425
20,9,1.9,0.09999999999999999
20,10,2,NA
21,1,1.6,0.1632993161855452
21,2,1.711111111111111,0.0683294324254051
21,3,1.85,0.032732683535398856
21,4,1.9238095238095239,0.018351366913658917
21,5,1.9682539682539681,0.011066301673401994
21,6,1.9857142857142858,0.008208302674107883
21,7,2,0
21,8,2,0
21,9,2,0
21,10,2,NA
22,1,1.7,0.15275252316519466
22,2,1.8444444444444446,0.05463890236888291
22,3,1.8833333333333333,0.02942810003883066
22,4,1.9428571428571428,0.016055756769971896
22,5,1.9761904761904763,0.009622895669065483
22,6,1.9904761904761905,0.006718220093499974
22,7,2,0
22,8,2,0
22,9,2,0
22,10,2,NA
23,1,1.7,0.15275252316519466
23,2,1.8444444444444446,0.05463890236888291
23,3,1.9416666666666667,0.021484908824324633
23,4,1.9761904761904763,0.010545556307056503
23,5,1.996031746031746,0.003968253968253968
23,6,2,0
23,7,2,0
23,8,2,0
23,9,2,0
23,10,2,NA
24,1,1.5,0.16666666666666666
24,2,1.7333333333333334,0.06666666666666667
24,3,1.8333333333333333,0.03416333590378282
24,4,1.8761904761904762,0.022782592786689752
24,5,1.9285714285714286,0.016255741322535825
24,6,1.957142857142857,0.014009635809613891
24,7,1.9833333333333334,0.011735491270876315
24,8,2,0
24,9,2,0
24,10,2,NA
25,1,1.5,0.16666666666666666
25,2,1.6666666666666667,0.07106690545187014
25,3,1.75,0.03969420930187224
25,4,1.8428571428571427,0.025173938410200315
25,5,1.8968253968253967,0.019200100061405757
25,6,1.9476190476190476,0.015410986606158606
25,7,1.975,0.01431195069769
25,8,2,0
25,9,2,0
25,10,2,NA
26,1,1.7,0.15275252316519466
26,2,1.8666666666666667,0.05124707431905382
26,3,1.9,0.027500954910846337
26,4,1.9476190476190476,0.015410986606158606
26,5,1.9880952380952381,0.006845779386845438
26,6,1.9952380952380953,0.004761904761904762
26,7,2,0
26,8,2,0
26,9,2,0
26,10,2,NA
27,1,1.5,0.16666666666666666
27,2,1.6888888888888889,0.08301285176284587
27,3,1.85,0.05377877706628422
27,4,2,0.04215649651267086
27,5,2.1507936507936507,0.03901287863987775
27,6,2.3095238095238093,0.04185299936903966
27,7,2.4583333333333335,0.0527876053555978
27,8,2.6,0.08040302522073697
27,9,2.7,0.21343747458109494
27,10,2,NA
28,1,1.7,0.15275252316519466
28,2,1.8888888888888888,0.047377936967913425
28,3,1.9583333333333333,0.018318048122588696
28,4,1.9904761904761905,0.006718220093499974
28,5,2,0
28,6,2,0
28,7,2,0
28,8,2,0
28,9,2,0
28,10,2,NA
29,1,1.4,0.22110831935702663
29,2,1.3555555555555556,0.0721639236343101
29,3,1.3916666666666666,0.04474614568527821
29,4,1.3904761904761904,0.03374578018258081
29,5,1.3888888888888888,0.030770602270580278
29,6,1.380952380952381,0.03359110046749987
29,7,1.35,0.04372373160976031
29,8,1.288888888888889,0.0683294324254051
29,9,1.1,0.09999999999999999
29,10,1,NA
3,1,1.5,0.16666666666666666
3,2,1.6666666666666667,0.07106690545187014
3,3,1.6166666666666667,0.04456973469931287
3,4,1.6714285714285715,0.032489397968768374
3,5,1.7301587301587302,0.02801727973718001
3,6,1.7952380952380953,0.027912582877112634
3,7,1.8166666666666667,0.035470691206128516
3,8,1.9111111111111112,0.04290254662948546
3,9,1.9,0.09999999999999999
3,10,2,NA
30,1,1.6,0.1632993161855452
30,2,1.8222222222222222,0.07970202644274288
30,3,1.7416666666666667,0.050896491507821925
