"run","species_no","sample_id","min_percentage","grams_required"
"1",1,"1",0.0103056,9703.5
"1",1,"10",0.00816667,12244.9
"1",1,"2",0.0565863,1767.21
"1",1,"3",0.00611111,16363.6
"1",1,"4",0.00666667,15000
"1",1,"5",0.0241667,4137.93
"1",1,"6",0.02525,3960.4
"1",1,"7",0.00833333,12000
"1",1,"8",0.015,6666.67
"1",1,"9",0.00983333,10169.5
"1",2,"1",0.0334459,2989.9
"1",2,"10",0.0315432,3170.26
"1",2,"11",0.0319182,3133.01
"1",2,"12",0.0403765,2476.69
"1",2,"13",0.0409182,2443.9
"1",2,"14",0.0324598,3080.73
"1",2,"15",0.0357932,2793.83
"1",2,"16",0.0332098,3011.16
"1",2,"17",0.0323765,3088.66
"1",2,"18",0.00638889,15652.2
"1",2,"19",0.0153333,6521.74
"1",2,"2",0.00840278,11900.8
"1",2,"20",0.015875,6299.21
"1",2,"21",0.00741667,13483.1
"1",2,"22",0.01075,9302.33
"1",2,"23",0.00805556,12413.8
"1",2,"24",0.00733333,13636.4
"1",2,"25",0.0157083,6366.05
"1",2,"26",0.01625,6153.85
"1",2,"27",0.00779167,12834.2
"1",2,"28",0.011125,8988.76
"1",2,"29",0.00833333,12000
"1",2,"3",0.0087037,11489.4
"1",2,"30",0.00770833,12973
"1",2,"31",0.0247083,4047.22
"1",2,"32",0.01625,6153.85
"1",2,"33",0.0195833,5106.38
"1",2,"34",0.017,5882.35
"1",2,"35",0.0161667,6185.57
"1",2,"36",0.0167917,5955.33
"1",2,"37",0.020125,4968.94
"1",2,"38",0.0175417,5700.71
"1",2,"39",0.0167083,5985.04
"1",2,"4",0.0172361,5801.77
"1",2,"40",0.0116667,8571.43
"1",2,"41",0.00908333,11009.2
"1",2,"42",0.00825,12121.2
"1",2,"43",0.0124167,8053.69
"1",2,"44",0.0115833,8633.09
"1",2,"45",0.009,11111.1
"1",2,"5",0.0177778,5625
"1",2,"6",0.00931944,10730.3
"1",2,"7",0.0126528,7903.4
"1",2,"8",0.0100694,9931.03
"1",2,"9",0.00923611,10827.1
"1",3,"1",0.024464,4087.65
"1",3,"10",0.0136574,7322.03
"1",3,"100",0.00841667,11881.2
"1",3,"101",0.01925,5194.81
"1",3,"102",0.0214722,4657.18
"1",3,"103",0.01975,5063.29
"1",3,"104",0.0191944,5209.84
"1",3,"105",0.0158333,6315.79
"1",3,"106",0.0141111,7086.61
"1",3,"107",0.0135556,7377.05
"1",3,"108",0.0163333,6122.45
"1",3,"109",0.0157778,6338.03
"1",3,"11",0.0140185,7133.42
"1",3,"110",0.0140556,7114.62
"1",3,"111",0.0161944,6174.96
"1",3,"112",0.0144722,6909.79
"1",3,"113",0.0139167,7185.63
"1",3,"114",0.0166944,5990.02
"1",3,"115",0.0161389,6196.21
"1",3,"116",0.0144167,6936.42
