taxize_name,subgroup,calcium,zinc,protein,fat,iron,epa,dha
Abramis brama,Finfish,26.846716666666666,0.5675133333333333,19.5,2.375,0.34216399999999997,0.09322,0.12087
Ailia coila,Finfish,110,1.2,17.1,12.6,0.82,0.16,0.12
Anabas testudineus,Finfish,85,0.6,17.564999999999998,10.295,0.87,0.03,0.059
Anarhichas lupus,Finfish,6.8,0.78,16.2,1.46875,0.15,0.16104126850612765,0.148577180135018
Aphanopus carbo,Finfish,12.95,0.385,16.233333333333334,4,0.1,0.045188149999999996,0.13160337500000002
Boreogadus saida,Finfish,20.2,0.5,24.8,1,0.6,0.165,0.329
Botia dario,Finfish,1300,4,14.9,10.6,2.5,0.096,0.084
Carassius carassius,Finfish,58,0.55,18,1.4333333333333333,0.8500000000000001,0.07539,0.05026
Carcinus maenas,Crustacean,91.55,4.296,16.8,0.5,0.286,0.154,0.115
Catostomus catostomus,Finfish,63.1,0.5,17.7,1.2,0.3,0.075,0.212
Catostomus commersonii,Finfish,19.6,0.3,17.366666666666667,2.65,0.2,0.083,0.179
Chamelea gallina,Mollusc,222.8145888888889,1.256,9.228461538461538,1.5653846153846154,7.676,0.1436040256,0.129164672
Chondrostoma nasus,Finfish,55,0.5,18,1.1,0.95,0.064194,0.096291
Clarias batrachus,Finfish,179,0.8200000000000001,16.79,4.066666666666666,0.8999999999999999,0.05312,0.03984
Clupea harengus,Finfish,20,0.701,17.425,10.144444444444444,1,0.4674999171742777,0.7635414690730953
Coregonus,Finfish,17.7,0.7,19,2.2222222222222223,0.45,0.1961604,0.145304
Coregonus autumnalis,Finfish,30,0.4,18,4,1,0.3,0.3
Coregonus clupeaformis,Finfish,23.54,1.1666666666666667,17.7375,7.166666666666667,0.755,0.18975,0.31275
Coregonus lavaretus,Finfish,33.519999999999996,0.6088333333333333,19.213333333333335,2.6666666666666665,0.36423333333333335,0.18614769,0.17853284833333333
Crassostrea gigas,Mollusc,164.98333333333335,5.3718,9.158577777777777,1.715252380952381,1.652,0.08902217736333333,0.08764939435
Crassostrea rhizophorae,Mollusc,13.14,11.871063,8.444,1.54,2.39,0.1128395,0.0619544
Crassostrea virginica,Mollusc,61,82.47999999999999,6.83,1.7799999999999998,7.65,0.11,0.09
Cyclopterus lumpus,Finfish,9.466666666666667,1.5233333333333334,10.9,14.09090909090909,0.91,1.2086677098154486,1.4647249507762934
Cyprinus carpio,Finfish,52.666666666666664,1.753792,18.634999999999998,2.097777777777778,0.925,0.07420651566666667,0.042622536066874536
Dentex,Finfish,249.29,0.61166,20.3287,2.57,0.70932,0.13979822,0.4284139
Dicentrarchus labrax,Finfish,1.6,0.7491,20.28,2.9,0.9729749999999999,0.194210361,0.3674753606
Esox lucius,Finfish,95.77109090909092,0.7687061000000001,18.36,1.126,1.2177731818181818,0.026264464499999998,0.12518811300000002
Gadiformes,Finfish,15,1.05,19.85,1.0433333333333332,0.478,0.08,0.23
Gadus macrocephalus,Finfish,11.8,0.38393333333333335,18.24,1.065,0.17766666666666667,0.0546798984585052,0.144061265329683
Gadus morhua,Finfish,10.966666666666667,1.7329999999999999,18.066666666666666,0.6633333333333333,0.8433333333333334,0.05589863629748129,0.14548357802631526
Gasterochisma melampus,Finfish,11,0.5,23.9,2,0.9,0.087873,0.32737
Hexaplex trunculus,Mollusc,674.4,112.8,17.9234025,5.2993225,8.1,0.644600278512,0.734312688408
