species_name,calcium,zinc,iron,epa,dha
Anguilla rostrata,34.166666666666664,1.31125,0.972,0.5,0.88
Anoplopoma fimbria,35,0.3,1.2,0.5249999999999999,0.5599999999999999
Callinectes sapidus,74.46666666666667,2014.5,1.46,0.2,0.2
Cancer magister,52,3.42,0.3825,0.2,0.1
Catostomus catostomus,63.1,0.5,0.3,0.075,0.212
Catostomus commersonii,43.86666666666667,0.525,0.6333333333333333,0.1365,0.23399999999999999
Centropristes striata,48.1,0.29433333333333334,0.812,0.1,0.3
Clupea harengus,41.25,0.83525,1.1,0.7733333333333333,1.1466666666666667
Clupea pallasii,51,0.5,1.8800000000000001,1,0.7
Coregonus artedi,18.58,2.29,0.37,0.1075,0.3835
Crassostrea virginica,58,96.25,6.85,0.15,0.14500000000000002
Engraulidae,816.6666666666666,0.89,1.5150000000000001,0.5,0.9
Gadiformes,29,0.71,0.364,0.09,0.21500000000000002
Hippoglossus hippoglossus,15.5,0.4,0.5,0.22050000000000003,0.315
Hippoglossus stenolepis,28,0.19,0.095,0.1,0.3
Ictalurus punctatus,46,0.815,1,0.1,0.2
Lepisosteidae,29,0.5,0.4,0.14,0.72
Lota lota,44.4,1.238888888888889,0.9,0.426,0.5585454545454546
Mercenaria mercenaria ,49,2.3,2.8,0.09,0.08
Micropogonias undulatus,56,0.3855,0.976,0.1,0.1
Morone saxatillis,15,0.32333333333333336,0.8200000000000001,0.2,0.6
Mya arenaria,53,1.7,40.5,0.2,0.2
Mytilidae,101,3.63,17,0.13,0.17
Nephropidae,34,2.54,0.935,0.18733333333333332,0.108
Octopoda,30.714285714285715,1.68,3.07,0.1,0.1
Oncorhynchus keta,11.333333333333334,0.8275,0.51875,0.3165,0.497
Oncorhynchus kisutch,50,0.4066666666666667,269.9,3.60675,8.84675
Oncorhynchus nerka,42,0.5760000000000001,0.72,0.7797499999999999,1.39825
Osmerus mordax,69.33333333333333,1.75,0.8,0.12,0.18
Ostreidae,84.66666666666667,53.6,2050.14,0.22349999999999998,0.183
Pectinidae,26.4,1.085,0.499,0.14500000000000002,0.14
Percidae,110,642.76,0.6,0.054,0.245
Pleuronectinae,23.5,0.78,0.55,0.192,0.1165
Pomatomus saltatrix,47.36,0.791,2.233,0.4,0.8
Pseudopleuronectes americanus,13.1,0.397,0.1015,0.07,0.12
Reinhardtius hippoglossoides,12.5,0.4,0.6366666666666667,0.725,0.635
Salmo salar,16.085714285714285,0.675,0.8071428571428572,0.377,1.0844
Salvelinus alpinus,39.166666666666664,2.079090909090909,1.676923076923077,0.6266666666666667,0.49666666666666665
Scomber scombrus,10,0.44633333333333336,1.1320000000000001,1.2166666666666668,2.31
Scomber spp.,23,0.519,705,1.45,2.16
Sebastes norvegicus,101.66666666666667,0.6915,0.7343333333333334,0.093,0.07150000000000001
Sebastes pinniger,9,0.4,0.4,0.2,0.3
Sebastes spp.,12,0.3385,0.53,0.2565,0.35950000000000004
Sparidae,48.333333333333336,0.9466666666666667,0.785,0.14950000000000002,0.1865
Squalus acanthias,11,0.613,1.25,0.7,1.2
Thaleichthys pacificus,194.82857142857142,1.3,1.1333333333333333,0.12,0.18
Thunnus spp.,8.666666666666666,0.33999999999999997,1.4,0.4,1.2
