culture,number_of_targets,subgroup,number_of_species,sd,se
Aleut,2.026,all,1,0.9676054259150577,0.9676054259150577
Aleut,2.745,all,2,0.9606757506557028,0.6793003378101242
Aleut,3.051,all,3,0.9334185932743521,0.538909476093549
Aleut,3.309,all,4,0.8765199868156386,0.4382599934078193
Aleut,3.498,all,5,0.7915949864814851,0.3540120400841255
Aleut,3.627,all,6,0.6930738426396941,0.2829462114228755
Aleut,3.739,all,7,0.5976924261158378,0.22590650285847913
Aleut,3.816,all,8,0.5122561921601401,0.1811099135906171
Aleut,3.868,all,9,0.43216057520644197,0.144053525068814
Aleut,3.914,all,10,0.3445616384955277,0.10895995719654201
Aleut,3.942,all,11,0.2841068755182048,0.08566144604128124
Aleut,3.962,all,12,0.21587635952693524,0.06231813714227625
Aleut,3.981,all,13,0.1505379077231435,0.04175170347668156
Aleut,3.989,all,14,0.10435463521037237,0.02788994940564213
Aleut,3.992,all,15,0.08912880535463237,0.023012958587056907
Aleut,3.997,all,16,0.054717401199198,0.0136793502997995
Aleut,3.998,all,17,0.04469897088298564,0.01084109284158577
Aleut,4,all,18,0,0
Aleut,4,all,19,0,0
Aleut,4,all,20,0,0
Aleut,4,all,21,0,0
Aleut,4,all,22,0,0
Aleut,4,all,23,0,0
Aleut,4,all,24,0,0
Aleut,4,all,25,0,0
Aleut,4,all,26,0,0
Aleut,4,all,27,0,0
Bella Coola,2.048,all,1,1.0463225080207301,1.0463225080207301
Bella Coola,2.767,all,2,1.0362358731412384,0.7327294128069327
Bella Coola,3.186,all,3,1.0200217862597076,0.5889098528763251
Bella Coola,3.439,all,4,0.9691327144505123,0.48456635722525615
Bella Coola,3.613,all,5,0.9434623050875541,0.4219291696768833
Bella Coola,3.797,all,6,0.8743886753358346,0.35696768190681627
Bella Coola,3.923,all,7,0.8171528245920335,0.3088547367149294
Bella Coola,4.04,all,8,0.7422607028200745,0.2624287881861837
Bella Coola,4.134,all,9,0.6960808347659979,0.2320269449219993
Bella Coola,4.209,all,10,0.669153769149339,0.21160500153984235
Bella Coola,4.277,all,11,0.625029328641194,0.1884534332791433
Bella Coola,4.325,all,12,0.5981076263790094,0.1726587995471446
Bella Coola,4.364,all,13,0.5760519384880463,0.15976806165762145
