lower,upper,estimate,term,nutrient
0.3322468300843755,7.151860504584812,3.742053667334594,(Intercept),calcium
-0.5876382628074163,0.20057834744379757,-0.19352995768180933,bulk_trophic_level,calcium
-0.5337620737800846,0.04272330709568217,-0.2455193833422012,log_length,calcium
-2.72544327704598,1.3404135591502497,-0.6925148589478651,feeding_modefiltering plankton,calcium
-1.7522299446155212,1.91551357911545,0.08164181724996444,feeding_modegrazing on aquatic plants,calcium
-2.6476410779435846,1.4051495482941045,-0.62124576482474,feeding_modehunting macrofauna (predator),calcium
-1.7111985876211895,3.0238773469551674,0.656339379666989,feeding_modeselective plankton feeding,calcium
-2.7848077002159353,1.208923911607663,-0.7879418943041362,feeding_modevariable,calcium
-2.138280366341327,1.3981161014988421,-0.3700821324212423,DemersPelagbenthopelagic,calcium
-2.253602514914693,1.3348041418133827,-0.45939918655065526,DemersPelagdemersal,calcium
-3.0569023255557823,1.876967964563793,-0.5899671804959947,DemersPelagpelagic,calcium
-1.564352020662881,2.1491944429231054,0.29242121113011227,DemersPelagpelagic-neritic,calcium
-1.2020248672506622,3.090168805191854,0.9440719689705959,DemersPelagpelagic-oceanic,calcium
-3.0915636126379624,1.3964131777367346,-0.8475752174506138,DemersPelagreef-associated,calcium
-0.35703724282584015,0.5052184503043421,0.07409060373925097,DepthRangeDeep,calcium
-0.46148547513165716,0.07393078538932996,-0.1937773448711636,AgeMatMin,calcium
-1.5481643379536798,1.764504738278968,0.10817020016264405,BodyShapeIelongated,calcium
-2.2636270361898005,0.6564291084234449,-0.8035989638831779,BodyShapeIfusiform / normal,calcium
-3.310841041154054,-0.05425856621410485,-1.6825498036840794,BodyShapeIshort and / or deep,calcium
-0.7969132312636541,1.825639554514047,0.5143631616251964,realmfresh,calcium
0.11372115557771467,2.1591358131729845,1.1364284843753496,realmfreshbrack,calcium
0.18413416134054084,1.7557220730497987,0.9699281171951697,realmfreshbrackmarine,calcium
0.578638126772318,2.033933433747097,1.3062857802597074,realmmarine,calcium
-1.700582039371715,3.9944599569235515,1.1469389587759182,(Intercept),iron
-0.23517068637872987,0.42278675299997837,0.09380803331062423,bulk_trophic_level,iron
-0.5631137350130819,-0.057317706019676284,-0.31021572051637913,log_length,iron
-3.4037982833711102,0.5993531174294566,-1.4022225829708268,feeding_modefiltering plankton,iron
-3.5917840366134772,0.08010020247442862,-1.7558419170695243,feeding_modegrazing on aquatic plants,iron
-3.2497773868519806,0.40559268449007146,-1.4220923511809545,feeding_modehunting macrofauna (predator),iron
-2.42082332078345,1.5405152440476797,-0.44015403836788525,feeding_modeselective plankton feeding,iron
-2.260099347304244,1.1782282639500914,-0.5409355416770764,feeding_modevariable,iron
-2.31012016654878,0.6314993291007477,-0.8393104187240162,DemersPelagbenthopelagic,iron
-2.3037831621798426,0.6893440086647065,-0.8072195767575681,DemersPelagdemersal,iron
-4.392666497670225,-0.17669267132703093,-2.2846795844986283,DemersPelagpelagic,iron
-2.4792591678803833,0.6334416988888821,-0.9229087344957506,DemersPelagpelagic-neritic,iron
-1.3469063070157063,2.2710840516177484,0.4620888723010209,DemersPelagpelagic-oceanic,iron
-2.814980030526265,1.363095576493373,-0.7259422270164458,DemersPelagreef-associated,iron
-0.24289123810430016,0.5105533868642668,0.1338310743799833,DepthRangeDeep,iron
-0.22431431869723442,0.24575708375330932,0.010721382528037456,AgeMatMin,iron
-0.9906747319761919,1.881968169402772,0.4456467187132899,BodyShapeIelongated,iron
-1.242796181546823,1.184127661141573,-0.029334260202625067,BodyShapeIfusiform / normal,iron
-1.9570705598119147,0.7566948489254555,-0.6001878554432296,BodyShapeIshort and / or deep,iron
-0.5559584211946468,1.7579698036513363,0.6010056912283447,realmfresh,iron
-0.6728406084108258,1.1233416482612324,0.22525051992520326,realmfreshbrack,iron
0.24750990261807526,1.8409948517900845,1.04425237720408,realmfreshbrackmarine,iron
-0.6372985432634387,0.648349319029632,0.005525387883096642,realmmarine,iron
-7.400179367461787,0.5460206317374969,-3.4270793678621447,(Intercept),epa
