number_of_targets,subgroup,number_of_species,sd,se,culture
1.989,all,1,1.225716680714341,1.225716680714341,global
2.869,all,2,1.2071852783629762,0.8536088964790304,global
3.423,all,3,1.0987621572834942,0.6343706272829993,global
3.742,all,4,1.0190556778088598,0.5095278389044299,global
3.961,all,5,0.9393409186026984,0.4200860296085461,global
4.197,all,6,0.8335981561195334,0.3403150221696279,global
4.328,all,7,0.7476462900161914,0.28258373600327363,global
4.449,all,8,0.6912863928046586,0.24440664804708073,global
4.54,all,9,0.6315051850925681,0.21050172836418937,global
4.606,all,10,0.5925496731204187,0.18738065938487755,global
4.661,all,11,0.5553263791567868,0.16743720325906378,global
4.699,all,12,0.5316781749156925,0.153482268704912,global
4.742,all,13,0.48751787010700814,0.1352131291058316,global
4.778,all,14,0.4459987835352412,0.11919818877905909,global
4.808,all,15,0.413892869360306,0.1068666793430978,global
4.832,all,16,0.38460879335231524,0.09615219833807881,global
4.85,all,17,0.3682874361631627,0.08932282352286124,global
4.871,all,18,0.3471015405893202,0.08181261770366867,global
4.888,all,19,0.3249023877437061,0.07453771972052015,global
4.904,all,20,0.30145459836412325,0.06740729740720765,global
4.914,all,21,0.2875529284961061,0.06274919338760145,global
4.932,all,22,0.2558152486491793,0.054539994266693634,global
4.941,all,23,0.23995119623910313,0.05003328308609076,global
4.948,all,24,0.2265995307747731,0.04625443552935732,global
4.954,all,25,0.2143126919478404,0.04286253838956808,global
4.962,all,26,0.19129190414806527,0.037515428924742515,global
4.966,all,27,0.18131981931624816,0.03489501549721673,global
4.971,all,28,0.1678904023081343,0.03172830371585056,global
4.975,all,29,0.15620307103062794,0.02900618209932651,global
4.975,all,30,0.15620307103062794,0.02851864851835222,global
4.976,all,31,0.15312559370479986,0.0275021685053798,global
4.981,all,32,0.13659303663678343,0.024146465617183022,global
4.985,all,33,0.12161327966052798,0.021170154656389457,global
4.987,all,34,0.11333068359382575,0.019436051889574455,global
4.989,all,35,0.10435463521037237,0.017639152789737697,global
4.991,all,36,0.09448771310560929,0.015747952184268214,global
4.992,all,37,0.08912880535463237,0.014652685340037868,global
4.992,all,38,0.08912880535463237,0.014458601468315582,global
4.995,all,39,0.07056897321046962,0.011300079396113152,global
4.997,all,40,0.054717401199198,0.008651580771734715,global
4.997,all,41,0.054717401199198,0.008545422386046875,global
4.997,all,42,0.054717401199198,0.008443078306256036,global
4.997,all,43,0.054717401199198,0.008344325455193244,global
4.997,all,44,0.054717401199198,0.008248958603685562,global
4.997,all,45,0.054717401199198,0.008156788575569016,global
4.997,all,46,0.054717401199198,0.008067640668522067,global
4.997,all,47,0.054717401199198,0.007981353260707902,global
4.997,all,48,0.054717401199198,0.00789777657792843,global
4.997,all,49,0.054717401199198,0.007816771599885428,global
4.997,all,50,0.054717401199198,0.007738209087371566,global
4.997,all,51,0.054717401199198,0.007661968714900729,global
4.997,all,52,0.054717401199198,0.007587938295532429,global
4.997,all,53,0.054717401199198,0.00751601308652851,global
4.998,all,54,0.04469897088298564,0.006082759482824292,global
4.998,all,55,0.04469897088298564,0.006027208004311477,global
4.998,all,56,0.04469897088298564,0.005973151235197019,global
4.998,all,57,0.04469897088298564,0.005920523326202273,global
4.999,all,58,0.03162277660168379,0.004152273992686998,global
4.999,all,59,0.03162277660168379,0.004116934847963091,global
4.999,all,60,0.03162277660168379,0.00408248290463863,global
4.999,all,61,0.03162277660168379,0.00404888165089458,global
4.999,all,62,0.03162277660168379,0.004016096644512494,global
5,all,63,0,0,global
5,all,64,0,0,global
5,all,65,0,0,global
5,all,66,0,0,global
5,all,67,0,0,global
5,all,68,0,0,global
5,all,69,0,0,global
5,all,70,0,0,global
5,all,71,0,0,global
5,all,72,0,0,global
5,all,73,0,0,global
5,all,74,0,0,global
5,all,75,0,0,global
5,all,76,0,0,global
5,all,77,0,0,global
5,all,78,0,0,global
5,all,79,0,0,global
5,all,80,0,0,global
5,all,81,0,0,global
5,all,82,0,0,global
5,all,83,0,0,global
5,all,84,0,0,global
5,all,85,0,0,global
5,all,86,0,0,global
5,all,87,0,0,global
5,all,88,0,0,global
5,all,89,0,0,global
5,all,90,0,0,global
5,all,91,0,0,global
5,all,92,0,0,global
5,all,93,0,0,global
5,all,94,0,0,global
5,all,95,0,0,global
5,all,96,0,0,global
5,all,97,0,0,global
5,all,98,0,0,global
5,all,99,0,0,global
5,all,100,0,0,global
5,all,101,0,0,global
5,all,102,0,0,global
5,all,103,0,0,global
5,all,104,0,0,global
5,all,105,0,0,global
5,all,106,0,0,global
5,all,107,0,0,global
5,all,108,0,0,global
5,all,109,0,0,global
5,all,110,0,0,global
5,all,111,0,0,global
5,all,112,0,0,global
5,all,113,0,0,global
5,all,114,0,0,global
5,all,115,0,0,global
5,all,116,0,0,global
5,all,117,0,0,global
5,all,118,0,0,global
5,all,119,0,0,global
5,all,120,0,0,global
5,all,121,0,0,global
5,all,122,0,0,global
5,all,123,0,0,global
5,all,124,0,0,global
5,all,125,0,0,global
5,all,126,0,0,global
5,all,127,0,0,global
5,all,128,0,0,global
5,all,129,0,0,global
5,all,130,0,0,global
5,all,131,0,0,global
5,all,132,0,0,global
5,all,133,0,0,global
5,all,134,0,0,global
5,all,135,0,0,global
5,all,136,0,0,global
5,all,137,0,0,global
5,all,138,0,0,global
5,all,139,0,0,global
5,all,140,0,0,global
5,all,141,0,0,global
5,all,142,0,0,global
5,all,143,0,0,global
5,all,144,0,0,global
5,all,145,0,0,global
5,all,146,0,0,global
5,all,147,0,0,global
5,all,148,0,0,global
5,all,149,0,0,global
5,all,150,0,0,global
5,all,151,0,0,global
5,all,152,0,0,global
5,all,153,0,0,global
5,all,154,0,0,global
5,all,155,0,0,global
5,all,156,0,0,global
5,all,157,0,0,global
5,all,158,0,0,global
5,all,159,0,0,global
5,all,160,0,0,global
5,all,161,0,0,global
5,all,162,0,0,global
