species_name,subgroup,mean.CA,mean.ZN,mean.FE,mean.EPA,mean.DHA,RDI.CA,RDI.FE,RDI.ZN,RDI.EPA,RDI.DHA,RDI.micro.tot
Abramis brama,finfish,26.848333333333333,0.5675133333333333,0.3416666666666667,0.09322,0.12087,0.0,0.0,0.0,0.0,0.0,0.0
Amblypharyngodon mola,finfish,1013.9,3.7666666666666666,12.2,94.6,133.3,1.0,1.0,0.0,1.0,1.0,4.0
Anabas testudineus,finfish,168.8,0.75,1.585,0.013686809749999999,0.09482440675,0.0,0.0,0.0,0.0,0.0,0.0
Anarhichas lupus,finfish,6.8,0.78,0.15,0.16104126866666665,0.14857718,0.0,0.0,0.0,0.0,0.0,0.0
Aphanopus carbo,finfish,12.95,0.385,0.1,0.045188149999999996,0.13160337500000002,0.0,0.0,0.0,0.0,0.0,0.0
Boreogadus saida,finfish,43.0,0.37,0.25,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Botia dario,finfish,1300.0,4.0,2.5,0.096,0.12,1.0,0.0,0.0,0.0,0.0,1.0
Carassius carassius,finfish,58.0,0.55,0.8500000000000001,0.07539,0.05026,0.0,0.0,0.0,0.0,0.0,0.0
Carcinus maenus,crustacean,91.55,4.296,0.286,154.0,115.0,0.0,0.0,0.0,1.0,1.0,2.0
Catla catla,finfish,115.4,1.55,0.865,0.0374498,0.0445158,0.0,0.0,0.0,0.0,0.0,0.0
Chamelea gallina,mollusc,222.8145888888889,1.21735,8.189175,0.1436040256,0.129164672,0.0,0.0,0.0,0.0,0.0,0.0
Channa striata,finfish,89.65,0.7,0.4,0.005620824,0.08419735175000001,0.0,0.0,0.0,0.0,0.0,0.0
Chondrostoma nasus,finfish,55.0,0.5,0.95,0.064194,0.096291,0.0,0.0,0.0,0.0,0.0,0.0
Cipangopaludina chinensis,mollusc,1200.0,8.1,4.3,0.00334248,0.003676728,1.0,0.0,1.0,0.0,0.0,2.0
Clarias batrachus,finfish,193.43333333333334,0.78,1.3333333333333335,0.05312,0.03984,0.0,0.0,0.0,0.0,0.0,0.0
Coregonus autumnalis,finfish,20.6,0.75,0.73,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
