taxize_name,scientific_name,asfis_scientific_name,genus_species,obs_id,submitted_name,subgroup,common_name,body_part,food_name_in_english,biblio_id,location,season,comments_on_data_processing_methods,publication_year,food_item_id,nutrient,concentration,dri_per
Solea solea,Solea solea,Solea solea,Solea solea,af202,Solea solea,Finfish,Common sole,muscle,"Common sole, wild, edible muscle tissue, raw",fi92,"Unknown (samples from local fish market, Istanbul)","Winter (Dec 2006, Jan, Feb 2007)",NA,2010,0901506,calcium,62.5988,5.216566666666667
Solea solea,Solea solea,Solea solea,Solea solea,af203,Solea solea,Finfish,Common sole,muscle,"Common sole, wild, edible muscle tissue, raw",fi92,"Unknown (samples from local fish market, Istanbul)","Spring (Mar, Apr, May 2007)",NA,2010,0901507,calcium,70.4694,5.872449999999999
Solea solea,Solea solea,Solea solea,Solea solea,af204,Solea solea,Finfish,Common sole,muscle,"Common sole, wild, edible muscle tissue, raw",fi92,"Unknown (samples from local fish market, Istanbul)","Summer (Jun, Jul, Aug 2007)",NA,2010,0901508,calcium,78.7263,6.560524999999999
Solea solea,Solea solea,Solea solea,Solea solea,af205,Solea solea,Finfish,Common sole,muscle,"Common sole, wild, edible muscle tissue, raw",fi92,"Unknown (samples from local fish market, Istanbul)","Autumn (Sep, Oct, Nov 2007)",NA,2010,0901509,calcium,44.2052,3.6837666666666666
Mullus surmuletus,Mullus surmuletus,Mullus surmuletus,Mullus surmuletus,af206,Mullus surmuletus,Finfish,Surmullet,muscle,"Striped red mullet, wild, edible muscle tissue, raw",fi92,"Unknown (samples from local fish market, Istanbul)","Winter (Dec 2006, Jan, Feb 2007)",NA,2010,0901510,calcium,51.8822,4.3235166666666665
Mullus surmuletus,Mullus surmuletus,Mullus surmuletus,Mullus surmuletus,af207,Mullus surmuletus,Finfish,Surmullet,muscle,"Striped red mullet, wild, edible muscle tissue, raw",fi92,"Unknown (samples from local fish market, Istanbul)","Spring (Mar, Apr, May 2007)",NA,2010,0901511,calcium,62.5135,5.209458333333333
Mullus surmuletus,Mullus surmuletus,Mullus surmuletus,Mullus surmuletus,af208,Mullus surmuletus,Finfish,Surmullet,muscle,"Striped red mullet, wild, edible muscle tissue, raw",fi92,"Unknown (samples from local fish market, Istanbul)","Summer (Jun, Jul, Aug 2007)",NA,2010,0901512,calcium,52.9022,4.408516666666666
Mullus surmuletus,Mullus surmuletus,Mullus surmuletus,Mullus surmuletus,af209,Mullus surmuletus,Finfish,Surmullet,muscle,"Striped red mullet, wild, edible muscle tissue, raw",fi92,"Unknown (samples from local fish market, Istanbul)","Autumn (Sep, Oct, Nov 2007)",NA,2010,0901513,calcium,60.4496,5.037466666666666
Merlangius merlangus,Merlangius merlangus,Merlangius merlangus,Merlangius merlangus,af210,Merlangius merlangus,Finfish,Whiting,muscle,"Whiting, wild, edible muscle tissue, raw",fi92,"Unknown (samples from local fish market, Istanbul)","Winter (Dec 2006, Jan, Feb 2007)",NA,2010,0901514,calcium,73.5713,6.130941666666667
Merlangius merlangus,Merlangius merlangus,Merlangius merlangus,Merlangius merlangus,af211,Merlangius merlangus,Finfish,Whiting,muscle,"Whiting, wild, edible muscle tissue, raw",fi92,"Unknown (samples from local fish market, Istanbul)","Spring (Mar, Apr, May 2007)",NA,2010,0901515,calcium,46.7305,3.8942083333333337
Merlangius merlangus,Merlangius merlangus,Merlangius merlangus,Merlangius merlangus,af212,Merlangius merlangus,Finfish,Whiting,muscle,"Whiting, wild, edible muscle tissue, raw",fi92,"Unknown (samples from local fish market, Istanbul)","Summer (Jun, Jul, Aug 2007)",NA,2010,0901516,calcium,58.831,4.902583333333334
Merlangius merlangus,Merlangius merlangus,Merlangius merlangus,Merlangius merlangus,af213,Merlangius merlangus,Finfish,Whiting,muscle,"Whiting, wild, edible muscle tissue, raw",fi92,"Unknown (samples from local fish market, Istanbul)","Autumn (Sep, Oct, Nov 2007)",NA,2010,0901517,calcium,57.394,4.7828333333333335
Scomberomorus guttatus,Scomberomorus guttatus,Scomberomorus guttatus,Scomberomorus guttatus,af224,Scomberomorus guttatus,Finfish,Indo-Pacific king mackerel,muscle_skinless,"Seer, wild, skinless, muscle flesh, raw",fi98,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1989,NA,1993,0901528,calcium,35.3,2.9416666666666664
Tenualosa ilisha,Hilsa hilsa,Tenualosa ilisha,Tenualosa ilisha,af225,Tenualosa ilisha,Finfish,Hilsa shad,muscle_skinless,"Hilsa (marine), wild, skinless, muscle flesh, raw",fi98,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1990,NA,1993,0901529,calcium,35.5,2.9583333333333335
Thryssa purava,Thryssa purava,Thryssa purava,Thryssa purava,af226,Thryssa purava,Finfish,Oblique-jaw thryssa,muscle_skinless,"Anchovy, wild, skinless, muscle flesh, raw",fi98,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1991,NA,1993,0901530,calcium,43,3.5833333333333335
Parastromateus niger,Parastromteur niger,Parastromateus niger,Parastromateus niger,af227,Parastromateus niger,Finfish,Black pomfret,muscle_skinless,"Pomfret (Black), wild, skinless, muscle flesh, raw",fi98,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1992,NA,1993,0901531,calcium,23.8,1.9833333333333334
Protonibea diacanthus,Pseudosciaena diacanthus,Protonibea diacanthus,Protonibea diacanthus,af228,Protonibea diacanthus,Finfish,Blackspotted croaker,muscle_skinless,"Jew fish, wild, skinless, muscle flesh, raw",fi98,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1993,NA,1993,0901532,calcium,14.5,1.2083333333333333
Mugil cephalus,Mugil cephalus,Mugil cephalus,Mugil cephalus,af229,Mugil cephalus,Finfish,Flathead grey mullet,muscle_skinless,"Mullet, wild, skinless, muscle flesh, raw",fi98,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1994,NA,1993,0901533,calcium,15.7,1.3083333333333331
Rastrelliger kanagurta,Rastrelliger kanagurta,Rastrelliger kanagurta,Rastrelliger kanagurta,af230,Rastrelliger kanagurta,Finfish,Indian mackerel,muscle_skinless,"Mackerel, wild, skinless, muscle flesh, raw",fi98,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1995,NA,1993,0901534,calcium,30.3,2.5250000000000004
Muraenesox talabon,Muraenesox talabon,Muraenesox spp,Muraenesox spp,af231,Muraenesox spp,Finfish,Pike-congers nei,muscle_skinless,"Conger eel, wild, skinless, muscle flesh, raw",fi98,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1996,NA,1993,0901535,calcium,11.2,0.9333333333333332
Pampus argenteus,Pampus argenteus,Pampus argenteus,Pampus argenteus,af232,Pampus argenteus,Finfish,Silver pomfret,muscle_skinless,"Pomfret (White), wild, skinless, muscle flesh, raw",fi98,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1997,NA,1993,0901536,calcium,21.6,1.8000000000000003
Caranx sansun,Caranx sansun,Caranx spp,Caranx spp,af233,Caranx spp,Finfish,"Jacks, crevalles nei",muscle_skinless,"Trevally, wild, skinless, muscle flesh, raw",fi98,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1996,NA,1993,0901537,calcium,8.9,0.7416666666666667
Nemipterus japonicus,Nemipterus japonicus,Nemipterus japonicus,Nemipterus japonicus,af234,Nemipterus japonicus,Finfish,Japanese threadfin bream,muscle_skinless,"Pinkperch, wild, skinless, muscle flesh, raw",fi98,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 1999,NA,1993,0901538,calcium,15,1.25
Sardinella fimbriata,Sardinella fimbriata,Sardinella fimbriata,Sardinella fimbriata,af235,Sardinella fimbriata,Finfish,Fringescale sardinella,muscle_skinless,"Lesser sardine, wild, skinless, muscle flesh, raw",fi98,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2000,NA,1993,0901539,calcium,51.4,4.283333333333333
Leptomelanosoma indicum,Polynemus indicus,Leptomelanosoma indicum,Leptomelanosoma indicum,af236,Leptomelanosoma indicum,Finfish,Indian threadfin,muscle_skinless,"Thread fins, wild, skinless, muscle flesh, raw",fi98,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2001,NA,1993,0901540,calcium,4.7,0.39166666666666666
Harpadon nehereus,Harpodon nehereus,Harpadon nehereus,Harpadon nehereus,af237,Harpadon nehereus,Finfish,Bombay-duck,muscle_skinless,"Bombay duck, wild, skinless, muscle flesh, raw",fi98,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2002,NA,1993,0901541,calcium,19.8,1.6500000000000001
Lates calcarifer,Lates calcarifer,Lates calcarifer,Lates calcarifer,af238,Lates calcarifer,Finfish,Barramundi,muscle_skinless,"Giant perch (marine), wild, skinless, muscle flesh, raw",fi98,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2003,NA,1993,0901542,calcium,8.8,0.7333333333333334
Scoliodon sorrakowah,Scoliodon sorrakowah,Carcharhinidae,Carcharhinidae,af239,Carcharhinidae,Finfish,Requiem sharks nei,muscle_skinless,"Shark, wild, skinless, muscle flesh, raw",fi98,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2004,NA,1993,0901543,calcium,19.3,1.6083333333333334
Tachysurus zona,Tachysurus zona,Ariidae,Ariidae,af240,Ariidae,Finfish,NA,muscle_skinless,"Cat fish, wild, skinless, muscle flesh, raw",fi98,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2005,NA,1993,0901544,calcium,6.2,0.5166666666666666
Channa marulius,Ophiocephalus marules,Channa marulius,Channa marulius,af241,Channa marulius,Finfish,Great snakehead,muscle_skinless,"Murrel, wild, skinless, muscle flesh, raw",fi98,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2006,NA,1993,0901545,calcium,10.1,0.8416666666666666
Labeo rohita,Labeo rohita,Labeo rohita,Labeo rohita,af242,Labeo rohita,Finfish,Roho labeo,muscle_skinless,"Rohu, wild, skinless, muscle flesh, raw",fi98,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2007,NA,1993,0901546,calcium,12.9,1.0750000000000002
Catla catla,Catla catla,Catla catla,Catla catla,af243,Catla catla,Finfish,Catla,muscle_skinless,"Catla, wild, skinless, muscle flesh, raw",fi98,"Unknown (samples from local fish market, Hyderabad, India)",Dec 1988-Mar 2008,NA,1993,0901547,calcium,20.8,1.7333333333333332
Homarus americanus,Homarus americanus,Homarus americanus,Homarus americanus,af616,Homarus americanus,Crustacean,American lobster,NA,"American lobster, muscle tissue (claw, leg, abdomen), raw",fi159,USA/Canada,NA,NA,2008,0901920,calcium,47.3,3.9416666666666664
Homarus americanus,Homarus americanus,Homarus americanus,Homarus americanus,af617,Homarus americanus,Crustacean,American lobster,NA,"American lobster, hepatopancreas, raw",fi159,USA/Canada,NA,NA,2008,0901921,calcium,29.3,2.4416666666666664
Homarus americanus,Homarus americanus,Homarus americanus,Homarus americanus,af618,Homarus americanus,Crustacean,American lobster,NA,"American lobster, gonads, raw",fi159,USA/Canada,NA,NA,2008,0901922,calcium,17.3,1.4416666666666669
