ref_info,Bibliography,biblioid2,seanuts_id2,food_item_id_2,food_name_clean,database,nutrient_ref,species_name,genus_species,subgroup,prot_g,protcnt_g,protein_g,fat_g,fapun3,fapun_all_g,epa,dha,ca_mg,zn_mg,fe_mg,tl,length_from_study,length_source,abs_lat,latitude,slmax,slmax_nov28,slmax_source,lwa,lwb,country_region,isscaap_cat,isscaap,season,asfis_scientific_name_fishbase_swap_in_progress,season.x,season.y,Herbivory2,HerbivoryRef,FeedingType,FeedingTypeRef,DietTroph,DietSeTroph,FoodTroph,FoodSeTroph,IsoTroph,IsoseTroph,EcoTroph,EcoseTroph,StockCode,SpecCode.x,SpecCode.y,Genus,Species,FBname,Subfamily,DemersPelag,AnaCat,DepthRangeShallow,DepthRangeDeep,LTypeMaxM,LTypeMaxF,LTypeComM,LTypeComF,Length,CommonLength,CommonLengthF,CommonLengthRef,Weight,WeightFemale,MaxWeightRef,Sp2000_HierarchyCode,reference,Fresh,Marine,BrackishWater,Brack,LengthFemale,MaxLengthRef,notes,weight_from_study,Mar_fresh,wild_farmed,body_parts_included_excluded,included_excluded,X20,vit_a_IU,K_mg,mg_mg,X32
NA,NA,NA,52,NA,NA,NA,NA,Metacarcinus magister,NA NA,crustacean,NA,NA,NA,0.6,NA,NA,NA,NA,219,0.6,46,NA,NA,NA,52.372895,52.372895,22.5,NA,http://www.sealifebase.ca/summary/Metacarcinus-magister.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,91,NA,NA,NA,NA,Oncorhynchus kisutch,Oncorhynchus kisutch,finfish,NA,NA,NA,8,NA,NA,NA,NA,66,0.7,0.6,4.25,NA,NA,52.372895,52.372895,88,108,http://www.fishbase.us/summary/245,0.01148,3.08,NA,NA,NA,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),1998,hunting macrofauna (predator),1998,NA,NA,4.18,0.7,NA,NA,NA,NA,259,245,245,Oncorhynchus,kisutch,Coho salmon,Salmoninae,demersal,anadromous,0,250,TL,NA,TL,NA,107.95,71,59.5,593,15170,NA,40637,NA,NA,-1,NA,NA,-1,65.5,40637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,136,NA,NA,NA,NA,Oncorhynchus nerka,Oncorhynchus nerka,finfish,NA,NA,NA,5,NA,NA,NA,NA,52,0.9,0.8,NA,NA,NA,52.372895,52.372895,84,NA,http://www.fishbase.org/summary/Oncorhynchus-nerka.html,0.01148,3.08,NA,NA,NA,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),30346,selective plankton feeding,NA,3.54,0.163,3.23,0.35,NA,NA,NA,NA,257,243,243,Oncorhynchus,nerka,Sockeye salmon,Salmoninae,pelagic-oceanic,anadromous,0,250,TL,NA,TL,NA,84,45,58,9988,7710,NA,40637,NA,NA,-1,NA,NA,-1,71,5723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,148,NA,NA,NA,NA,Saxidomus gigantea,NA NA,mollusc,NA,NA,NA,1,NA,NA,NA,NA,46,1.37,14,NA,NA,NA,52.372895,52.372895,13,NA,http://www.sealifebase.ca/summary/Saxidomus-gigantea.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,152,NA,NA,NA,NA,Oncorhynchus keta,Oncorhynchus keta,finfish,NA,NA,NA,3.7,NA,NA,NA,NA,44,0.58,0.7,NA,NA,NA,52.372895,52.372895,100,NA,http://www.fishbase.org/summary/241,0.0138,3.1,NA,NA,NA,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),9027,hunting macrofauna (predator),9027,3.74,0.187,3.42,0.41,NA,NA,NA,NA,255,241,241,Oncorhynchus,keta,Chum salmon,Salmoninae,benthopelagic,anadromous,0,250,FL,NA,TL,NA,100,58,NA,3561,15870,NA,40637,NA,NA,-1,NA,NA,-1,NA,559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,153,NA,NA,NA,NA,Oncorhynchus mykiss,Oncorhynchus mykiss,finfish,NA,NA,NA,6.6,NA,NA,NA,NA,43,0.66,1.5,NA,NA,NA,52.372895,52.372895,120,NA,http://www.fishbase.org/Summary/SpeciesSummary.php?ID=239&genusname=Oncorhynchus&speciesname=mykiss&AT=Salmo+gairdneri&lang=English,0.00955,3.03,NA,NA,NA,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),26523,hunting macrofauna (predator),26523,4.08,0.281,3.53,0.63,NA,NA,NA,NA,253,239,239,Oncorhynchus,mykiss,Rainbow trout,Salmoninae,benthopelagic,anadromous,0,200,TL,NA,TL,NA,122,60,NA,5504,25400,NA,7251,NA,NA,-1,NA,NA,-1,NA,96339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,167,NA,Yelloweye_rockfish,NA,NA,Sebastes ruberrimus,Sebastes ruberrimus,finfish,NA,NA,NA,1.3,NA,NA,NA,NA,32,0.36,0.18,NA,NA,NA,52.372895,52.372895,104,NA,http://www.fishbase.org/summary/Sebastes-ruberrimus.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),27302,hunting macrofauna (predator),27302,4.43,0.37,3.99,0.6,NA,NA,NA,NA,4192,3996,3996,Sebastes,ruberrimus,Yelloweye rockfish,Sebastinae,reef-associated,NA,15,549,TL,NA,NA,NA,104,NA,NA,NA,17820,NA,40637,NA,NA,0,NA,NA,0,NA,40637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,168,NA,NA,NA,NA,Haliotis cracherodii,NA NA,mollusc,NA,NA,NA,0.8,NA,NA,NA,NA,31,0.82,3.2,NA,NA,NA,52.372895,52.372895,29,NA,http://www.sealifebase.ca/summary/Haliotis-cracherodii.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,173,NA,NA,NA,NA,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,finfish,NA,NA,NA,6.7,NA,NA,NA,NA,29,0.67,0.8,NA,NA,NA,52.372895,52.372895,76,NA,http://www.fishbase.org/Summary/SpeciesSummary.php?ID=240&AT=pink+salmon,0.01148,3.08,NA,NA,NA,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),240,hunting macrofauna (predator),240,4.49,0.35,3.39,0.52,NA,NA,NA,NA,254,240,240,Oncorhynchus,gorbuscha,Pink salmon,Salmoninae,demersal,anadromous,0,250,TL,NA,TL,NA,76,50.5,NA,12193,6800,NA,27436,NA,NA,-1,NA,NA,-1,NA,9015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,177,NA,NA,NA,NA,Mytilus edulis,NA NA,mollusc,NA,NA,NA,2.2,NA,NA,NA,NA,26,1.6,4,NA,NA,NA,52.372895,52.372895,11,NA,http://www.sealifebase.ca/summary/Mytilus-edulis.html,2e-4,2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
