sciname,Genus,Species,SpeciesRefNo,Author,FBname,PicPreferredName,PicPreferredNameM,PicPreferredNameF,PicPreferredNameJ,FamCode,Subfamily,GenCode,SubGenCode,BodyShapeI,Source,AuthorRef,Remark,TaxIssue,Fresh,Brack,Saltwater,DemersPelag,AnaCat,MigratRef,DepthRangeShallow,DepthRangeDeep,DepthRangeRef,DepthRangeComShallow,DepthRangeComDeep,DepthComRef,LongevityWild,LongevityWildRef,LongevityCaptive,LongevityCapRef,Vulnerability,Length,LTypeMaxM,LengthFemale,LTypeMaxF,MaxLengthRef,CommonLength,LTypeComM,CommonLengthF,LTypeComF,CommonLengthRef,Weight,WeightFemale,MaxWeightRef,Pic,PictureFemale,LarvaPic,EggPic,ImportanceRef,Importance,PriceCateg,PriceReliability,Remarks7,LandingStatistics,Landings,MainCatchingMethod,II,MSeines,MGillnets,MCastnets,MTraps,MSpears,MTrawls,MDredges,MLiftnets,MHooksLines,MOther,UsedforAquaculture,LifeCycle,AquacultureRef,UsedasBait,BaitRef,Aquarium,AquariumFishII,AquariumRef,GameFish,GameRef,Dangerous,DangerousRef,Electrogenic,ElectroRef,Complete,GoogleImage,Comments,Profile,PD50,Emblematic,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,TS,SpecCode
Anabas testudineus,Anabas,testudineus,4833,"(Bloch, 1792)",Climbing perch,Antes_u5.jpg,Antes_m0.jpg,NA,NA,426,NA,2771,NA,fusiform / normal,O,NA,NA,0,-1,-1,0,demersal,potamodromous,51243,0,NA,4833,NA,NA,NA,NA,NA,8.0,72465,12.47,25.0,TL,NA,NA,4833,12.5,TL,NA,NA,2686,NA,NA,NA,ANTES_U1,NA,NA,NA,4931,commercial,unknown,NA,NA,"from 10,000 to 50,000",NA,NA,NA,-1,-1,0,0,0,0,0,0,0,0,commercial,NA,12108,never/rarely,NA,commercial,based mainly on breeding,7020,0,NA,harmless,NA,no special ability,NA,NA,-1,"Found mostly in canals, lakes, ponds, swamps and estuaries (Ref. 41236, 57235).  Adults occur in medium to large rivers, brooks, flooded fields and stagnant water bodies including sluggish flowing canals (Ref. 12975).  Often found in areas with dense vegetation (Ref. 12693).  Can tolerate extremely unfavorable water conditions and is associated mainly with turbid, stagnant waters (Ref. 6028).  They remain buried under the mud during dry season (Ref. 1479).  Feed on macrophytic vegetation, shrimps and fish fry (Ref. 6028).  Reported to undertake lateral migration from the Mekong mainstream, or other permanent water bodies, to flooded areas during the flood season and return to the permanent water bodies at the onset of the dry season (Ref. 37770).  During the dry season,  they stay in pools associated with submerged woods and shrubs (Ref. 37770).  Posses an accessory air-breathing organ (Ref. 2847).  Able to survive for several days or weeks out of water  if the air breathing organs can be kept moist (Ref. 1479).  Quite famous for its ability to walk; important food fish in SE Asia, considered as a tasty food fish (Ref. 6565) but not of the finest quality since it is bony (Ref. 2686).  Usually sold live in markets where it is kept alive for several days by keeping it moist (Ref. 12693).  Economic foodfish in the Southeast Asia (Ref. 57235).",NA,0.75,0,1,1990-10-17T00:00:00.000Z,2,2013-03-14T00:00:00.000Z,1,1995-02-09T00:00:00.000Z,NA,495
Mystus cavasius,Mystus,cavasius,4833,"(Hamilton, 1822)",Gangetic mystus,Mycav_u0.jpg,NA,NA,NA,130,NA,2643,NA,elongated,O,NA,NA,0,-1,-1,0,demersal,amphidromous,51243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.72,40.0,SL,NA,NA,4833,NA,NA,NA,NA,NA,1e4,NA,4833,NA,NA,NA,NA,4833,commercial,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,never/rarely,NA,NA,never/rarely,NA,never/rarely,NA,NA,0,NA,venomous,4833,no special ability,NA,NA,-1,"Found in tidal rivers and lakes; also beels, canals, ditches, ponds, and inundated fields.  Its pectoral spine can cause painful wounds (Ref. 4833).  Found in the basin-wide tributary of the lower Mekong (Ref. 36667).  Oviparous, distinct pairing possibly like other members of the same family (Ref. 205).",NA,0.5,0,2,1992-02-27T00:00:00.000Z,2,2007-06-04T00:00:00.000Z,1,1999-11-16T00:00:00.000Z,NA,5140
Mystus vittatus,Mystus,vittatus,6028,"(Bloch, 1794)",Striped dwarf catfish,Myvit_u0.jpg,NA,NA,NA,130,NA,2643,NA,elongated,O,NA,NA,0,-1,-1,0,demersal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.72,21.0,SL,NA,NA,4833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,minor commercial,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,never/rarely,NA,NA,never/rarely,NA,commercial,based mainly on capture,7319,0,NA,harmless,NA,no special ability,NA,NA,-1,"Adults inhabit standing and flowing waters.  Usually found among marginal vegetation in lakes and swamps with a mud substrate.  Feed on plants, shrimps, insects, mollusks and fish (Ref. 6028).  Oviparous, distinct pairing possibly like other members of the same family (Ref. 205).",NA,0.5,0,2,1992-02-27T00:00:00.000Z,2,2007-06-04T00:00:00.000Z,10,1996-09-26T00:00:00.000Z,NA,5137
Rita rita,Rita,rita,4833,"(Hamilton, 1822)",Rita,Ririt_u6.jpg,NA,NA,NA,130,NA,6590,NA,fusiform / normal,O,NA,NA,0,-1,-1,0,demersal,potamodromous,51243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.62,150.0,TL,NA,NA,4833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4833,commercial,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,never/rarely,NA,NA,never/rarely,NA,never/rarely,NA,NA,0,NA,harmless,NA,no special ability,NA,NA,-1,"Inhabits rivers and estuaries, preferably muddy to clear water (Ref. 1479).  Prefers backwater of quiet eddies (Ref. 12045).  Feeds on insects, mollusks, shrimps and fishes (Ref. 1479).  A very good food fish.",NA,0.5156,0,2,1992-01-22T00:00:00.000Z,10,1996-11-08T00:00:00.000Z,2,1994-08-17T00:00:00.000Z,NA,4884
Sperata seenghala,Sperata,seenghala,4833,"(Sykes, 1839)",Giant river-catfish,Spsee_u2.jpg,NA,NA,NA,130,NA,8241,NA,elongated,O,NA,NA,0,-1,-1,0,demersal,potamodromous,51243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.62,150.0,TL,NA,NA,4833,40.0,TL,NA,NA,4833,NA,NA,NA,NA,NA,NA,NA,4833,commercial,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,likely future use,NA,58352,never/rarely,NA,never/rarely,NA,NA,-1,4833,harmless,NA,no special ability,NA,NA,-1,"Found in rivers, canals, beels, ditches, inundated fields and other freshwater areas.  Adults fight well and provide good sport.  Carnivore.  Breeding occurs before the commencement of monsoons.  Oviparous, distinct pairing possibly like other members of the same genus (Ref. 205).",NA,0.5625,0,14,1994-05-10T00:00:00.000Z,10,2010-05-15T00:00:00.000Z,1,1999-11-16T00:00:00.000Z,NA,10111
Xenentodon cancila,Xenentodon,cancila,4833,"(Hamilton, 1822)",Freshwater garfish,Xecan_u3.jpg,NA,NA,NA,207,NA,2505,NA,elongated,O,NA,NA,0,-1,-1,-1,pelagic-neritic,amphidromous,51243,0,2,58302,NA,NA,NA,NA,NA,NA,NA,29.42,40.0,TL,NA,NA,4833,30.0,TL,NA,NA,4833,NA,NA,NA,XECAN_U0,NA,NA,NA,6028,minor commercial,high,Very questionable: based on ex-vessel price for species in this family,NA,NA,NA,NA,NA,-1,0,-1,0,0,0,0,0,0,-1,never/rarely,NA,NA,never/rarely,NA,potential,based mainly on breeding,7319,0,NA,traumatogenic,6028,no special ability,NA,NA,-1,"Adults occur primarily in rivers (Ref. 4833); also in ponds, canals, beels, and inundated fields (Ref. 1479).  Often found in slow-flowing pools in rivers with a rock or sand substrate (Ref. 6028).  They inhabit large and medium-sized rivers with adults occurring in areas that lack floating vegetation (Ref. 12693).  A solitary species that swims in midwater, usually against the current, and is capable of bursts of speed, especially when in pursuit of its prey.  Observed to feed exclusively on crustaceans in the wild; but take live fish only when in an aquarium (Ref. 6028).  Also feeds on small fishes and insects (Ref. 12693).  Oviparous (Ref. 205).  Eggs may be found attached to objects in the water by tendrils on the egg's surface (Ref. 205).  This fish is capable of nipping the fingers or killing a person by leaping at them at great speed (Ref. 6028; Kullander (pers. comm., 2001), however, suggests that the ""killing a person"" statement may be exaggerated).  Marketed fresh (Ref. 12693).",NA,0.75,0,14,1994-05-11T00:00:00.000Z,65,2014-02-27T00:00:00.000Z,1,2001-11-14T00:00:00.000Z,NA,10124
Channa marulius,Channa,marulius,58343,"(Hamilton, 1822)",Great snakehead,Chmar_uf.jpg,NA,NA,NA,431,NA,7138,NA,elongated,O,NA,NA,0,-1,0,0,benthopelagic,potamodromous,51243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.51,183.0,TL,NA,NA,6351,46.0,TL,NA,NA,4833,3e4,NA,4833,CHMAR_U3,NA,NA,NA,4833,commercial,unknown,NA,NA,NA,NA,,,-1,-1,0,0,0,0,0,0,-1,0,commercial,,4833,never/rarely,NA,public aquariums,based mainly on capture,6028,-1,4833,traumatogenic,NA,no special ability,NA,NA,-1,"Adults occur in sluggish or standing water in canals, lakes, and swamps (Ref.  12693).  Inhabit waters with submerged aquatic vegetation (Ref. 12693).  Usually found only in deep pools in rivers and occasionally in lakes.  They enter flooded forest (Ref. 9497).  Carnivorous and subsist on fish, frogs, snakes, insects, earthworms and tadpoles (Ref. 1479).  There are reports of this species taking water birds, snakes, and rodents.  Males are territorial.  May bite when caught (Elliot Bligh, pers. comm., 2001).",NA,0.5,0,2,1992-02-27T00:00:00.000Z,65,2014-02-27T00:00:00.000Z,1,2006-01-16T00:00:00.000Z,NA,5144
Etroplus suratensis,Etroplus,suratensis,6028,"(Bloch, 1790)",Pearlspot,Etsur_u4.jpg,NA,NA,NA,349,Etroplinae,78,NA,short and / or deep,O,NA,NA,0,0,-1,0,benthopelagic,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.39,40.0,TL,NA,NA,41236,20.0,TL,NA,NA,6028,NA,NA,NA,NA,NA,NA,NA,4833,commercial,unknown,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,commercial,NA,12108,never/rarely,NA,commercial,based mainly on breeding,7020,0,NA,harmless,NA,no special ability,NA,NA,-1,"Primarily found in brackish water but known to tolerate fresh or marine waters for short periods (Ref. 48490).  Found in large rivers, reservoirs, lagoons and estuaries.  Feed on filamentous algae, plant material and insects.",NA,0.625,0,2,1991-10-23T00:00:00.000Z,393,2010-04-05T00:00:00.000Z,10,1994-06-20T00:00:00.000Z,NA,4681
Oreochromis niloticus,Oreochromis,niloticus,2,"(Linnaeus, 1758)",Nile tilapia,Ornil_u6.jpg,NA,NA,NA,349,Pseudocrenilabrinae,3459,NA,fusiform / normal,R,NA,NA,0,-1,-1,0,benthopelagic,potamodromous,51243,0,6,32849,NA,20,34290,9.0,164,12.0,53038,30.47,60.0,SL,NA,NA,4967,NA,NA,NA,NA,NA,4324.0,NA,40637,ORNIL_U0,ORNIL_F0,NA,NA,4931,highly commercial,unknown,NA,NA,"from 100,000 to 500,000",NA,seines,,-1,-1,0,-1,0,-1,0,0,0,0,commercial,life cycle closed in commercial culture,12108,never/rarely,NA,never/rarely,,NA,0,NA,potential pest,NA,no special ability,NA,NA,-1,"Occur in a wide variety of freshwater habitats like rivers, lakes, sewage canals and irrigation channels (Ref. 28714).  Mainly diurnal.  Feed mainly on phytoplankton or benthic algae.    Oviparous (Ref. 205).  Mouthbrooding by females (Ref. 2). Extended temperature range 8-42 °C, natural temperature range 13.5 - 33 °C (Ref. 3).  Marketed fresh and frozen (Ref. 9987).",NA,0.5,0,2,1990-10-17T00:00:00.000Z,10,2013-03-30T00:00:00.000Z,97,2003-01-28T00:00:00.000Z,NA,2
Clarias batrachus,Clarias,batrachus,1479,"(Linnaeus, 1758)",Philippine catfish,Clbat_u2.jpg,NA,NA,NA,139,NA,7358,NA,elongated,O,NA,NA,0,-1,-1,0,demersal,potamodromous,51243,1,NA,2854,NA,NA,NA,NA,NA,NA,NA,24.27,47.0,TL,NA,NA,40637,26.25,TL,NA,NA,12193,1190.0,NA,40637,CLBAT_U0,NA,NA,NA,4833,commercial,unknown,NA,NA,NA,NA,NA,NA,-1,-1,-1,0,0,0,0,0,-1,0,commercial,NA,7306,never/rarely,NA,commercial,based mainly on capture,1672,0,NA,potential pest,4690,no special ability,NA,NA,-1,"Adults inhabit lowland streams (Ref. 57235), swamps, ponds, ditches, rice paddies, and pools left in low spots after rivers have been in flood (Ref. 2854, 57235).  Usually confined to stagnant, muddy water (Ref. 1479).  Found in medium to large-sized rivers, flooded fields and stagnant water bodies including sluggish flowing canals (Ref. 12975).  Undertake lateral migrations from the Mekong mainstream, or other permanent water bodies, to flooded areas during the flood season and returns to the permanent water bodies at the onset of the dry season (Ref. 37770).  Can live out of water for quite sometime and move short distances over land (Ref. 4833).  Can walk and leave the water to migrate to other water bodies using its auxiliary breathing organs.  The Lao use this fish as lap pa or ponne pa.  Feed on insect larvae, earthworms, shells, shrimps, small fish, aquatic plants and debris (Ref. 6459).  An important food fish (Ref. 4833) that is marketed live, fresh and frozen (Ref. 9987).  Recently rare, being replaced by introduced African walking catfish (Ref. 57235).",NA,0.5,0,1,1991-05-01T00:00:00.000Z,2,2012-05-17T00:00:00.000Z,1,1994-04-26T00:00:00.000Z,NA,3054
