culture,page_id,trad_food_id,genus_species,calcium,zinc,iron,epa,dha
Inuit-Inupiaq,6449,124,Salvelinus alpinus,42,1.9224999999999999,1.097,0.6266666666666667,0.49666666666666665
Inuit-Inupiaq,6406,148,Thymallus arcticus,198,0.7,1,0.10586666666666666,0.25903225806451613
Inuit-Inupiaq,6405,70,Lota lota,42.399411111111114,1.2458366666666667,0.8846668,0.51125,0.6604444444444445
Inuit-Inupiaq,6432,13,Boreogadus saida,20.2,0.5,0.6,0.165,0.329
Inuit-Inupiaq,6432,47,Gadiformes,29,0.71,0.364,0.09,0.21500000000000002
Inuit-Inupiaq,6432,49,Gadus macrocephalus,10.850000000000001,0.36545,0.17325000000000002,0.044339949000000003,0.1200306325
Inuit-Inupiaq,6432,50,Gadus morhua,10.6875,1.317375,1.13875,0.6167826515,0.5608251223333333
Inuit-Inupiaq,6432,72,Melanogrammus aeglefinus,14.6,0.4036,0.3678,0.061434433125,0.148378949375
Inuit-Inupiaq,6432,75,Merluccius productus,21.866666666666667,0.35105,0.2508,0.069467419,0.118810272
Inuit-Inupiaq,6448,145,Thaleichthys pacificus,196.95,1.3,1.6,0.12,0.18
Inuit-Inupiaq,6152,55,Hippoglossus hippoglossus,9.65,0.45999999999999996,0.33999999999999997,0.17575000000000002,0.25625
Inuit-Inupiaq,6152,81,Microstomus pacificus,23.4,0.3887666666666667,0.2113,0.08,0.09
Inuit-Inupiaq,6152,116,Pseudopleuronectes americanus,13.2,0.394,0.103,0.07,0.12
Inuit-Inupiaq,6431,5,Alosa sapidissima,30.7,0.3746,0.8714666666666666,1.086,1.321
Inuit-Inupiaq,6431,27,Clupea harengus,41.416666666666664,0.7218333333333333,1.075,0.9157499586666666,1.1687707345
Inuit-Inupiaq,6431,28,Clupea pallasii,83,0.53,1.12,0.969,0.689
Inuit-Inupiaq,6433,102,Ophiodon elongatus,18,0.24,0.6033333333333333,0,0
Inuit-Inupiaq,6439,71,Mallotus villosus,39,2.3,0.16,0.506150525,0.32961117500000003
Inuit-Inupiaq,6437,11,Anoplopoma fimbria,35,0.32,1.24,0.459,0.5193333333333333
Inuit-Inupiaq,6437,37,Cyclopterus lumpus,12.1,1.5233333333333334,0.8075,1.193143751142857,1.3903356722857143
Inuit-Inupiaq,6437,78,Micropogonias undulatus,49.333333333333336,0.39549999999999996,0.774,0.123,0.097
Inuit-Inupiaq,6437,83,Morone saxatilis,15,0.335,0.84,0.129233796125,0.18620952362499998
Inuit-Inupiaq,6437,84,Mugil cephalus,75.675,1.0393333333333334,1.1733333333333333,0.16638218325,0.10806582349999999
Inuit-Inupiaq,6437,114,Pomatomus saltatrix,24.266666666666666,0.7865,2.044,0.34492361833333335,1.10445271
Inuit-Inupiaq,6437,139,Sparidae,41,1.92,0.9575,0.199,0.273
Inuit-Inupiaq,6404,44,Esox lucius,41.46784615384615,1.416697,0.3053217857142857,0.04492148816666667,0.17025035028571428
Inuit-Inupiaq,6436,134,Sebastes norvegicus,141,0.683,0.633,0.14,0.07
Inuit-Inupiaq,6446,95,Oncorhynchus gorbuscha,10,0.39,0.655,0.182,0.333
Inuit-Inupiaq,6446,96,Oncorhynchus keta,11.333333333333334,0.92,0.5125,0.233,0.394
Inuit-Inupiaq,6446,97,Oncorhynchus kisutch,36,0.41,672.78,0.429,0.656
Inuit-Inupiaq,6446,100,Oncorhynchus nerka,93,0.42,0.7999999999999999,0.816,1.6403333333333334
Inuit-Inupiaq,6446,101,Oncorhynchus tshawytscha,21.6,0.62,1.25,0.6293333333333333,0.6813333333333333
Inuit-Inupiaq,6446,122,Salmo salar,14.65,0.6875,0.7875,0.5366574736666667,1.6619942016666667
Inuit-Inupiaq,6451,103,Osmerus mordax,67,1.7666666666666666,0.8,0.1975,0.299
Inuit-Inupiaq,6403,23,Catostomus catostomus,63.1,0.5,0.3,0.075,0.212
Inuit-Inupiaq,6403,24,Catostomus commersonii,44.8,0.525,0.75,0.1365,0.23399999999999999
Inuit-Inupiaq,6151,98,Oncorhynchus mykiss,60.055,3.66,679.384,0.270026,0.8602392
Inuit-Inupiaq,6151,125,Salvelinus fontinalis,13.683333333333334,0.6385000000000001,0.40599999999999997,0.144,0.384
Inuit-Inupiaq,6151,127,Salvelinus namaycush,11.666666666666668,2.0585714285714283,1.154,0.10400000000000001,0.31066666666666665
Inuit-Inupiaq,6442,130,Scomber scombrus,10.98,0.5178,0.9339999999999999,0.8798638388571428,1.7674037942857141
Inuit-Inupiaq,6442,131,Scomber spp.,22,0.538,1409,1.45,2.16
Inuit-Inupiaq,6442,146,Thunnus alalunga,10.45,0.43,0.77,0.31654000000000004,0.9108400000000001
Inuit-Inupiaq,6442,147,Thunnus thynnus,8.666666666666666,0.33999999999999997,1.34,0.138185,0.7217425
Inuit-Inupiaq,6388,29,Coregonus artedi,15.975,2.29,0.36,0.095,0.257
Inuit-Inupiaq,6388,30,Coregonus autumnalis,30,0.4,1,0.3,0.3
Inuit-Inupiaq,6388,31,Coregonus clupeaformis,19.333333333333332,1.19,0.6277777777777778,0.1412857142857143,0.3072857142857143
Inuit-Inupiaq,6388,143,Stenodus leucichthys,10,0.3,0.4,0.2,0.2
Inuit-Inupiaq,6505,89,Mytilidae,101,3.63,17,0.13,0.17
Inuit-Inupiaq,6505,90,Mytilus edulis,56.5,2.4875,9.3625,0.15675,0.152
Yupik,6432,13,Boreogadus saida,20.2,0.5,0.6,0.165,0.329
Yupik,6432,47,Gadiformes,29,0.71,0.364,0.09,0.21500000000000002
Yupik,6432,49,Gadus macrocephalus,10.850000000000001,0.36545,0.17325000000000002,0.044339949000000003,0.1200306325
Yupik,6432,50,Gadus morhua,10.6875,1.317375,1.13875,0.6167826515,0.5608251223333333
Yupik,6432,72,Melanogrammus aeglefinus,14.6,0.4036,0.3678,0.061434433125,0.148378949375
Yupik,6432,75,Merluccius productus,21.866666666666667,0.35105,0.2508,0.069467419,0.118810272
Yupik,6152,55,Hippoglossus hippoglossus,9.65,0.45999999999999996,0.33999999999999997,0.17575000000000002,0.25625
Yupik,6152,81,Microstomus pacificus,23.4,0.3887666666666667,0.2113,0.08,0.09
