culture,latin_name,subgroup,calcium,zinc,iron,epa,dha
Abenaki,Anguilla rostrata,Fish,34.166666666666664,1.31125,0.972,0.5,0.88
Abenaki,Boreogadus saida,Fish,20.2,0.5,0.6,0.165,0.329
Abenaki,Clupea harengus,Fish,41.25,0.83525,1.1,0.7733333333333333,1.1466666666666667
Abenaki,Clupea pallasii,Fish,51,0.5,1.8800000000000001,1,0.7
Abenaki,Crassostrea virginica,Marine Invertebrates,58,96.25,6.85,0.15,0.14500000000000002
Abenaki,Gadiformes,Fish,29,0.71,0.364,0.09,0.21500000000000002
Abenaki,Gadus macrocephalus,Fish,10,0.3,0.2,0.1,0.1
Abenaki,Gadus morhua,Fish,15.5,1.1418,1.36,1.1045,0.9751666666666666
Abenaki,Hippoglossus hippoglossus,Fish,15.5,0.4,0.5,0.22050000000000003,0.315
Abenaki,Hippoglossus stenolepis,Fish,28,0.19,0.095,0.1,0.3
Abenaki,Melanogrammus aeglefinus,Fish,24,0.5626666666666666,0.6930000000000001,0.078,0.16325
Abenaki,Mercenaria mercenaria ,Marine Invertebrates,49,2.3,2.8,0.09,0.08
Abenaki,Microstomus pacificus,Fish,39.5,0.2,0.2,0.08,0.09
Abenaki,Mya arenaria,Marine Invertebrates,53,1.7,40.5,0.2,0.2
Abenaki,Nephropidae,Marine Invertebrates,34,2.54,0.935,0.18733333333333332,0.108
Abenaki,Oncorhynchus gorbuscha,Fish,13,0.5333333333333333,0.894,0.4095,0.593
Abenaki,Oncorhynchus keta,Fish,11.333333333333334,0.8275,0.51875,0.3165,0.497
Abenaki,Oncorhynchus kisutch,Fish,50,0.4066666666666667,269.9,3.60675,8.84675
Abenaki,Oncorhynchus nerka,Fish,42,0.5760000000000001,0.72,0.7797499999999999,1.39825
Abenaki,Oncorhynchus tshawytscha,Fish,24.63157894736842,0.6133333333333333,1.4683333333333333,0.676,0.5723333333333334
Abenaki,Osmerus mordax,Fish,69.33333333333333,1.75,0.8,0.12,0.18
Abenaki,Ostreidae,Marine Invertebrates,84.66666666666667,53.6,2050.14,0.22349999999999998,0.183
Abenaki,Pleuronectinae,Fish,23.5,0.78,0.55,0.192,0.1165
Abenaki,Pseudopleuronectes americanus,Fish,13.1,0.397,0.1015,0.07,0.12
Abenaki,Reinhardtius hippoglossoides,Fish,12.5,0.4,0.6366666666666667,0.725,0.635
Abenaki,Salmo salar,Fish,16.085714285714285,0.675,0.8071428571428572,0.377,1.0844
Abenaki,Scomber scombrus,Fish,10,0.44633333333333336,1.1320000000000001,1.2166666666666668,2.31
Abenaki,Scomber spp.,Fish,23,0.519,705,1.45,2.16
Abenaki,Thunnus spp.,Fish,8.666666666666666,0.33999999999999997,1.4,0.4,1.2
Ahtna,Catostomus catostomus,Fish,63.1,0.5,0.3,0.075,0.212
Ahtna,Catostomus commersonii,Fish,43.86666666666667,0.525,0.6333333333333333,0.1365,0.23399999999999999
Ahtna,Coregonus artedi,Fish,18.58,2.29,0.37,0.1075,0.3835
