culture,latin_name,calcium,zinc,iron,epa,dha
Abenaki,Alosa sapidissima,47,0.3466666666666667,0.86,1.09,1.32
Abenaki,Anguilla rostrata,34.166666666666664,1.31125,0.972,0.5,0.88
Abenaki,Boreogadus saida,20.2,0.5,0.6,0.165,0.329
Abenaki,Clupea harengus,44.4,0.8662,1.1,0.75725,1.0755
Abenaki,Clupea pallasii,57.4,0.515,1.7533333333333334,0.9844999999999999,0.6944999999999999
Abenaki,Crassostrea virginica,54.75,94.43333333333334,6.8025,0.18933333333333335,0.194
Abenaki,Gadiformes,29,0.71,0.364,0.09,0.21500000000000002
Abenaki,Gadus macrocephalus,8.5,0.35,0.23,0.09,0.11750000000000001
Abenaki,Gadus morhua,15.555555555555555,1.0265,1.22,0.9558571428571428,0.853
Abenaki,Hippoglossus hippoglossus,15.5,0.4,0.5,0.22050000000000003,0.315
Abenaki,Hippoglossus stenolepis,28,0.19,0.095,0.1,0.3
Abenaki,Melanogrammus aeglefinus,24,0.5626666666666666,0.6930000000000001,0.078,0.16325
Abenaki,Mercenaria mercenaria ,49,2.3,2.8,0.09,0.08
Abenaki,Microstomus pacificus,39.5,0.2,0.2,0.08,0.09
Abenaki,Mya arenaria,53,1.7,40.5,0.2,0.2
Abenaki,Nephropidae,34,2.54,0.935,0.18733333333333332,0.108
Abenaki,Oncorhynchus gorbuscha,13,0.5375000000000001,0.8733333333333334,0.4126666666666667,0.5906666666666667
Abenaki,Oncorhynchus keta,11.285714285714286,0.756,0.525,0.2886666666666667,0.46266666666666667
Abenaki,Oncorhynchus kisutch,46.5,0.4075,225.01,2.9712,7.208600000000001
Abenaki,Oncorhynchus nerka,36.857142857142854,0.5700000000000001,0.6842857142857143,0.7276,1.2492
Abenaki,Oncorhynchus tshawytscha,24.5,0.5700000000000001,1.36,0.7040000000000001,0.571
Abenaki,Osmerus mordax,67,1.75,0.8,0.1975,0.299
Abenaki,Ostreidae,84.66666666666667,53.6,2050.14,0.22349999999999998,0.183
Abenaki,Pleuronectinae,23.5,0.78,0.55,0.192,0.1165
Abenaki,Pseudopleuronectes americanus,13.1,0.397,0.1015,0.07,0.12
Abenaki,Reinhardtius hippoglossoides,10.6,0.4,0.6425000000000001,0.6586666666666666,0.5543333333333333
Abenaki,Salmo salar,15.575,0.67,0.80625,0.3676666666666667,1.0886666666666667
Abenaki,Scomber scombrus,10.333333333333334,0.49225,1.215,1.137,2.0825
Abenaki,Scomber spp.,23,0.519,705,1.45,2.16
Abenaki,Theragra chalcogramma,5,0.44,0.23,0.15,0.222
Abenaki,Thunnus spp.,8.5,0.42666666666666664,1.305,0.3415,1.045
Ahtna,Catostomus catostomus,63.1,0.5,0.3,0.075,0.212
Ahtna,Catostomus commersonii,50.4,0.6,0.8,0.15433333333333332,0.2523333333333333
Ahtna,Coregonus artedi,17.483333333333334,1.81,0.376,0.10333333333333333,0.3413333333333333
Ahtna,Coregonus autumnalis,30,0.4,1,0.3,0.3
Ahtna,Coregonus clupeaformis,23.5,1.4211111111111112,0.69875,0.21180000000000002,0.4502
Ahtna,Oncorhynchus mykiss,52.22222222222222,2.805,566.4783333333334,0.26016666666666666,0.8166666666666667
Ahtna,Ophiodon elongatus,26.8,0.29333333333333333,0.642,0,0
Ahtna,Salvelinus fontinalis,29.26,0.6862,0.6652,0.13733333333333334,0.24066666666666667
