genus_species,common_name,part_edited,biblio_id,cine_id,ca_mg,fe_mg,zn_mg,epa,dha,page_id,trad_food_id,subgroup
Acipenser fulvescens,Lake Sturgeon,muscle,27,1,NA,NA,NA,NA,NA,6447,NA,NA
Acipenser fulvescens,Lake Sturgeon,muscle,44,2,6.61,0.139,0.443,NA,NA,6447,NA,NA
Acipenser oxyrinchus,Atlantic Sturgeon,muscle,55,5,NA,NA,NA,1.4,0.57,6447,NA,NA
Acipenser spp.,Sturgeon,muscle,55,7,NA,NA,NA,1.4,0.57,6447,NA,NA
Acipenser spp.,Sturgeon,muscle,27,8,NA,NA,NA,NA,NA,6447,NA,NA
Acipenser spp.,Sturgeon,eggs,27,9,NA,NA,NA,NA,NA,6447,NA,NA
Alosa pseudoharengus,Alewife,muscle,55,10,NA,NA,NA,0.1,0.27,6453,NA,NA
Alosa pseudoharengus,Alewife,muscle,55,11,NA,NA,NA,0.1,0.27,6453,NA,NA
Alosa pseudoharengus,Alewife,muscle,27,12,NA,NA,NA,NA,NA,6453,NA,NA
Alosa pseudoharengus,Alewife,whole,27,13,NA,NA,NA,NA,NA,6453,NA,NA
Alosa pseudoharengus,Alewife,viscera,27,14,NA,NA,NA,NA,NA,6453,NA,NA
Alosa pseudoharengus,Alewife,eggs,27,15,NA,NA,NA,NA,NA,6453,NA,NA
Alosa sapidissima,American Shad,muscle,27,18,NA,0.7,NA,NA,NA,6431,NA,NA
Alosa sapidissima,American Shad,viscera,27,20,NA,NA,NA,NA,NA,6431,NA,NA
Aloseinae,Shad,muscle,27,23,NA,0.57,NA,NA,NA,6431,NA,NA
Aloseinae,Shad,eggs,27,24,NA,NA,NA,NA,NA,6431,NA,NA
Ameiurus nebulosus,Brown Bullhead,muscle,44,25,12,0.653,0.403,NA,NA,6410,NA,NA
Amia calva,Bowfin,muscle,27,27,NA,NA,NA,NA,NA,6416,NA,NA
Amia calva,Bowfin,whole,27,28,NA,NA,NA,NA,NA,6416,NA,NA
Anarhichadidae,Wolf-eel and Relatives,muscle,55,29,NA,NA,NA,0.11,0.06,6443,NA,NA
Anarhichadidae,Wolf-eel and Relatives,muscle,27,32,6,NA,NA,NA,NA,6443,NA,NA
Anguilla rostrata,American Eel,muscle,55,38,NA,NA,NA,0.3,0.66,6450,NA,NA
Anguilla rostrata,American Eel,muscle,55,42,NA,NA,NA,0.3,0.66,6450,NA,NA
Anguilla rostrata,American Eel,muscle,27,45,NA,NA,NA,NA,NA,6450,NA,NA
Anguilla rostrata,American Eel,muscle,27,46,NA,NA,NA,NA,NA,6450,NA,NA
Anguilla rostrata,American Eel,muscle,27,47,56,NA,0.615,NA,NA,6450,NA,NA
Anoplopoma fimbria,Sablefish,muscle,25,51,NA,NA,NA,0.35,0.42,6437,NA,NA
