cine_id,genus_species,ca_mg,fe_mg,zn_mg,epa,dha,biblio_id,culture,culture_page_id
2,Acipenser fulvescens,6.61,0.139,0.443,NA,NA,44,Inuit-Inupiaq,6447
2,Acipenser fulvescens,6.61,0.139,0.443,NA,NA,44,Bella Coola,6447
2,Acipenser fulvescens,6.61,0.139,0.443,NA,NA,44,Central Salish,6447
2,Acipenser fulvescens,6.61,0.139,0.443,NA,NA,44,Tsimshian,6447
2,Acipenser fulvescens,6.61,0.139,0.443,NA,NA,44,Cree,6447
2,Acipenser fulvescens,6.61,0.139,0.443,NA,NA,44,Montagnais-Naskapi,6447
2,Acipenser fulvescens,6.61,0.139,0.443,NA,NA,44,Abenaki,6447
2,Acipenser fulvescens,6.61,0.139,0.443,NA,NA,44,Micmac,6447
2,Acipenser fulvescens,6.61,0.139,0.443,NA,NA,44,Wampanoag,6447
5,Acipenser oxyrinchus,NA,NA,NA,1.4,0.57,55,Inuit-Inupiaq,6447
5,Acipenser oxyrinchus,NA,NA,NA,1.4,0.57,55,Bella Coola,6447
5,Acipenser oxyrinchus,NA,NA,NA,1.4,0.57,55,Central Salish,6447
5,Acipenser oxyrinchus,NA,NA,NA,1.4,0.57,55,Tsimshian,6447
5,Acipenser oxyrinchus,NA,NA,NA,1.4,0.57,55,Cree,6447
5,Acipenser oxyrinchus,NA,NA,NA,1.4,0.57,55,Montagnais-Naskapi,6447
5,Acipenser oxyrinchus,NA,NA,NA,1.4,0.57,55,Abenaki,6447
5,Acipenser oxyrinchus,NA,NA,NA,1.4,0.57,55,Micmac,6447
5,Acipenser oxyrinchus,NA,NA,NA,1.4,0.57,55,Wampanoag,6447
7,Acipenser spp.,NA,NA,NA,1.4,0.57,55,Inuit-Inupiaq,6447
7,Acipenser spp.,NA,NA,NA,1.4,0.57,55,Bella Coola,6447
7,Acipenser spp.,NA,NA,NA,1.4,0.57,55,Central Salish,6447
7,Acipenser spp.,NA,NA,NA,1.4,0.57,55,Tsimshian,6447
7,Acipenser spp.,NA,NA,NA,1.4,0.57,55,Cree,6447
7,Acipenser spp.,NA,NA,NA,1.4,0.57,55,Montagnais-Naskapi,6447
7,Acipenser spp.,NA,NA,NA,1.4,0.57,55,Abenaki,6447
7,Acipenser spp.,NA,NA,NA,1.4,0.57,55,Micmac,6447
7,Acipenser spp.,NA,NA,NA,1.4,0.57,55,Wampanoag,6447
10,Alosa pseudoharengus,NA,NA,NA,0.1,0.27,55,Abenaki,6453
10,Alosa pseudoharengus,NA,NA,NA,0.1,0.27,55,Micmac,6453
10,Alosa pseudoharengus,NA,NA,NA,0.1,0.27,55,Wampanoag,6453
11,Alosa pseudoharengus,NA,NA,NA,0.1,0.27,55,Abenaki,6453
11,Alosa pseudoharengus,NA,NA,NA,0.1,0.27,55,Micmac,6453
11,Alosa pseudoharengus,NA,NA,NA,0.1,0.27,55,Wampanoag,6453
18,Alosa sapidissima,NA,0.7,NA,NA,NA,27,Inuit-Inupiaq,6431
18,Alosa sapidissima,NA,0.7,NA,NA,NA,27,Yupik,6431
18,Alosa sapidissima,NA,0.7,NA,NA,NA,27,Bella Coola,6431
18,Alosa sapidissima,NA,0.7,NA,NA,NA,27,Central Salish,6431
18,Alosa sapidissima,NA,0.7,NA,NA,NA,27,Tsimshian,6431
18,Alosa sapidissima,NA,0.7,NA,NA,NA,27,Haida,6431
18,Alosa sapidissima,NA,0.7,NA,NA,NA,27,Tlingit,6431
18,Alosa sapidissima,NA,0.7,NA,NA,NA,27,Kwakiutl,6431
18,Alosa sapidissima,NA,0.7,NA,NA,NA,27,Nootkan,6431
18,Alosa sapidissima,NA,0.7,NA,NA,NA,27,Abenaki,6431
18,Alosa sapidissima,NA,0.7,NA,NA,NA,27,Micmac,6431
23,Aloseinae,NA,0.57,NA,NA,NA,27,Inuit-Inupiaq,6431
23,Aloseinae,NA,0.57,NA,NA,NA,27,Yupik,6431
23,Aloseinae,NA,0.57,NA,NA,NA,27,Bella Coola,6431
23,Aloseinae,NA,0.57,NA,NA,NA,27,Central Salish,6431
23,Aloseinae,NA,0.57,NA,NA,NA,27,Tsimshian,6431
23,Aloseinae,NA,0.57,NA,NA,NA,27,Haida,6431
23,Aloseinae,NA,0.57,NA,NA,NA,27,Tlingit,6431
23,Aloseinae,NA,0.57,NA,NA,NA,27,Kwakiutl,6431
23,Aloseinae,NA,0.57,NA,NA,NA,27,Nootkan,6431
23,Aloseinae,NA,0.57,NA,NA,NA,27,Abenaki,6431
23,Aloseinae,NA,0.57,NA,NA,NA,27,Micmac,6431
25,Ameiurus nebulosus,12,0.653,0.403,NA,NA,44,Montagnais-Naskapi,6410
29,Anarhichadidae,NA,NA,NA,0.11,0.06,55,Central Salish,6443
29,Anarhichadidae,NA,NA,NA,0.11,0.06,55,Tlingit,6443
29,Anarhichadidae,NA,NA,NA,0.11,0.06,55,Nootkan,6443
32,Anarhichadidae,6,NA,NA,NA,NA,27,Central Salish,6443
32,Anarhichadidae,6,NA,NA,NA,NA,27,Tlingit,6443
32,Anarhichadidae,6,NA,NA,NA,NA,27,Nootkan,6443
38,Anguilla rostrata,NA,NA,NA,0.3,0.66,55,Montagnais-Naskapi,6450
38,Anguilla rostrata,NA,NA,NA,0.3,0.66,55,Abenaki,6450
38,Anguilla rostrata,NA,NA,NA,0.3,0.66,55,Micmac,6450
38,Anguilla rostrata,NA,NA,NA,0.3,0.66,55,Wampanoag,6450
42,Anguilla rostrata,NA,NA,NA,0.3,0.66,55,Montagnais-Naskapi,6450
42,Anguilla rostrata,NA,NA,NA,0.3,0.66,55,Abenaki,6450
42,Anguilla rostrata,NA,NA,NA,0.3,0.66,55,Micmac,6450
42,Anguilla rostrata,NA,NA,NA,0.3,0.66,55,Wampanoag,6450
47,Anguilla rostrata,56,NA,0.615,NA,NA,27,Montagnais-Naskapi,6450
47,Anguilla rostrata,56,NA,0.615,NA,NA,27,Abenaki,6450
47,Anguilla rostrata,56,NA,0.615,NA,NA,27,Micmac,6450
47,Anguilla rostrata,56,NA,0.615,NA,NA,27,Wampanoag,6450
51,Anoplopoma fimbria,NA,NA,NA,0.35,0.42,25,Inuit-Inupiaq,6437
51,Anoplopoma fimbria,NA,NA,NA,0.35,0.42,25,Yupik,6437
51,Anoplopoma fimbria,NA,NA,NA,0.35,0.42,25,Bella Coola,6437
51,Anoplopoma fimbria,NA,NA,NA,0.35,0.42,25,Central Salish,6437
51,Anoplopoma fimbria,NA,NA,NA,0.35,0.42,25,Tsimshian,6437
51,Anoplopoma fimbria,NA,NA,NA,0.35,0.42,25,Haida,6437
51,Anoplopoma fimbria,NA,NA,NA,0.35,0.42,25,Tlingit,6437
51,Anoplopoma fimbria,NA,NA,NA,0.35,0.42,25,Kwakiutl,6437
51,Anoplopoma fimbria,NA,NA,NA,0.35,0.42,25,Nootkan,6437
51,Anoplopoma fimbria,NA,NA,NA,0.35,0.42,25,Micmac,6437
51,Anoplopoma fimbria,NA,NA,NA,0.35,0.42,25,Wampanoag,6437
52,Anoplopoma fimbria,35,1.2,NA,NA,NA,27,Inuit-Inupiaq,6437
52,Anoplopoma fimbria,35,1.2,NA,NA,NA,27,Yupik,6437
52,Anoplopoma fimbria,35,1.2,NA,NA,NA,27,Bella Coola,6437
52,Anoplopoma fimbria,35,1.2,NA,NA,NA,27,Central Salish,6437
52,Anoplopoma fimbria,35,1.2,NA,NA,NA,27,Tsimshian,6437
52,Anoplopoma fimbria,35,1.2,NA,NA,NA,27,Haida,6437
52,Anoplopoma fimbria,35,1.2,NA,NA,NA,27,Tlingit,6437
52,Anoplopoma fimbria,35,1.2,NA,NA,NA,27,Kwakiutl,6437
52,Anoplopoma fimbria,35,1.2,NA,NA,NA,27,Nootkan,6437
52,Anoplopoma fimbria,35,1.2,NA,NA,NA,27,Micmac,6437
52,Anoplopoma fimbria,35,1.2,NA,NA,NA,27,Wampanoag,6437
61,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Inuit-Inupiaq,6432
61,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Yupik,6432
61,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Bella Coola,6432
61,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Central Salish,6432
61,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Tsimshian,6432
61,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Haida,6432
61,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Tlingit,6432
61,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Kwakiutl,6432
61,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Nootkan,6432
61,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Cree,6432
61,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Montagnais-Naskapi,6432
61,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Abenaki,6432
61,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Micmac,6432
61,Boreogadus saida,20.2,0.6,0.5,0.165,0.329,2,Wampanoag,6432
64,Brachyura,60,5.2,2.83,NA,NA,27,Yupik,6518
64,Brachyura,60,5.2,2.83,NA,NA,27,Bella Coola,6518
64,Brachyura,60,5.2,2.83,NA,NA,27,Tsimshian,6518
64,Brachyura,60,5.2,2.83,NA,NA,27,Tlingit,6518
64,Brachyura,60,5.2,2.83,NA,NA,27,Kwakiutl,6518
64,Brachyura,60,5.2,2.83,NA,NA,27,Nootkan,6518
64,Brachyura,60,5.2,2.83,NA,NA,27,Micmac,6518
64,Brachyura,60,5.2,2.83,NA,NA,27,Wampanoag,6518
68,Brevoortia tyrannus,60,NA,NA,NA,NA,27,Inuit-Inupiaq,6431
68,Brevoortia tyrannus,60,NA,NA,NA,NA,27,Yupik,6431
68,Brevoortia tyrannus,60,NA,NA,NA,NA,27,Bella Coola,6431
68,Brevoortia tyrannus,60,NA,NA,NA,NA,27,Central Salish,6431
68,Brevoortia tyrannus,60,NA,NA,NA,NA,27,Tsimshian,6431
68,Brevoortia tyrannus,60,NA,NA,NA,NA,27,Haida,6431
68,Brevoortia tyrannus,60,NA,NA,NA,NA,27,Tlingit,6431
68,Brevoortia tyrannus,60,NA,NA,NA,NA,27,Kwakiutl,6431
68,Brevoortia tyrannus,60,NA,NA,NA,NA,27,Nootkan,6431
68,Brevoortia tyrannus,60,NA,NA,NA,NA,27,Abenaki,6431
68,Brevoortia tyrannus,60,NA,NA,NA,NA,27,Micmac,6431
72,Callinectes sapidus,74,NA,NA,NA,NA,65,Yupik,6518
72,Callinectes sapidus,74,NA,NA,NA,NA,65,Bella Coola,6518
72,Callinectes sapidus,74,NA,NA,NA,NA,65,Tsimshian,6518
72,Callinectes sapidus,74,NA,NA,NA,NA,65,Tlingit,6518
72,Callinectes sapidus,74,NA,NA,NA,NA,65,Kwakiutl,6518
72,Callinectes sapidus,74,NA,NA,NA,NA,65,Nootkan,6518
72,Callinectes sapidus,74,NA,NA,NA,NA,65,Micmac,6518
72,Callinectes sapidus,74,NA,NA,NA,NA,65,Wampanoag,6518
73,Callinectes sapidus,115,2.32,4.025,NA,NA,27,Yupik,6518
73,Callinectes sapidus,115,2.32,4.025,NA,NA,27,Bella Coola,6518
73,Callinectes sapidus,115,2.32,4.025,NA,NA,27,Tsimshian,6518
73,Callinectes sapidus,115,2.32,4.025,NA,NA,27,Tlingit,6518
73,Callinectes sapidus,115,2.32,4.025,NA,NA,27,Kwakiutl,6518
73,Callinectes sapidus,115,2.32,4.025,NA,NA,27,Nootkan,6518
73,Callinectes sapidus,115,2.32,4.025,NA,NA,27,Micmac,6518
73,Callinectes sapidus,115,2.32,4.025,NA,NA,27,Wampanoag,6518
76,Cancer borealis,96,NA,NA,NA,NA,27,Yupik,6518
76,Cancer borealis,96,NA,NA,NA,NA,27,Bella Coola,6518
76,Cancer borealis,96,NA,NA,NA,NA,27,Tsimshian,6518
76,Cancer borealis,96,NA,NA,NA,NA,27,Tlingit,6518
76,Cancer borealis,96,NA,NA,NA,NA,27,Kwakiutl,6518
76,Cancer borealis,96,NA,NA,NA,NA,27,Nootkan,6518
76,Cancer borealis,96,NA,NA,NA,NA,27,Micmac,6518
76,Cancer borealis,96,NA,NA,NA,NA,27,Wampanoag,6518
78,Cancer borealis,NA,NA,NA,0.28,0.1,55,Yupik,6518
78,Cancer borealis,NA,NA,NA,0.28,0.1,55,Bella Coola,6518
78,Cancer borealis,NA,NA,NA,0.28,0.1,55,Tsimshian,6518
78,Cancer borealis,NA,NA,NA,0.28,0.1,55,Tlingit,6518
78,Cancer borealis,NA,NA,NA,0.28,0.1,55,Kwakiutl,6518
78,Cancer borealis,NA,NA,NA,0.28,0.1,55,Nootkan,6518
78,Cancer borealis,NA,NA,NA,0.28,0.1,55,Micmac,6518
78,Cancer borealis,NA,NA,NA,0.28,0.1,55,Wampanoag,6518
79,Cancer irroratus,NA,NA,NA,0.27,0.15,55,Yupik,6518
79,Cancer irroratus,NA,NA,NA,0.27,0.15,55,Bella Coola,6518
79,Cancer irroratus,NA,NA,NA,0.27,0.15,55,Tsimshian,6518
79,Cancer irroratus,NA,NA,NA,0.27,0.15,55,Tlingit,6518
79,Cancer irroratus,NA,NA,NA,0.27,0.15,55,Kwakiutl,6518
79,Cancer irroratus,NA,NA,NA,0.27,0.15,55,Nootkan,6518
79,Cancer irroratus,NA,NA,NA,0.27,0.15,55,Micmac,6518
79,Cancer irroratus,NA,NA,NA,0.27,0.15,55,Wampanoag,6518
80,Cancer irroratus,NA,NA,NA,0.27,0.15,55,Yupik,6518
80,Cancer irroratus,NA,NA,NA,0.27,0.15,55,Bella Coola,6518
80,Cancer irroratus,NA,NA,NA,0.27,0.15,55,Tsimshian,6518
80,Cancer irroratus,NA,NA,NA,0.27,0.15,55,Tlingit,6518
80,Cancer irroratus,NA,NA,NA,0.27,0.15,55,Kwakiutl,6518
80,Cancer irroratus,NA,NA,NA,0.27,0.15,55,Nootkan,6518
80,Cancer irroratus,NA,NA,NA,0.27,0.15,55,Micmac,6518
80,Cancer irroratus,NA,NA,NA,0.27,0.15,55,Wampanoag,6518
83,Cancer magister,52,0.365,3.76,NA,NA,27,Yupik,6518
83,Cancer magister,52,0.365,3.76,NA,NA,27,Bella Coola,6518
83,Cancer magister,52,0.365,3.76,NA,NA,27,Tsimshian,6518
83,Cancer magister,52,0.365,3.76,NA,NA,27,Tlingit,6518
83,Cancer magister,52,0.365,3.76,NA,NA,27,Kwakiutl,6518
83,Cancer magister,52,0.365,3.76,NA,NA,27,Nootkan,6518
83,Cancer magister,52,0.365,3.76,NA,NA,27,Micmac,6518
83,Cancer magister,52,0.365,3.76,NA,NA,27,Wampanoag,6518
84,Cancer magister,NA,NA,2.7,NA,NA,27,Yupik,6518
84,Cancer magister,NA,NA,2.7,NA,NA,27,Bella Coola,6518
84,Cancer magister,NA,NA,2.7,NA,NA,27,Tsimshian,6518
84,Cancer magister,NA,NA,2.7,NA,NA,27,Tlingit,6518
84,Cancer magister,NA,NA,2.7,NA,NA,27,Kwakiutl,6518
84,Cancer magister,NA,NA,2.7,NA,NA,27,Nootkan,6518
84,Cancer magister,NA,NA,2.7,NA,NA,27,Micmac,6518
84,Cancer magister,NA,NA,2.7,NA,NA,27,Wampanoag,6518
86,Carassius auratus,76,NA,NA,NA,NA,27,Central Salish,6408
86,Carassius auratus,76,NA,NA,NA,NA,27,Nootkan,6408
87,Carassius auratus,NA,5.6,6,NA,NA,27,Central Salish,6408
87,Carassius auratus,NA,5.6,6,NA,NA,27,Nootkan,6408
88,Cardiidae,NA,7.8,NA,NA,NA,27,Tsimshian,6506
88,Cardiidae,NA,7.8,NA,NA,NA,27,Haida,6506
88,Cardiidae,NA,7.8,NA,NA,NA,27,Tlingit,6506
88,Cardiidae,NA,7.8,NA,NA,NA,27,Kwakiutl,6506
88,Cardiidae,NA,7.8,NA,NA,NA,27,Nootkan,6506
90,Cardiidae,116,NA,NA,NA,NA,27,Tsimshian,6506
90,Cardiidae,116,NA,NA,NA,NA,27,Haida,6506
