genus_species,culture,ca_mg,zn_mg,fe_mg,epa,dha,ca_na,fe_na,zn_na,epa_na,dha_na,nutrient_na
Alosa sapidissima,Abenaki,30.7,0.3746,0.8714666666666666,1.086,1.321,0,0,0,0,0,0
Alosa sapidissima,Bella Coola,30.7,0.3746,0.8714666666666666,1.086,1.321,0,0,0,0,0,0
Alosa sapidissima,Central Salish,30.7,0.3746,0.8714666666666666,1.086,1.321,0,0,0,0,0,0
Alosa sapidissima,Haida,30.7,0.3746,0.8714666666666666,1.086,1.321,0,0,0,0,0,0
Alosa sapidissima,Inuit-Inupiaq,30.7,0.3746,0.8714666666666666,1.086,1.321,0,0,0,0,0,0
Alosa sapidissima,Kwakiutl,30.7,0.3746,0.8714666666666666,1.086,1.321,0,0,0,0,0,0
Alosa sapidissima,Micmac,30.7,0.3746,0.8714666666666666,1.086,1.321,0,0,0,0,0,0
Alosa sapidissima,Nootkan,30.7,0.3746,0.8714666666666666,1.086,1.321,0,0,0,0,0,0
Alosa sapidissima,Tlingit,30.7,0.3746,0.8714666666666666,1.086,1.321,0,0,0,0,0,0
Alosa sapidissima,Tsimshian,30.7,0.3746,0.8714666666666666,1.086,1.321,0,0,0,0,0,0
Alosa sapidissima,Yupik,30.7,0.3746,0.8714666666666666,1.086,1.321,0,0,0,0,0,0
Anoplopoma fimbria,Bella Coola,35,0.32,1.24,0.459,0.5193333333333333,0,0,0,0,0,0
Anoplopoma fimbria,Central Salish,35,0.32,1.24,0.459,0.5193333333333333,0,0,0,0,0,0
Anoplopoma fimbria,Haida,35,0.32,1.24,0.459,0.5193333333333333,0,0,0,0,0,0
Anoplopoma fimbria,Inuit-Inupiaq,35,0.32,1.24,0.459,0.5193333333333333,0,0,0,0,0,0
Anoplopoma fimbria,Kwakiutl,35,0.32,1.24,0.459,0.5193333333333333,0,0,0,0,0,0
Anoplopoma fimbria,Micmac,35,0.32,1.24,0.459,0.5193333333333333,0,0,0,0,0,0
Anoplopoma fimbria,Nootkan,35,0.32,1.24,0.459,0.5193333333333333,0,0,0,0,0,0
Anoplopoma fimbria,Tlingit,35,0.32,1.24,0.459,0.5193333333333333,0,0,0,0,0,0
Anoplopoma fimbria,Tsimshian,35,0.32,1.24,0.459,0.5193333333333333,0,0,0,0,0,0
Anoplopoma fimbria,Wampanoag,35,0.32,1.24,0.459,0.5193333333333333,0,0,0,0,0,0
Anoplopoma fimbria,Yupik,35,0.32,1.24,0.459,0.5193333333333333,0,0,0,0,0,0
Boreogadus saida,Abenaki,20.2,0.5,0.6,0.165,0.329,0,0,0,0,0,0
Boreogadus saida,Bella Coola,20.2,0.5,0.6,0.165,0.329,0,0,0,0,0,0
Boreogadus saida,Central Salish,20.2,0.5,0.6,0.165,0.329,0,0,0,0,0,0
Boreogadus saida,Cree,20.2,0.5,0.6,0.165,0.329,0,0,0,0,0,0
Boreogadus saida,Haida,20.2,0.5,0.6,0.165,0.329,0,0,0,0,0,0
Boreogadus saida,Inuit-Inupiaq,20.2,0.5,0.6,0.165,0.329,0,0,0,0,0,0
Boreogadus saida,Kwakiutl,20.2,0.5,0.6,0.165,0.329,0,0,0,0,0,0
Boreogadus saida,Micmac,20.2,0.5,0.6,0.165,0.329,0,0,0,0,0,0
Boreogadus saida,Montagnais-Naskapi,20.2,0.5,0.6,0.165,0.329,0,0,0,0,0,0
Boreogadus saida,Nootkan,20.2,0.5,0.6,0.165,0.329,0,0,0,0,0,0
Boreogadus saida,Tlingit,20.2,0.5,0.6,0.165,0.329,0,0,0,0,0,0
Boreogadus saida,Tsimshian,20.2,0.5,0.6,0.165,0.329,0,0,0,0,0,0
Boreogadus saida,Wampanoag,20.2,0.5,0.6,0.165,0.329,0,0,0,0,0,0
Boreogadus saida,Yupik,20.2,0.5,0.6,0.165,0.329,0,0,0,0,0,0
Callinectes sapidus,Bella Coola,92.66666666666667,3.7825,1.5299999999999998,0.17,0.15,0,0,0,0,0,0
Callinectes sapidus,Kwakiutl,92.66666666666667,3.7825,1.5299999999999998,0.17,0.15,0,0,0,0,0,0
Callinectes sapidus,Micmac,92.66666666666667,3.7825,1.5299999999999998,0.17,0.15,0,0,0,0,0,0
Callinectes sapidus,Nootkan,92.66666666666667,3.7825,1.5299999999999998,0.17,0.15,0,0,0,0,0,0
Callinectes sapidus,Tlingit,92.66666666666667,3.7825,1.5299999999999998,0.17,0.15,0,0,0,0,0,0
Callinectes sapidus,Tsimshian,92.66666666666667,3.7825,1.5299999999999998,0.17,0.15,0,0,0,0,0,0
Callinectes sapidus,Wampanoag,92.66666666666667,3.7825,1.5299999999999998,0.17,0.15,0,0,0,0,0,0
Callinectes sapidus,Yupik,92.66666666666667,3.7825,1.5299999999999998,0.17,0.15,0,0,0,0,0,0
Cancer magister,Bella Coola,49,3.5766666666666667,0.3675,0.219,0.088,0,0,0,0,0,0
Cancer magister,Kwakiutl,49,3.5766666666666667,0.3675,0.219,0.088,0,0,0,0,0,0
Cancer magister,Micmac,49,3.5766666666666667,0.3675,0.219,0.088,0,0,0,0,0,0
Cancer magister,Nootkan,49,3.5766666666666667,0.3675,0.219,0.088,0,0,0,0,0,0
Cancer magister,Tlingit,49,3.5766666666666667,0.3675,0.219,0.088,0,0,0,0,0,0
Cancer magister,Tsimshian,49,3.5766666666666667,0.3675,0.219,0.088,0,0,0,0,0,0
Cancer magister,Wampanoag,49,3.5766666666666667,0.3675,0.219,0.088,0,0,0,0,0,0
Cancer magister,Yupik,49,3.5766666666666667,0.3675,0.219,0.088,0,0,0,0,0,0
Catostomus catostomus,Central Salish,63.1,0.5,0.3,0.075,0.212,0,0,0,0,0,0
Catostomus catostomus,Cree,63.1,0.5,0.3,0.075,0.212,0,0,0,0,0,0
Catostomus catostomus,Inuit-Inupiaq,63.1,0.5,0.3,0.075,0.212,0,0,0,0,0,0
Catostomus catostomus,Micmac,63.1,0.5,0.3,0.075,0.212,0,0,0,0,0,0
Catostomus catostomus,Montagnais-Naskapi,63.1,0.5,0.3,0.075,0.212,0,0,0,0,0,0
Catostomus catostomus,Tlingit,63.1,0.5,0.3,0.075,0.212,0,0,0,0,0,0
Catostomus commersonii,Central Salish,44.8,0.525,0.75,0.1365,0.23399999999999999,0,0,0,0,0,0
Catostomus commersonii,Cree,44.8,0.525,0.75,0.1365,0.23399999999999999,0,0,0,0,0,0
Catostomus commersonii,Inuit-Inupiaq,44.8,0.525,0.75,0.1365,0.23399999999999999,0,0,0,0,0,0
Catostomus commersonii,Micmac,44.8,0.525,0.75,0.1365,0.23399999999999999,0,0,0,0,0,0
Catostomus commersonii,Montagnais-Naskapi,44.8,0.525,0.75,0.1365,0.23399999999999999,0,0,0,0,0,0
Catostomus commersonii,Tlingit,44.8,0.525,0.75,0.1365,0.23399999999999999,0,0,0,0,0,0
Clupea harengus,Abenaki,41.416666666666664,0.7218333333333333,1.075,0.9157499586666666,1.1687707345,0,0,0,0,0,0
Clupea harengus,Bella Coola,41.416666666666664,0.7218333333333333,1.075,0.9157499586666666,1.1687707345,0,0,0,0,0,0
Clupea harengus,Central Salish,41.416666666666664,0.7218333333333333,1.075,0.9157499586666666,1.1687707345,0,0,0,0,0,0
Clupea harengus,Haida,41.416666666666664,0.7218333333333333,1.075,0.9157499586666666,1.1687707345,0,0,0,0,0,0
