seanuts_id2,species1,nutrient,concentration,feeding_mode,feeding_level,EnvTemp,DemersPelag,BodyShapeI,part,log_concentration,log_length,bulk_trophic_level,DepthRangeDeep,AgeMatMin,realm,source
NA,Acipenser fulvescens,ca_mg,6.61,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,demersal,elongated,muscle,1.888583653863595,5.6131281063880705,3.27999997138977,9,18,freshbrack,cine
NA,Acipenser fulvescens,ca_mg,14,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,demersal,elongated,muscle,2.6390573296152584,5.6131281063880705,3.27999997138977,9,18,freshbrack,cine
NA,Acipenser fulvescens,zn_mg,0.443,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,demersal,elongated,muscle,-0.8141855089370014,5.6131281063880705,3.27999997138977,9,18,freshbrack,cine
NA,Acipenser fulvescens,fe_mg,0.139,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,demersal,elongated,muscle,-1.973281345851445,5.6131281063880705,3.27999997138977,9,18,freshbrack,cine
NA,Acipenser fulvescens,fe_mg,1.5,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,demersal,elongated,muscle,0.4054651081081644,5.6131281063880705,3.27999997138977,9,18,freshbrack,cine
NA,Acipenser fulvescens,protein_g,17.1,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,demersal,elongated,muscle,2.8390784635086144,5.6131281063880705,3.27999997138977,9,18,freshbrack,cine
NA,Acipenser fulvescens,protein_g,18.3,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,demersal,elongated,muscle,2.9069010598473755,5.6131281063880705,3.27999997138977,9,18,freshbrack,cine
NA,Acipenser fulvescens,protein_g,16.8,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,demersal,elongated,muscle,2.8213788864092133,5.6131281063880705,3.27999997138977,9,18,freshbrack,cine
NA,Acipenser fulvescens,fat_g,9.1,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,demersal,elongated,muscle,2.2082744135228043,5.6131281063880705,3.27999997138977,9,18,freshbrack,cine
NA,Acipenser fulvescens,fat_g,3.31,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,demersal,elongated,muscle,1.1969481893889715,5.6131281063880705,3.27999997138977,9,18,freshbrack,cine
NA,Acipenser fulvescens,fat_g,10.8,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,demersal,elongated,muscle,2.379546134130174,5.6131281063880705,3.27999997138977,9,18,freshbrack,cine
NA,Acipenser fulvescens,mn_mg,0.02,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,demersal,elongated,muscle,-3.912023005428146,5.6131281063880705,3.27999997138977,9,18,freshbrack,cine
NA,Acipenser oxyrinchus,fat_g,6,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,elongated,muscle,1.791759469228055,5.998936561946683,3.325,46,15.11111111111111,freshbrackmarine,cine
NA,Acipenser oxyrinchus,fapun_all_g,2.1,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,elongated,muscle,0.7419373447293773,5.998936561946683,3.325,46,15.11111111111111,freshbrackmarine,cine
NA,Acipenser oxyrinchus,fapun_all_g,2.55,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,demersal,elongated,muscle,0.9360933591703348,5.998936561946683,3.325,46,15.11111111111111,freshbrackmarine,cine
NA,Alosa pseudoharengus,protein_g,17.3,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic-neritic,fusiform / normal,muscle,2.8507065015037334,3.6888794541139363,3.29,145,2.3333333333333335,freshbrackmarine,cine
NA,Alosa pseudoharengus,protein_g,14,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic-neritic,fusiform / normal,whole,2.6390573296152584,3.6888794541139363,3.29,145,2.3333333333333335,freshbrackmarine,cine
NA,Alosa pseudoharengus,protein_g,15.6,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic-neritic,fusiform / normal,offal,2.747270914255491,3.6888794541139363,3.29,145,2.3333333333333335,freshbrackmarine,cine
NA,Alosa pseudoharengus,protein_g,16,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic-neritic,fusiform / normal,eggs,2.772588722239781,3.6888794541139363,3.29,145,2.3333333333333335,freshbrackmarine,cine
NA,Alosa pseudoharengus,fat_g,3.49,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic-neritic,fusiform / normal,muscle,1.2499017362143359,3.6888794541139363,3.29,145,2.3333333333333335,freshbrackmarine,cine
NA,Alosa pseudoharengus,fat_g,6.8,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic-neritic,fusiform / normal,muscle,1.916922612182061,3.6888794541139363,3.29,145,2.3333333333333335,freshbrackmarine,cine
NA,Alosa pseudoharengus,fat_g,11.6,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic-neritic,fusiform / normal,whole,2.451005098112319,3.6888794541139363,3.29,145,2.3333333333333335,freshbrackmarine,cine
NA,Alosa pseudoharengus,fat_g,10.1,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic-neritic,fusiform / normal,offal,2.3125354238472138,3.6888794541139363,3.29,145,2.3333333333333335,freshbrackmarine,cine
NA,Alosa pseudoharengus,fat_g,7.9,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic-neritic,fusiform / normal,eggs,2.066862759472976,3.6888794541139363,3.29,145,2.3333333333333335,freshbrackmarine,cine
NA,Alosa pseudoharengus,fapun3,0.51,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic-neritic,fusiform / normal,muscle,-0.6733445532637656,3.6888794541139363,3.29,145,2.3333333333333335,freshbrackmarine,cine
NA,Alosa pseudoharengus,fapun_all_g,0.47,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic-neritic,fusiform / normal,muscle,-0.7550225842780328,3.6888794541139363,3.29,145,2.3333333333333335,freshbrackmarine,cine
NA,Alosa sapidissima,ca_mg,47,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,pelagic-neritic,fusiform / normal,muscle,3.8501476017100584,4.330733340286331,3.6099998950958248,250,3.25,freshbrackmarine,cine
NA,Alosa sapidissima,ca_mg,47,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,pelagic-neritic,fusiform / normal,muscle,3.8501476017100584,4.330733340286331,3.6099998950958248,250,3.25,freshbrackmarine,cine
NA,Alosa sapidissima,ca_mg,47,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,pelagic-neritic,fusiform / normal,muscle,3.8501476017100584,4.330733340286331,3.6099998950958248,250,3.25,freshbrackmarine,cine
NA,Alosa sapidissima,zn_mg,0.37,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,pelagic-neritic,fusiform / normal,muscle,-0.9942522733438669,4.330733340286331,3.6099998950958248,250,3.25,freshbrackmarine,cine
NA,Alosa sapidissima,zn_mg,0.37,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,pelagic-neritic,fusiform / normal,muscle,-0.9942522733438669,4.330733340286331,3.6099998950958248,250,3.25,freshbrackmarine,cine
NA,Alosa sapidissima,zn_mg,0.3,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,pelagic-neritic,fusiform / normal,muscle,-1.2039728043259361,4.330733340286331,3.6099998950958248,250,3.25,freshbrackmarine,cine
NA,Alosa sapidissima,fe_mg,0.97,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,pelagic-neritic,fusiform / normal,muscle,-0.030459207484708574,4.330733340286331,3.6099998950958248,250,3.25,freshbrackmarine,cine
NA,Alosa sapidissima,fe_mg,0.97,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,pelagic-neritic,fusiform / normal,muscle,-0.030459207484708574,4.330733340286331,3.6099998950958248,250,3.25,freshbrackmarine,cine
NA,Alosa sapidissima,fe_mg,0.7,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,pelagic-neritic,fusiform / normal,muscle,-0.35667494393873245,4.330733340286331,3.6099998950958248,250,3.25,freshbrackmarine,cine
NA,Alosa sapidissima,fe_mg,0.8,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,pelagic-neritic,fusiform / normal,muscle,-0.2231435513142097,4.330733340286331,3.6099998950958248,250,3.25,freshbrackmarine,cine
NA,Alosa sapidissima,protein_g,16.9,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,pelagic-neritic,fusiform / normal,muscle,2.8273136219290276,4.330733340286331,3.6099998950958248,250,3.25,freshbrackmarine,cine
NA,Alosa sapidissima,protein_g,16.9,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,pelagic-neritic,fusiform / normal,muscle,2.8273136219290276,4.330733340286331,3.6099998950958248,250,3.25,freshbrackmarine,cine
NA,Alosa sapidissima,protein_g,18,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,pelagic-neritic,fusiform / normal,muscle,2.8903717578961645,4.330733340286331,3.6099998950958248,250,3.25,freshbrackmarine,cine
NA,Alosa sapidissima,protein_g,16.7,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,pelagic-neritic,fusiform / normal,offal,2.8154087194227095,4.330733340286331,3.6099998950958248,250,3.25,freshbrackmarine,cine
NA,Alosa sapidissima,protein_g,17.4,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),subtropical,pelagic-neritic,fusiform / normal,muscle,2.856470206220483,4.330733340286331,3.6099998950958248,250,3.25,freshbrackmarine,cine
