ref_info,seanuts_id2,food_name_clean,species_name,nutrient,concentration,subgroup,abs_lat,latitude.x,bulk_mean_length,bulk_max_length,bulk_trophic_level,feeding_mode,feeding_level,anacat,country_region,updated_ref_info,location,latitude_details,latitude.y,longitude,weight_from_study_g,length_from_study,X13,abs_lat2
"King I., Childs M.T., Dorsett C., Ostrander J.G., Monsen E.R. (1990). Shellfish: Proximate composition, minerals, fatty acids, and sterols. Journal of the American Dietetic Association 90(5): 677-685",1574,NA,Aequipecten opercularis,prot_g,10.6,mollusc,NA,NA,NaN,11,NA,NA,mainly plants/detritus (troph. 2-2.19),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1534,NA,Alosa sapidissima,prot_g,18.8,finfish,NA,NA,74.25,62,3.609999895,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),anadromous,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561",311,Climbing_perch_wild_edible_portion_raw,Anabas testudineus,prot_g,19.63,finfish,22.816667,22.816667,25,25,2.76,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oku T. Sugawara A., Choudhury M., Komatsu M., Yamada S., Ando S. (2009). Lipid and fatty acid compositions differntiate between wild and cultured Japanese eel (Anguilla japonica). Food Chemistry 115: 436-440",323,Japanese_eel_wild_dorsal_muscle_raw,Anguilla japonica,prot_g,19,finfish,31.596553,31.596553,150,150,3.55,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),catadromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Otwell W.S., Rickards W.L. (1981/1982). Cultured and wild American eels, Anguilla rostrata: fat content and fatty acid composition. Aquaculture 26: 67-76",324,American_eel_wild_skinless_muscle_tissue_raw,Anguilla rostrata,prot_g,19.1,finfish,35.131275,35.131275,152,152,3.62,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),catadromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1528,NA,Anoplopoma fimbria,prot_g,13.8,finfish,NA,NA,117.25,98,4.11,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1635,NA,Apostichopus californicus,prot_g,10.6,mollusc,NA,NA,7.5,NaN,NA,NA,plants/detritus+animals (troph. 2.2-2.79),NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
"King I., Childs M.T., Dorsett C., Ostrander J.G., Monsen E.R. (1990). Shellfish: Proximate composition, minerals, fatty acids, and sterols. Journal of the American Dietetic Association 90(5): 677-685",1575,NA,Argopecten irradians,prot_g,15.9,mollusc,NA,NA,7.5,7.5,NA,NA,filtering plankton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rosa R., Nunes M.L. (2003). Nutritional quality of red shrimp, Aristeus antennatus (Risso), pink shrimp, Parapenaeus longirostris (Lucas), and Norway lobster, Nephrops norvegicus (Linnaeus). Journal of the Science of Food and Agriculture 84: 89-94",342,Red_shrimp_wild_edible_flesh_raw,Aristeus antennatus,prot_g,21.4,crustacean,37.017954,37.017954,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rosa R., Nunes M.L. (2003). Nutritional quality of red shrimp, Aristeus antennatus (Risso), pink shrimp, Parapenaeus longirostris (Lucas), and Norway lobster, Nephrops norvegicus (Linnaeus). Journal of the Science of Food and Agriculture 84: 89-94",343,Red_shrimp_wild_edible_flesh_raw,Aristeus antennatus,prot_g,22,crustacean,37.017954,37.017954,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1503,NA,Atheresthes stomias,prot_g,17.7,finfish,NA,NA,82.125,69,4.010000229,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
"Papan F., Moghaddam A.Z. (2008). Nutritional evaluation of some species of fishes in Khuzestan and determination of the amount of soy bean meal used in the fish food formula on the basis of its isoflavone content. Journal of Biological Sciences 8(3): 667-670",1302,NA,Barbus grypus,prot_g,19.5,finfish,31.436015,NA,150,NaN,NA,NA,NA,NA,NA,NA,Khuzestan,"approximate location used, actual location unknown",31.436015,49.041312,NA,NA,NA,31.436015
"Papan F., Moghaddam A.Z. (2008). Nutritional evaluation of some species of fishes in Khuzestan and determination of the amount of soy bean meal used in the fish food formula on the basis of its isoflavone content. Journal of Biological Sciences 8(3): 667-670",1303,NA,Barbus grypus,prot_g,18.7,finfish,31.436015,NA,150,NaN,NA,NA,NA,NA,NA,NA,Khuzestan,"approximate location used, actual location unknown",31.436015,49.041312,NA,NA,NA,31.436015
"De Souza Franco M.L.R., Viegas E.M.M., Kronka S.N., Vidotti R.M., Assano M., Gasparino E. (2010). Effects of hot and cold smoking process on organoleptic properties, yield and composition of matrinxa fillet. Revista Brasilerira de Zootecnia 39(4):695-700",1360,NA,Brycon cephalus,prot_g,20.07,finfish,10.354313,NA,45,NaN,2,other,mainly plants/detritus (troph. 2-2.19),NA,NA,NA,"Pontal do Peba, município de Piaçabuçu (Alagoas",NA,-10.354313,-36.293839,NA,NA,NA,10.354313
"Moreira A.B., Visentainer J.V., de Souza N.E., Matsushita M. (2001). Fatty acid profile and cholesterol contents of three Brazilian Brycon freshwater fishes. Journal of Food Composition and Analysis 14:565-574",418,Piraputanga_wild_fillet_raw,Brycon microlepis,prot_g,19.83,finfish,15.601411,-15.601411,56,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moreira A.B., Visentainer J.V., de Souza N.E., Matsushita M. (2001). Fatty acid profile and cholesterol contents of three Brazilian Brycon freshwater fishes. Journal of Food Composition and Analysis 14:565-574",383,Piracanjuba_wild_fillet_raw,Brycon orbignyanus,prot_g,18.94,finfish,18.327778,18.327778,79.5,79.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",1667,NA,Chamelea gallina,prot_g,8.99,mollusc,40.866667,NA,5,5,NA,NA,NA,NA,NA,NA,"The bivalve species venerid clam (C. gallina, L. 1758) and wedge clam (D. trunculus, L. 1758) were obtained from the Kumbağ of the Marmara Sea. This study was carried out between December 2005 and November 2006.",NA,40.866667,27.466667,NA,NA,NA,40.866667
"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",1668,NA,Chamelea gallina,prot_g,7.45,mollusc,40.866667,NA,5,5,NA,NA,NA,NA,NA,NA,"The bivalve species venerid clam (C. gallina, L. 1758) and wedge clam (D. trunculus, L. 1758) were obtained from the Kumbağ of the Marmara Sea. This study was carried out between December 2005 and November 2006.",NA,40.866667,27.466667,NA,NA,NA,40.866667
"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",1669,NA,Chamelea gallina,prot_g,6.86,mollusc,40.866667,NA,5,5,NA,NA,NA,NA,NA,NA,"The bivalve species venerid clam (C. gallina, L. 1758) and wedge clam (D. trunculus, L. 1758) were obtained from the Kumbağ of the Marmara Sea. This study was carried out between December 2005 and November 2006.",NA,40.866667,27.466667,NA,NA,NA,40.866667
"Özden Ö., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",1670,NA,Chamelea gallina,prot_g,7.36,mollusc,40.866667,NA,5,5,NA,NA,NA,NA,NA,NA,"The bivalve species venerid clam (C. gallina, L. 1758) and wedge clam (D. trunculus, L. 1758) were obtained from the Kumbağ of the Marmara Sea. This study was carried out between December 2005 and November 2006.",NA,40.866667,27.466667,NA,NA,NA,40.866667
"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561",410,Spotted_snakehead_wild_edible_portion_raw,Channa punctata,prot_g,19.13,finfish,22.816667,22.816667,31,31,3.84,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561",432,Philippine_catfish_wild_edible_portion_raw,Clarias batrachus,prot_g,14.87,finfish,22.816667,22.816667,47,47,3.42,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),potamodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1492,NA,Clinocardium nuttallii,prot_g,11.8,mollusc,NA,NA,NaN,14,NA,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
