autoctr,sciname,StockCode,EcologyRefNo,HabitatsRef,Neritic,SupraLittoralZone,LittoralZone,TidePools,Intertidal,SubLittoral,Oceanic,Epipelagic,Estuaries,Mangroves,MarshesSwamps,Stream,Lakes,Cave,Cave2,Herbivory2,HerbivoryRef,FeedingType,FeedingTypeRef,DietTroph,DietSeTroph,DietTLu,DietseTLu,DietRemark,DietRef,FoodTroph,FoodSeTroph,FoodRemark,FoodRef,AddRems,AssociationRef,Parasitism,Solitary,Symbiosis,Symphorism,Commensalism,Mutualism,Epiphytic,Schooling,SchoolingFrequency,SchoolingLifestage,Shoaling,ShoalingFrequency,ShoalingLifestage,AssociationsWith,AssociationsRemarks,OutsideHost,OHRemarks,InsideHost,IHRemarks,SubstrateRef,Benthic,Sessile,Mobile,Demersal,Endofauna,Pelagic,Megabenthos,Macrobenthos,Meiobenthos,SoftBottom,Sand,Coarse,Fine,Level,Sloping,Silt,Mud,Ooze,Detritus,Organic,HardBottom,Rocky,Rubble,SpecialHabitatRef,Macrophyte,BedsBivalve,BedsRock,SeaGrassBeds,BedsOthers,CoralReefs,DropOffs,ReefFlats,Lagoons,Burrows,Tunnels,Crevices,Vents,Seamounts,DeepWaterCorals,Vegetation,Leaves,Stems,Roots,Driftwood,OInverterbrates,OIRemarks,Verterbrates,VRemarks,Pilings,BoatHulls,Corals,SoftCorals,OnPolyp,BetweenPolyps,HardCorals,OnExoskeleton,InterstitialSpaces,Entered,Dateentered,Modified,Datemodified,Expert,Datechecked,TS,Marine,saltmarshes,caves,mesopelagic,bathypelagic,abyssopelagic,hadopelagic,BrackishWater,FreshWater,IsoTroph,IsoseTroph,IsoRemark,IsoRef,EcoTroph,EcoseTroph,EcoRemark,EcoRef,ShoalingRef,E_Append,E_DateAppend,SpecCode
12812,Arctica islandica,30616,3123,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),88171,other,88171,NA,NA,NA,NA,NA,NA,2,0,Trophic level and s.e. inferred from exclusive plant/detritus food items.,NA,"Prefer a temperature range of 1° to 18°C  and, although found in brackish waters with salinity levels of 14 and higher,  is intolerant of salinities below 10.  Found in both shallow and deep waters with preferred depth range  between 10 and 280 m.  Having a short siphon, it buries shallow beneath the surface, in gravelly, sandy to muddy sediments, and sapropels but preferentially in fine, silty sediment.  Maintains a stationary position once it has settled onto the substrate.  May burrow below the sediment surface possibly to escape predators or to conserve energy by going into this anaerobic phase which can last up to 7 days.   A suspension and detritus feeder on  fresh organic matter; filters phytoplankton and able to pick up food particles from the seabed with the tentacles on the end of its siphon, it being a suspension feeder. Dioecious with reproduction continuous throughout the year.  Late sexual maturity, at around 5 to 11 years, make its population sensitive to disturbance (Ref. 88171).",88171,0,0,0,0,1,0,0,0,NA,NA,0,NA,NA,<i>Malacobdella grossa</i>.,The commensal nemertean worm lives primarily in the mantle cavity of adult clams where it is able to share with its food without any negative effect (Ref. 88171).,0,NA,0,NA,88171,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,88171,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,5,2007-03-08T00:00:00.000Z,5,2014-06-03T00:00:00.000Z,NA,NA,2015-05-11T10:15:35.000Z,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48751
85,Aristaeomorpha foliacea,112,8,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),434,hunting macrofauna (predator),97305,3.71,0.54,3.34,0.259999990463257,Troph of juv./adults.,97770,4.72,0.05,Trophic level estimated from a number of food items using a randomized resampling routine.,97305,"Lives on bottom mud (Ref. 8); also on sandy bottoms.  Moves to midwater at night (Ref. 409).  Carnivorous, feeds  mainly on euphausiids and other species of crustaceans, i.e., mainly <i>Natantia</i> (Ref. 434).",8,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,8,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,50546,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,4,2005-12-19T00:00:00.000Z,247,2014-09-22T00:00:00.000Z,NA,NA,2015-05-11T10:15:26.000Z,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25506
91,Aristeus antennatus,118,8,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),434,hunting macrofauna (predator),NA,NA,NA,NA,NA,small benthic invertebrates (crustaceans and polychaetes) and carrion,434,3.3,0.47,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,Feeds on small benthic invertebrates mainly crustaceans and polychaetes and also carrion (Ref. 434).,8,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,8,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,4,2005-12-20T00:00:00.000Z,1,2011-01-06T00:00:00.000Z,NA,NA,2015-05-11T10:15:26.000Z,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25510
987,Callinectes sapidus,1207,367,NA,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),NA,hunting macrofauna (predator),NA,4,0.64,NA,NA,Troph of juv./adults.,8720,3.37,0.58,Tentative trophic level derived from 1 + troph of a single food item,12692,"Hatching occurs in mouths of estuaries and shallow marine waters, development of larvae progresses in the ocean, followed by migration of megalopae and young crabs back into estuarine waters to mature into adults.",87949,0,0,1,0,0,0,0,0,NA,NA,0,NA,NA,Atlantic oyster drill (<i>Urosalpinx cinerea</i>); thick lipped oyster drill (<i>Eupleura caudata</i>) (Ref. 87949).,NA,0,NA,0,NA,367,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,4,2006-03-01T00:00:00.000Z,84,2011-10-17T00:00:00.000Z,NA,NA,2015-05-11T10:15:26.000Z,1,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26794
1733,Carcinus maenas,1970,435,NA,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),96292,browsing on substrate,96292,3.5,0.53,NA,NA,Troph of juv./adults.,8819,NA,NA,NA,NA,"Inhabits shallow water from the intertidal area down to 200 m.  Lives under stones, on muddy or muddy sand bottoms, or hard bottom, etc.  Also inhabits brackish lagoons (Ref. 2779).",435,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,76803,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,76803,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,4,2006-03-13T00:00:00.000Z,247,2014-06-16T00:00:00.000Z,NA,NA,2015-05-11T10:15:27.000Z,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26397
43873,Chionoecetes opilio,29539,78815,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,With year round temperatures 0 to 5°C (Ref. 78817).,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,78815,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,3,2008-09-29T00:00:00.000Z,NA,2008-09-29T00:00:00.000Z,NA,NA,2015-05-11T10:15:35.000Z,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26934
1445,Crangon crangon,1674,434,NA,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),96313,hunting macrofauna (predator),96470,3.19,0.45,NA,NA,Troph of juv./adults.,8819,3.23,0.4,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,"Found in both marine and oligo-haline waters (Ref. 95752).  Also inhabits brackish lagoons (Ref. 2779).  Found on fine sand or slightly muddy sand (Ref. 434); also over coarse sand (Ref. 96391).   Carnivorous (Refs. 95752, 96470).  Feeds on small benthic organisms (small crustaceans, annelids and mollusks) and fishery discards (Ref. 434).  Mobile (Refs. 95752, 96470).  Free-living (Ref. 3123).  Able to occupy areas with high exposure and low salinity (Ref. 95730).",434,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,434,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,96313,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,4,2006-03-07T00:00:00.000Z,286,2014-07-09T00:00:00.000Z,NA,NA,2015-05-11T10:15:27.000Z,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24957
945,Crassostrea gigas,1167,348,NA,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),96217,filtering plankton,96217,NA,NA,NA,NA,NA,NA,2,0,Trophic level and s.e. inferred from exclusive plant/detritus food items.,NA,"Littoral and circalittoral rock and other hard substrata as well as littoral and sublittoral sediments (Ref. 1314).  It is a sessile-burrower, suspension feeder (Ref. 96498).",348,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,76803,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,5,2006-02-28T00:00:00.000Z,5,2014-07-03T00:00:00.000Z,NA,NA,2015-05-11T10:15:26.000Z,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48094
536,Crassostrea rhizophorae,631,271,NA,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Attached to roots of <i>Rhizophora mangle</i>, rocks or other oyster shells.  It is mostly intertidal or shallow-subtidal species (Ref. 271).",271,0,0,0,0,1,0,0,0,NA,NA,0,NA,NA,<i>Nodipecten nodosus</i>,NA,0,NA,0,NA,93548,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,5,2006-01-27T00:00:00.000Z,5,2013-06-07T00:00:00.000Z,NA,NA,2015-05-11T10:15:26.000Z,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48100
538,Crassostrea virginica,633,271,NA,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),96280,NA,NA,NA,NA,NA,NA,NA,NA,2,0,Trophic level and s.e. inferred from exclusive plant/detritus food items.,NA,"Attached to rocks, other oyster shells, or other hard substrates (Ref. 271).  Favors estuaries and embayments with low salinities and are intolerant of prolonged exposure to fresh water or marine conditions.  They may either be filter feeders (Ref. 96280) or suspension feeders (Ref. 3248).  Found in shallow water of tidal to subtidal depth of fairly constant turbidity and salinity (Ref. 3248) and saltmarshes (Ref. 2823).  Main sources of food are phytoplankton, suspended detritus particles (Ref. 96280) and bacteria (Ref. 101343).  Able to regulate its feeding rates based on differences in size, type and composition of the food source  (Ref. 96280).",271,0,0,0,1,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,3209,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,5,2006-01-27T00:00:00.000Z,293,2015-04-30T00:00:00.000Z,NA,NA,2015-05-11T10:15:26.000Z,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48095
