Reference,Food.Item.ID,species,SLB_species,tissue sampled,Wild/farmed,study status,common name,location,,Latitude,length reported in study (cm),weight reported in study (g),Season,Protein (g/100g ww),Fat (g /100g ww),Ca (mg),Mg (mg),Fe (mg),K (mg),P (mg),Zn (mg),Zn unit notes (if not mg/100g ww),EPA (g/100g),DHA (g/100g),total PUFA (mg/100g ww),Hg (mg),Pb (mg),Protein as percent dry weight,Fat as percent dry matter,Ash as percent dry matter,Reference notes
"Yanar and Celik, Seasonal amino acid profiles and mineral contents of green tiger shrimp (Penaeus semisulcatus De Haan, 1844) and speckled shrimp (Metapenaeus monoceros Fabricus, 1789)
from the Eastern Mediterranean, Food Chemistry, 2006.",1,Penaeus semisulcatus,Penaeus semisulcatus,"whole body, without shell",wild,original paper,Green tiger shrimp ,"Karatas, the Eastern Mediterranean coast of Turkey ",,,18.93,63.93,January,,,59.5,,,,,,,,,,,,,,,
"Yanar and Celik, Seasonal amino acid profiles and mineral contents of green tiger shrimp (Penaeus semisulcatus De Haan, 1844) and speckled shrimp (Metapenaeus monoceros Fabricus, 1789)
from the Eastern Mediterranean, Food Chemistry, 2006.",2,Penaeus semisulcatus,Penaeus semisulcatus,"whole body, without shell",wild,original paper,Green tiger shrimp ,"Karatas, the Eastern Mediterranean coast of Turkey ",,,18.93,63.93,April,,,60.3,,,,,,,,,,,,,,,
"Yanar and Celik, Seasonal amino acid profiles and mineral contents of green tiger shrimp (Penaeus semisulcatus De Haan, 1844) and speckled shrimp (Metapenaeus monoceros Fabricus, 1789)
from the Eastern Mediterranean, Food Chemistry, 2006.",3,Penaeus semisulcatus,Penaeus semisulcatus,"whole body, without shell",wild,original paper,Green tiger shrimp ,"Karatas, the Eastern Mediterranean coast of Turkey ",,,18.93,63.93,July,,,60.3,,,,,,,,,,,,,,,
"Yanar and Celik, Seasonal amino acid profiles and mineral contents of green tiger shrimp (Penaeus semisulcatus De Haan, 1844) and speckled shrimp (Metapenaeus monoceros Fabricus, 1789)
from the Eastern Mediterranean, Food Chemistry, 2006.",4,Penaeus semisulcatus,Penaeus semisulcatus,"whole body, without shell",wild,original paper,Green tiger shrimp ,"Karatas, the Eastern Mediterranean coast of Turkey ",,,18.93,63.93,October,,,61.1,,,,,,,,,,,,,,,
"Yanar and Celik, Seasonal amino acid profiles and mineral contents of green tiger shrimp (Penaeus semisulcatus De Haan, 1844) and speckled shrimp (Metapenaeus monoceros Fabricus, 1789)
from the Eastern Mediterranean, Food Chemistry, 2006.",5,Penaeus semisulcatus,Penaeus semisulcatus,"whole body, without shell",wild,original paper,Green tiger shrimp ,"Karatas, the Eastern Mediterranean coast of Turkey ",,,18.93,63.93,average,,,60.28,,1.48,218,168,,,,,,,,,,,
"Yanar and Celik, Seasonal amino acid profiles and mineral contents of green tiger shrimp (Penaeus semisulcatus De Haan, 1844) and speckled shrimp (Metapenaeus monoceros Fabricus, 1789)
from the Eastern Mediterranean, Food Chemistry, 2006.",6,Metapenaeus monoceros ,Metapenaeus monoceros ,"whole body, without shell",wild,original paper,speckled shrimp,"Karatas, the Eastern Mediterranean coast of Turkey ",,,12.67,16.49,average,,,60.44,,1.55,223,167,,,,,,,,,,,
"Karakoltsidis, P. A., Zotos, A., & Constantinides, M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis, 8, 258–273. ",7,Aristeus antennatus,Aristeus antennatus,"whole body, without shell",,cited in,,,,,,,,,,121,,0.9,347,,,,,,,,,,,,
"Exler, J. (1987). Composition of foods: finfish and shellfish products, raw, processed, prepared. Agriculture Handbook Number 8-15. US Department of Agriculture, Human Nutrition Information Service. ",8,penaeid and pandalid shrimps ,penaeid and pandalid shrimps ,"whole body, without shell",,cited in ,,,,,,,,,,,,2.4,185,205,,,,,,,,,,,
Sriket et al. 2006. Comparative studies on chemical composition and thermal properties of black tiger shrimp. Food Chemistry,9,Penaeus monodon ,Penaeus monodon ,"whole body, without shell",farmed,original paper,black tiger shrimp,"Songkhla province, Thailand",,,,,average,,,25.9,,3.07,,,1.73,,8.58,14.9,,,,,,,this study also has protein and fat contents
Sriket et al. 2006. Comparative studies on chemical composition and thermal properties of black tiger shrimp. Food Chemistry,10,Litopenaeus vannamei,Litopenaeus vannamei,"whole body, without shell",farmed,original,White shrimp,"Suratthani province, Thailand",,,,,average,,,24.7,,1.22,,,1.47,,9.46,9.99,,,,,,,this study also has protein and fat contents
