species,taxon,max_size,max_length,TL,CA_mg,EPA_g,DHA_g,FE_mg,ZN_mg,HG_mcg,FAT,PROTCNT_g,lwA,lwB,Habitat,Subgroup,Abs_lat,autoctr,StockCode,EcologyRefNo,HabitatsRef,Neritic,SupraLittoralZone,LittoralZone,TidePools,Intertidal,SubLittoral,Oceanic,Epipelagic,Estuaries,Mangroves,MarshesSwamps,Stream,Lakes,Cave,Cave2,Herbivory2,HerbivoryRef,FeedingType,FeedingTypeRef,DietTroph,DietSeTroph,DietTLu,DietseTLu,DietRemark,DietRef,FoodTroph,FoodSeTroph,FoodRemark,FoodRef,AddRems,AssociationRef,Parasitism,Solitary,Symbiosis,Symphorism,Commensalism,Mutualism,Epiphytic,Schooling,SchoolingFrequency,SchoolingLifestage,Shoaling,ShoalingFrequency,ShoalingLifestage,AssociationsWith,AssociationsRemarks,OutsideHost,OHRemarks,InsideHost,IHRemarks,SubstrateRef,Benthic,Sessile,Mobile,Demersal,Endofauna,Pelagic,Megabenthos,Macrobenthos,Meiobenthos,SoftBottom,Sand,Coarse,Fine,Level,Sloping,Silt,Mud,Ooze,Detritus,Organic,HardBottom,Rocky,Rubble,SpecialHabitatRef,Macrophyte,BedsBivalve,BedsRock,SeaGrassBeds,BedsOthers,CoralReefs,DropOffs,ReefFlats,Lagoons,Burrows,Tunnels,Crevices,Vents,Seamounts,DeepWaterCorals,Vegetation,Leaves,Stems,Roots,Driftwood,OInverterbrates,OIRemarks,Verterbrates,VRemarks,Pilings,BoatHulls,Corals,SoftCorals,OnPolyp,BetweenPolyps,HardCorals,OnExoskeleton,InterstitialSpaces,Entered,Dateentered,Modified,Datemodified,Expert,Datechecked,TS,Marine,saltmarshes,caves,mesopelagic,bathypelagic,abyssopelagic,hadopelagic,BrackishWater,FreshWater,IsoTroph,IsoseTroph,IsoRemark,IsoRef,EcoTroph,EcoseTroph,EcoRemark,EcoRef,ShoalingRef,E_Append,E_DateAppend,SpecCode
Arctica islandica,"Clams, cockles, arkshells",0.0126719453545065,11,2,62.9,NA,NA,5.3,0.84,9,NA,285,0.023009,2.632,marine,Molluscs,63.968654,12812,30616,3123,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mainly plants/detritus (troph. 2-2.19),88171,other,88171,NA,NA,NA,NA,NA,NA,2,0,Trophic level and s.e. inferred from exclusive plant/detritus food items.,NA,"Prefer a temperature range of 1° to 18°C  and, although found in brackish waters with salinity levels of 14 and higher,  is intolerant of salinities below 10.  Found in both shallow and deep waters with preferred depth range  between 10 and 280 m.  Having a short siphon, it buries shallow beneath the surface, in gravelly, sandy to muddy sediments, and sapropels but preferentially in fine, silty sediment.  Maintains a stationary position once it has settled onto the substrate.  May burrow below the sediment surface possibly to escape predators or to conserve energy by going into this anaerobic phase which can last up to 7 days.   A suspension and detritus feeder on  fresh organic matter; filters phytoplankton and able to pick up food particles from the seabed with the tentacles on the end of its siphon, it being a suspension feeder. Dioecious with reproduction continuous throughout the year.  Late sexual maturity, at around 5 to 11 years, make its population sensitive to disturbance (Ref. 88171).",88171,0,0,0,0,1,0,0,0,NA,NA,0,NA,NA,<i>Malacobdella grossa</i>.,The commensal nemertean worm lives primarily in the mantle cavity of adult clams where it is able to share with its food without any negative effect (Ref. 88171).,0,NA,0,NA,88171,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,88171,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,5,2007-03-08T00:00:00.000Z,5,2014-06-03T00:00:00.000Z,NA,NA,2015-05-11T10:15:35.000Z,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48751
Aristaeomorpha foliacea,"Shrimps, prawns",NA,17.5,NA,NA,0.039948611,0.071709734,NA,NA,NA,NA,255,NA,NA,marine,Crustacean,43.863529,85,112,8,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),434,hunting macrofauna (predator),97305,3.71,0.54,3.34,0.259999990463257,Troph of juv./adults.,97770,4.72,0.05,Trophic level estimated from a number of food items using a randomized resampling routine.,97305,"Lives on bottom mud (Ref. 8); also on sandy bottoms.  Moves to midwater at night (Ref. 409).  Carnivorous, feeds  mainly on euphausiids and other species of crustaceans, i.e., mainly <i>Natantia</i> (Ref. 434).",8,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,8,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,50546,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,4,2005-12-19T00:00:00.000Z,247,2014-09-22T00:00:00.000Z,NA,NA,2015-05-11T10:15:26.000Z,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25506
Aristaeomorpha foliacea,"Shrimps, prawns",NA,17.5,NA,NA,0.037101517,0.064228696,NA,NA,NA,NA,269,NA,NA,marine,Crustacean,43.863529,85,112,8,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),434,hunting macrofauna (predator),97305,3.71,0.54,3.34,0.259999990463257,Troph of juv./adults.,97770,4.72,0.05,Trophic level estimated from a number of food items using a randomized resampling routine.,97305,"Lives on bottom mud (Ref. 8); also on sandy bottoms.  Moves to midwater at night (Ref. 409).  Carnivorous, feeds  mainly on euphausiids and other species of crustaceans, i.e., mainly <i>Natantia</i> (Ref. 434).",8,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,8,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,50546,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,4,2005-12-19T00:00:00.000Z,247,2014-09-22T00:00:00.000Z,NA,NA,2015-05-11T10:15:26.000Z,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25506
Aristaeomorpha foliacea,"Shrimps, prawns",NA,17.5,NA,NA,0.023645371,0.043766961,NA,NA,NA,NA,240,NA,NA,marine,Crustacean,33.886917,85,112,8,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),434,hunting macrofauna (predator),97305,3.71,0.54,3.34,0.259999990463257,Troph of juv./adults.,97770,4.72,0.05,Trophic level estimated from a number of food items using a randomized resampling routine.,97305,"Lives on bottom mud (Ref. 8); also on sandy bottoms.  Moves to midwater at night (Ref. 409).  Carnivorous, feeds  mainly on euphausiids and other species of crustaceans, i.e., mainly <i>Natantia</i> (Ref. 434).",8,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,8,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,50546,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,4,2005-12-19T00:00:00.000Z,247,2014-09-22T00:00:00.000Z,NA,NA,2015-05-11T10:15:26.000Z,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25506
Aristaeomorpha foliacea,"Shrimps, prawns",NA,17.5,NA,NA,0.030021745,0.057581619,NA,NA,NA,NA,194,NA,NA,marine,Crustacean,33.886917,85,112,8,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),434,hunting macrofauna (predator),97305,3.71,0.54,3.34,0.259999990463257,Troph of juv./adults.,97770,4.72,0.05,Trophic level estimated from a number of food items using a randomized resampling routine.,97305,"Lives on bottom mud (Ref. 8); also on sandy bottoms.  Moves to midwater at night (Ref. 409).  Carnivorous, feeds  mainly on euphausiids and other species of crustaceans, i.e., mainly <i>Natantia</i> (Ref. 434).",8,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,8,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,50546,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,4,2005-12-19T00:00:00.000Z,247,2014-09-22T00:00:00.000Z,NA,NA,2015-05-11T10:15:26.000Z,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25506
Aristaeomorpha foliacea,"Shrimps, prawns",NA,17.5,NA,NA,0.034584211,0.07125565,NA,NA,NA,NA,235,NA,NA,marine,Crustacean,32.10119,85,112,8,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),434,hunting macrofauna (predator),97305,3.71,0.54,3.34,0.259999990463257,Troph of juv./adults.,97770,4.72,0.05,Trophic level estimated from a number of food items using a randomized resampling routine.,97305,"Lives on bottom mud (Ref. 8); also on sandy bottoms.  Moves to midwater at night (Ref. 409).  Carnivorous, feeds  mainly on euphausiids and other species of crustaceans, i.e., mainly <i>Natantia</i> (Ref. 434).",8,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,8,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,50546,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,4,2005-12-19T00:00:00.000Z,247,2014-09-22T00:00:00.000Z,NA,NA,2015-05-11T10:15:26.000Z,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25506
Aristaeomorpha foliacea,"Shrimps, prawns",NA,17.5,NA,NA,0.037700714,0.070346104,NA,NA,NA,NA,248,NA,NA,marine,Crustacean,36.5626,85,112,8,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),434,hunting macrofauna (predator),97305,3.71,0.54,3.34,0.259999990463257,Troph of juv./adults.,97770,4.72,0.05,Trophic level estimated from a number of food items using a randomized resampling routine.,97305,"Lives on bottom mud (Ref. 8); also on sandy bottoms.  Moves to midwater at night (Ref. 409).  Carnivorous, feeds  mainly on euphausiids and other species of crustaceans, i.e., mainly <i>Natantia</i> (Ref. 434).",8,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,8,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,50546,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,4,2005-12-19T00:00:00.000Z,247,2014-09-22T00:00:00.000Z,NA,NA,2015-05-11T10:15:26.000Z,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25506
Aristaeomorpha foliacea,"Shrimps, prawns",NA,17.5,NA,NA,0.029671139,0.062500818,NA,NA,NA,NA,273,NA,NA,marine,Crustacean,32.10119,85,112,8,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),434,hunting macrofauna (predator),97305,3.71,0.54,3.34,0.259999990463257,Troph of juv./adults.,97770,4.72,0.05,Trophic level estimated from a number of food items using a randomized resampling routine.,97305,"Lives on bottom mud (Ref. 8); also on sandy bottoms.  Moves to midwater at night (Ref. 409).  Carnivorous, feeds  mainly on euphausiids and other species of crustaceans, i.e., mainly <i>Natantia</i> (Ref. 434).",8,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,8,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,50546,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,4,2005-12-19T00:00:00.000Z,247,2014-09-22T00:00:00.000Z,NA,NA,2015-05-11T10:15:26.000Z,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25506
Aristaeomorpha foliacea,"Shrimps, prawns",NA,17.5,NA,NA,0.030119591,0.056198482,NA,NA,NA,NA,265,NA,NA,marine,Crustacean,36.5626,85,112,8,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),434,hunting macrofauna (predator),97305,3.71,0.54,3.34,0.259999990463257,Troph of juv./adults.,97770,4.72,0.05,Trophic level estimated from a number of food items using a randomized resampling routine.,97305,"Lives on bottom mud (Ref. 8); also on sandy bottoms.  Moves to midwater at night (Ref. 409).  Carnivorous, feeds  mainly on euphausiids and other species of crustaceans, i.e., mainly <i>Natantia</i> (Ref. 434).",8,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,8,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,50546,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,4,2005-12-19T00:00:00.000Z,247,2014-09-22T00:00:00.000Z,NA,NA,2015-05-11T10:15:26.000Z,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25506
Aristaeomorpha foliacea,"Shrimps, prawns",NA,17.5,NA,NA,0.033838013,0.065869534,NA,NA,NA,NA,256,NA,NA,marine,Crustacean,35.240117,85,112,8,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mainly animals (troph. 2.8 and up),434,hunting macrofauna (predator),97305,3.71,0.54,3.34,0.259999990463257,Troph of juv./adults.,97770,4.72,0.05,Trophic level estimated from a number of food items using a randomized resampling routine.,97305,"Lives on bottom mud (Ref. 8); also on sandy bottoms.  Moves to midwater at night (Ref. 409).  Carnivorous, feeds  mainly on euphausiids and other species of crustaceans, i.e., mainly <i>Natantia</i> (Ref. 434).",8,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,8,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,50546,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,4,2005-12-19T00:00:00.000Z,247,2014-09-22T00:00:00.000Z,NA,NA,2015-05-11T10:15:26.000Z,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25506
