ref_info,seanuts_id2,notes,food_name_clean,species_name,food_name_clean,length_from_study,weight_from_study,length_source,season,country_region,abs_lat,Mar_fresh,wild_farmed,subgroup,body_parts_included_excluded,included_excluded,protein_g,fat_g,,fapun3,fapun_all_g,epa,dha,ca_mg,zn_mg,fe_mg,vit_a_IU,K_mg,mg_mg,tl,,latitude,slmax,isscaap_cat
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1855,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Epinephelus spp,,,,,,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,,,NA,NA,,NA,NA,NA,NA,162.1,1,2.6,379.3,,,,,,,
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1856,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Euthynnus affinis,,,,,,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,,,NA,NA,,NA,NA,NA,NA,NA,16.2,7.12,NA,,,,,,,
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1857,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Katsuwonus pelamis,,,,,,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,,,NA,NA,,NA,NA,NA,NA,206.3,2.8,2.7,3.3,,,,,,,
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1858,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Leiognathus splendens,,,,,,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,,,NA,NA,,NA,NA,NA,NA,330.8,2.5,2.2,2.9,,,,,,,
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1859,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Nemipterus japonicus,,,,,,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,,,NA,NA,,NA,NA,NA,NA,NA,12,4,NA,,,,,,,
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1860,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Rastrelliger kanagurta,,,,,,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,,,NA,NA,,NA,NA,NA,NA,NA,13,5,NA,,,,,,,
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1861,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Sardinella longiceps,,,,,,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,,,NA,NA,,NA,NA,NA,NA,523.9,4,7.8,346.4,,,,,,,
"Sankar, T. V., Anandan, R., Mathew, S., Asha, K. K., Lakshmanan, P. T., Varkey, J., ... & Mohanty, B. P. (2013). Chemical composition and nutritional value of Anchovy (Stolephorus commersonii) caught from Kerala Coast, India. Eur. J. Exp. Biol, 3(1), 85-89.",1862,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Stolephorus commersonii,,,,,,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,,,NA,NA,,NA,NA,NA,NA,NA,21,4,NA,,,,,,,
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1863,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Stolephorus waitei,,,,,,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,,,NA,NA,,NA,NA,NA,NA,NA,26,6,NA,,,,,,,
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1864,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Thunnus albacares,,,,,,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,,,NA,NA,,NA,NA,NA,NA,NA,12.1,7.05,NA,,,,,,,
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1865,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Trichiurus lepturus,,,,,,"collected from landing stations in India, no specific locations published",22.57,marine,wild,finfish,,,NA,NA,,NA,NA,NA,NA,159.7,1.3,1.9,2.9,,,,,,,
"Mohanty, B. P., Sankar, T. V., Ganguly, S., Mahanty, A., Anandan, R., Chakraborty, K., ... & Asha, K. K. (2016). Micronutrient Composition of 35 Food Fishes from India and Their Significance in Human Nutrition. Biological trace element research, 1-11.",1866,"latitude approximate, assumed all samples came from Kolkata, West Bengal",,Ailia coila,,,,,,"collected from landing stations in India, no specific locations published",22.57,freshwater,wild,finfish,,,NA,NA,,NA,NA,NA,NA,2410,10.2,10.9,NA,,,,,,,
