EEZ_Name,Taxonkey,Taxon_name,Common_name
Vietnam,80266,Crassostrea lugubris,
Vietnam,690060,Perna viridis,Brown mussel
Vietnam,690200,Pinctada fucata,Japanese pearl oyster
Vietnam,690363,Pinctada maxima,Silver-lip pearl oyster
Vietnam,690407,Crassostrea rivularis,Suminoe oyster
Venezuela,690374,Perna perna,South American rock mussel
USA (West Coast),2569,Haliotis kamtschatkana,
USA (West Coast),690009,Crassostrea virginica,American cupped oyster
USA (West Coast),690053,Mytilus edulis,Blue mussel
USA (West Coast),690064,Saxidomus giganteus,Butter clam
USA (West Coast),690123,Ostrea edulis,European flat oyster
USA (West Coast),690196,Ruditapes philippinarum,Japanese carpet shell
USA (West Coast),690241,Mytilus galloprovincialis,Mediterranean mussel
USA (West Coast),690279,Ostrea lurida,Olympia flat oyster
USA (West Coast),690283,Crassostrea gigas,Pacific cupped oyster
USA (West Coast),690284,Panopea abrupta,Pacific geoduck
USA (West Coast),690285,Protothaca staminea,Pacific littleneck clam
USA (West Coast),690664,Tresus nuttallii,Pacific gaper clam
USA (Gulf of Mexico),690009,Crassostrea virginica,American cupped oyster
USA (Gulf of Mexico),690270,Mercenaria mercenaria,Northern quahog
USA (East Coast),690009,Crassostrea virginica,American cupped oyster
USA (East Coast),690053,Mytilus edulis,Blue mussel
USA (East Coast),690270,Mercenaria mercenaria,Northern quahog
USA (East Coast),690337,Mya arenaria,Sand gaper
"USA (Alaska, Subarctic)",690053,Mytilus edulis,Blue mussel
"USA (Alaska, Subarctic)",690283,Crassostrea gigas,Pacific cupped oyster
"USA (Alaska, Subarctic)",690285,Protothaca staminea,Pacific littleneck clam
United Kingdom,690053,Mytilus edulis,Blue mussel
United Kingdom,690123,Ostrea edulis,European flat oyster
United Kingdom,690156,Pecten maximus,Great Atlantic scallop
United Kingdom,690196,Ruditapes philippinarum,Japanese carpet shell
United Kingdom,690270,Mercenaria mercenaria,Northern quahog
United Kingdom,690283,Crassostrea gigas,Pacific cupped oyster
United Kingdom,690314,Chlamys opercularis,Queen scallop
United Kingdom,690605,Cerastoderma edule,Cerastoderma edule
Ukraine,690241,Mytilus galloprovincialis,Mediterranean mussel
Turks and Caicos(UK),690304,Strombus gigas,Pink conch
Turkey (Marmara Sea),690241,Mytilus galloprovincialis,Mediterranean mussel
Turkey (Black Sea),690241,Mytilus galloprovincialis,Mediterranean mussel
Tunisia,690123,Ostrea edulis,European flat oyster
Tunisia,690241,Mytilus galloprovincialis,Mediterranean mussel
Tunisia,690283,Crassostrea gigas,Pacific cupped oyster
Thailand (Gulf of Thailand),2580,Haliotis asinina,
Thailand (Gulf of Thailand),590116,Modiolus,Horse mussels
Thailand (Gulf of Thailand),690050,Anadara granosa,Blood cockle
Thailand (Gulf of Thailand),690060,Perna viridis,Brown mussel
Thailand (Gulf of Thailand),690229,Crassostrea belcheri,Lugubrious cupped oyster
Thailand (Gulf of Thailand),690364,Crassostrea iredalei,Slipper cupped oyster
Thailand (Andaman Sea),690050,Anadara granosa,Blood cockle
Thailand (Andaman Sea),690060,Perna viridis,Brown mussel
Thailand (Andaman Sea),690229,Crassostrea belcheri,Lugubrious cupped oyster
Thailand (Andaman Sea),690364,Crassostrea iredalei,Slipper cupped oyster
Taiwan,690199,Meretrix lusoria,Japanese hard clam
Taiwan,690283,Crassostrea gigas,Pacific cupped oyster
Taiwan,690366,Haliotis diversicolor,Small abalone
Taiwan,690800,Panulirus ornatus,
Sweden (Baltic),690053,Mytilus edulis,Blue mussel
Sri Lanka,690186,Crassostrea madrasensis,Indian backwater oyster
Spain (Northwest),47879,solen marginatus,
Spain (Northwest),48483,Donax vittatus,
Spain (Northwest),48551,Ensis arcuatus,
Spain (Northwest),690123,Ostrea edulis,European flat oyster
Spain (Northwest),690156,Pecten maximus,Great Atlantic scallop
Spain (Northwest),690166,Ruditapes decussatus,Grooved carpet shell
Spain (Northwest),690196,Ruditapes philippinarum,Japanese carpet shell
Spain (Northwest),690241,Mytilus galloprovincialis,Mediterranean mussel
Spain (Northwest),690283,Crassostrea gigas,Pacific cupped oyster
Spain (Northwest),690306,Crassostrea angulata,Portuguese cupped oyster
Spain (Northwest),690404,Venus (=Chamelea) gallina,Striped venus
Spain (Northwest),690603,Aequipecten opercularis,Aequipecten opercularis
Spain (Northwest),690605,Cerastoderma edule,Cerastoderma edule
Spain (Northwest),690630,Venerupis pullastra,Pullet carpet shell
Spain (Northwest),690675,Tapes rhomboides,Banded carpet shell
Spain (Northwest),690693,Venus verrucosa,Warty venus
Spain (Mediterranean and Gulf of Cadiz),47879,solen marginatus,
Spain (Mediterranean and Gulf of Cadiz),48551,Ensis arcuatus,
Spain (Mediterranean and Gulf of Cadiz),690123,Ostrea edulis,European flat oyster
Spain (Mediterranean and Gulf of Cadiz),690156,Pecten maximus,Great Atlantic scallop
Spain (Mediterranean and Gulf of Cadiz),690166,Ruditapes decussatus,Grooved carpet shell
Spain (Mediterranean and Gulf of Cadiz),690196,Ruditapes philippinarum,Japanese carpet shell
Spain (Mediterranean and Gulf of Cadiz),690241,Mytilus galloprovincialis,Mediterranean mussel
Spain (Mediterranean and Gulf of Cadiz),690283,Crassostrea gigas,Pacific cupped oyster
Spain (Mediterranean and Gulf of Cadiz),690605,Cerastoderma edule,Cerastoderma edule
Spain (Mediterranean and Gulf of Cadiz),690693,Venus verrucosa,Warty venus
South Africa (Indian Ocean Coast),690241,Mytilus galloprovincialis,Mediterranean mussel
