common_name,species_name,mean_hg_ppm
Green sea urchin,Strongylocentrotus polyacanthus,0.005
Limpet,Tectura scutum,0.009
Chiton,Cryptochiton stelleri,0.01
Blue mussel,Mytilus trossulus,0.016
Rock jingle,Pododesmus macroschisma,0.018
Oregon triton,Fusitriton oregonensis,0.024
Octopus,Octopus dofleini,0.038
Golden king crab,Lithodes aequispina,0.043
Red king crab,Paralithodes camtschaticus,0.101
Sockeye salmon,Oncorhynchus nerka,0.042
Atka mackerel,Pleurogrammus monopterygius,0.046
Pacific ocean perch,Sebastes alutus,0.048
Northern rock sole,Lepidopsetta polyxystra,0.068
Walleye Pollock,Theragra chalcogramma,0.074
Rock sole,Lepidopsetta bilineate,0.092
Rock greenling,Hexagrammos lagocephalus,0.099
Dolly varden,Salvelinus malma,0.114
Red irish lord,Hemilepidotus hemilepidotus,0.13
Pacific halibut,Hippoglossus stenolepis,0.158
Black rockfish,Sebastes melanops,0.167
Pacific cod,Gadus macrocephalus,0.173
Flathead sole,Hippoglossoides elassodon,0.277
Yellow irish lord,Hemilepidotus jordani,0.281
Great sculpin,Myoxocephalus polyacanthocephalus,0.366
