Food Item ID,ISSCAAP,3-Alpha,Food name in English,Habitat,State of food,RefID,EDIBLE,EDIBLE,ENERC(kJ),ENERC(kcal),WATER(g),NT(g),PROTCNT(g),FAT(g),CHOAVLDF(g),FIBTG(g),CHOLE(mg),ASH(g),CA(mg),CU(mg),FE(mg),K(mg),MG(mg),NA(mg),P(mg),ZN(mg),ID(mcg),SE(mcg),RETOL(mcg),CARTB(mcg),CHOCAL(mcg),TOCPHA(mg),THIA(mg),RIBF(mg),NIAEQ(mg),NIA(mg),PANTAC(mg),VITB6C(mg),FOL(mcg),VITB12(mcg),VITC(mg),ALA(mg),ARG(mg),ASP(mg),CYS(mg),GLU(mg),GLY(mg),HIS(mg),ILE(mg),LEU(mg),LYS(mg),MET(mg),PHE(mg),PRO(mg),SER(mg),THR(mg),TRP(mg),TYR(mg),VAL(mg),XFA,FACID(g),FASAT(g),FAMS(g),FAPU(g),FAUN(g),FATRN(g),FAPUN3(g),FAPUN6(g),F4D0(g),F6D0(g),F8D0(g),F10D0(g),F12D0(g),F13D0(g),F14D0(g),F15D0(g),F16D0(g),F17D0(g),F18D0(g),F19D0(g),F20D0(g),F21D0(g),F22D0(g),F23D0(g),F24D0(g),F26D0(g),F30D0(g),F10D1(g),F14D1N7(g),F14D1(g),F15D1(g),F16D1N9(g),F16D1N7(g),F16D1N5(g),F16D1C(g),F16D1T(g),F16D1(g),F17D1N9(g),F17D1N7(g),F17D1C(g),F17D1(g),F18D1N11(g),F18D1CN9(g),F18D1TN9(g),F18D1N9(g),F18D1CN7(g),F18D1N7(g),F18D1N5(g),F18D1C(g),F18D1T(g),F18D1(g),F19D1(g),F20D1CN11(g),F20D1N11(g),F20D1CN9(g),F20D1N9(g),F20D1N7(g),F20D1C(g),F20D1(g),F22D1N11(g),F22D1N9(g),F22D1C(g),F22D1T(g),F22D1(g),F24D1N9(g),F24D1C(g),F24D1(g),F16D2N6(g),F16D2N4(g),F16D2(g),F17D2(g),F18D2CN6(g),F18D2N6(g),F18D2CLA(g),F18D2C(g),F18D2T(g),F18D2(g),F20D2N9(g),F20D2CN6(g),F20D2N6(g),F20D2C(g),F20D2(g),F22D2N6(g),F22D2(g),F16D3N3(g),F16D3(g),F18D3CN6(g),F18D3N6(g),F18D3N4(g),F18D3CN3(g),F18D3N3(g),F18D3(g),F20D3N9(g),F20D3CN6(g),F20D3N6(g),F20D3N3(g),F20D3(g),F22D3N6(g),F22D3(g),F16D4N3(g),F16D4C(g),F16D4(g),F18D4CN3(g),F18D4N3(g),F18D4(g),F20D4CN6(g),F20D4N6(g),F20D4N3(g),F20D4(g),F22D4CN6(g),F22D4N6(g),F22D4N3(g),F22D4(g),F20D5CN3(g),F20D5N3(g),F20D5(g),F21D5N3,F21D5(g),F22D5N6(g),F22D5CN3(g),F22D5N3(g),F22D5(g),F22D6CN3(g),F22D6N3(g),F22D6(g),F24D6N3(g),F24D6(g)
,,,,"W: wild, F: farmed",r: raw; c: cooked; p: processed/preserved,Reference ID,"Edible coefficient, from whole to fillet/flesh","Edible coefficient, from purchased to portion as consumed",Energy (kJ),Energy (kcal),Water,"Nitrogen, total","Protein, total","Fat, total",Available carbohydrates,"Fiber, total dietary",Cholesterol,Ash,Calcium,Copper,Iron,Potassium,Magnesium,Sodium,Phosphorus,Zinc,Iodine,Selenium,Retinol,beta-Carotene,Cholecalciferol (D3),alpha-Tocopherol,Thiamin,Riboflavin  ,"Niacin, equivalents",Niacin,Pantothenic acid,Vitamin B6,"Folate, total",Vitamin B12,Vitamin C,Alanine,Arginine,Asparatic aci ,Cystine,Glutamic acid,Glycine,Histidine,Isoleucin,Leucine,Lysine,Methionine,Phenylalanine,Proline,Serine,Threonine,Tryptophan,Tyrosine,Valine,Fatty acid conversion factor,"Fatty acids, total","Saturated fatty acids, total","Monounsaturated fatty acids, total","Polyunsaturated fatty acids, total","Fatty acids, not-identified","Fatty acids, trans, total","Fatty acids, total n-3 polyunsaturated","Fatty acids, total n-6 polyunsaturated",Fatty acid 4:0,Fatty acid 6:0,Fatty acid 8:0,Fatty acid 10:0,Fatty acid 12:0,Fatty acid 13:0,Fatty acid 14:0,Fatty acid 15:0,Fatty acid 16:0,Fatty acid 17:0,Fatty acid 18:0,Fatty acid 19:0,Fatty acid 20:0,Fatty acid 21:0,Fatty acid 22:0,Fatty acid 23:0,Fatty acid 24:0,Fatty acid 26:0,Fatty acid 30:0,Fatty acid 10:1,Fatty acid 14:1 n-7,Fatty acid 14:1,Fatty acid 15:1,Fatty acid 16:1 n-9,Fatty acid 16:1 n-7,Fatty acid 16:1 n-5,Fatty acid 16:1 cis,Fatty acid 16:1 trans,Fatty acid 16:1,Fatty acid 17:1 n-9,Fatty acid 17:1 n-7,Fatty acid 17:1 cis,Fatty acid 17:1,Fatty acid 18:1 n-11,Fatty acid 18:1 cis n-9,Fatty acid 18:1 trans n-9,Fatty acid 18:1 n-9,Fatty acid 18:1 cis n-7,Fatty acid 18:1 n-7,Fatty acid 18:1 n-5,Fatty acid 18:1 cis,Fatty acid 18:1 trans,Fatty acid 18:1,Fatty acid 19:1,Fatty acid 20:1 cis n-11,Fatty acid 20:1 n-11,Fatty acid 20:1 cis n-9,Fatty acid 20:1 n-9,Fatty acid 20:1 n-7,Fatty acid 20:1 cis,Fatty acid 20:1,Fatty acid 22:1 n-11,Fatty acid 22:1 n-9,Fatty acid 22:1 cis,Fatty acid 22:1 trans,Fatty acid 22:1,Fatty acid 24:1 n-9,Fatty acid 24:1 cis,Fatty acid 24:1,Fatty acid 16:2 n-6,Fatty acid 16:2 n-4,Fatty acid 16:2,Fatty acid 17:2,Fatty acid 18:2 cis n-6,Fatty acid 18:2 n-6,Fatty acid 18:2 conjugated,Fatty acid 18:2 cis,Fatty acid 18:2 trans,Fatty acid 18:2,Fatty acid 20:2 n-9,Fatty acid 20:2 cis n-6,Fatty acid 20:2 n-6,Fatty acid 20:2 cis,Fatty acid 20:2,Fatty acid 22:2 n-6,Fatty acid 22:2,Fatty acid 16:3 n-3,Fatty acid 16:3,Fatty acid 18:3 cis n-6,Fatty acid 18:3 n-6,Fatty acid 18:3 n-4,Fatty acid 18:3 cis n-3,Fatty acid 18:3 n-3,Fatty acid 18:3,Fatty acid 20:3 n-9,Fatty acid 20:3 cis n-6,Fatty acid 20:3 n-6,Fatty acid 20:3 n-3,Fatty acid 20:3,Fatty acid 22:3 n-6,Fatty acid 22:3,Fatty acid 16:4 n-3,Fatty acid 16:4 cis,Fatty acid 16:4,Fatty acid 18:4 cis n-3,Fatty acid 18:4 n-3,Fatty acid 18:4,Fatty acid 20:4 cis n-6,Fatty acid 20:4 n-6,Fatty acid 20:4 n-3,Fatty acid 20:4,Fatty acid 22:4 cis n-6,Fatty acid 22:4 n-6,Fatty acid 22:4 n-3,Fatty acid 22:4,Fatty acid 20:5 cis n-3,Fatty acid 20:5 n-3,Fatty acid 20:5,Fatty acid 21:5 n-3,Fatty acid 21:5,Fatty acid 22:5 n-6,Fatty acid 22:5 cis n-3,Fatty acid 22:5 n-3,Fatty acid 22:5,Fatty acid 22:6 cis n-3,Fatty acid 22:6 n-3,Fatty acid 22:6,Fatty acid 24:6 n-3,Fatty acid 24:6
091001,12,TLN,"Nile tilapia, fillet, raw (n.s.)",,r,"fi002, fi015, fi017, fi023, fi028, fi074, fi100, fi118, fi157, fi277, fi435, fi244, fi266, fi333, fi435, fi465, fi445, UK7-16-154, CIQ12-Nile tilapia, CRY-Tilapia, SR27-15261, WF",0.30,1,391,93,79.5,2.93,18.3,2.1,0,0,42,1.0,15,0.06,0.8,344,26,37,180,0.44,5,24,1,tr,20,0.81,0.04,0.06,6.7,3.5,0.68,0.21,13,1.3,tr,1110,1160,2100,201,2930,951,429,848,1460,1650,541,739,690,742,867,192,620,885,0.87,1.86,0.69,0.56,0.62,0,,0.19,,,,,,0.01,tr,0.06,0.02,0.41,0.02,0.14,,0.01,0.01,0.01,0,0.01,,,,,0.01,0.01,,,,,,0.10,,,,0.01,,,,,,,,,,0.39,,,,,,,,0.02,,,,,tr,,,0.01,,,tr,tr,,,,,,0.14,,,,,0.02,,0.01,,,,,,,,0.04,,,,,0.02,,,,,,,,0.01,,,,0.08,,,,0.04,,0.04,0.04,,tr,,,,0.07,,0.15,0.15,,
091067,12,TLN,"Nile tilapia, fillet, steamed (n.s.)",,c,calc. from 091001,0.30,1,449,106,76.5,3.37,21.1,2.5,0,0,48,1.1,17,0.06,0.7,296,25,36,176,0.51,5.0,25,1,tr,21,0.93,0.03,0.05,6.5,2.8,0.55,0.16,11,1.2,tr,1280,1340,2410,231,3370,1090,493,975,1680,1900,622,849,794,852,996,220,713,1020,0.88,2.16,0.80,0.65,0.71,0,,0.22,,,,,,0.01,tr,0.07,0.02,0.47,0.03,0.16,,0.01,0.01,0.01,0,0.01,,,,,0.01,0.01,,,,,,0.12,,,,0.01,,,,,,,,,,0.46,,,,,,,,0.02,,,,,tr,,,0.01,,,tr,tr,,,,,,0.16,,,,,0.02,,0.01,,,,,,,,0.05,,,,,0.03,,,,,,,,0.01,,,,0.10,,,,0.04,,0.04,0.04,,tr,,,,0.08,,0.17,0.17,,
091128,12,TLN,"Nile tilapia, fillet, boiled in recipe (n.s.)",,c,calc. from 091001,0.30,1,449,106,76.5,3.37,21.1,2.5,0,0,48,1.1,17,0.06,0.9,395,30,42,207,0.51,5.5,28,1,tr,21,0.93,0.04,0.07,7.5,3.8,0.66,0.20,13,1.4,tr,1280,1340,2410,231,3370,1090,493,975,1680,1900,622,849,794,852,996,220,713,1020,0.88,2.16,0.80,0.65,0.71,0,,0.22,,,,,,0.01,tr,0.07,0.02,0.47,0.03,0.16,,0.01,0.01,0.01,0,0.01,,,,,0.01,0.01,,,,,,0.12,,,,0.01,,,,,,,,,,0.46,,,,,,,,0.02,,,,,tr,,,0.01,,,tr,tr,,,,,,0.16,,,,,0.02,,0.01,,,,,,,,0.05,,,,,0.03,,,,,,,,0.01,,,,0.10,,,,0.04,,0.04,0.04,,tr,,,,0.08,,0.17,0.17,,
091189,12,TLN,"Nile tilapia, fillet, grilled (n.s.)",,c,calc. from 091001,0.30,1,495,117,74.1,3.71,23.2,2.7,0,0,53,1.2,18,0.07,0.8,370,30,40,205,0.56,6.1,30,1,tr,23,1.0,0.04,0.07,7.8,3.8,0.76,0.23,13,1.5,tr,1410,1470,2650,254,3710,1200,543,1070,1850,2090,685,935,874,939,1100,242,785,1120,0.88,2.39,0.89,0.72,0.79,0,,0.24,,,,,,0.01,tr,0.07,0.02,0.52,0.03,0.18,,0.01,0.01,0.01,0,0.01,,,,,0.01,0.02,,,,,,0.13,,,,0.01,,,,,,,,,,0.50,,,,,,,,0.02,,,,,tr,,,0.01,,,tr,tr,,,,,,0.18,,,,,0.02,,0.01,,,,,,,,0.05,,,,,0.03,,,,,,,,0.01,,,,0.11,,,,0.05,,0.05,0.05,,tr,,,,0.09,,0.19,0.19,,
091002,12,TLN,"Nile tilapia, farmed, fillet, raw (n.s.)",F,r,"fi015, fi074, fi277, fi244, fi266, fi465, CIQ12-Nile tilapia, 091001, SR27-15261",0.30,1,408,97,78.1,2.90,18.1,2.7,0,0,43,1.0,15,0.05,0.8,308,27,33,160,0.45,5,24,1,tr,20,0.81,0.04,0.05,6.8,3.6,0.68,0.21,13,1.1,tr,1100,1150,2080,199,2900,942,425,840,1450,1640,536,732,684,735,858,190,614,876,0.88,2.36,0.87,0.80,0.69,0,,0.10,0.35,,,,,tr,,0.12,tr,0.57,0.01,0.14,,0.01,tr,tr,0,tr,,,,,tr,,,,,,,0.10,,,,,,,,0.66,,,,,,0.66,,,,,,,,0.03,,,,,0.01,,,0.01,,,,,,0.35,,,,0.35,,,,,0.07,,,,,,,,,,0.07,,,,,0.03,,,,,,,,tr,,,,0.03,,,,,,0.02,0.02,,,,,,0.04,,0.07,0.07,,
091068,12,TLN,"Nile tilapia, farmed, fillet, steamed (n.s.)",F,c,calc. from 091002,0.30,1,469,111,74.8,3.34,20.9,3.1,0,0,50,1.2,17,0.06,0.8,266,26,32,156,0.52,5.2,25,1,tr,21,0.93,0.03,0.04,6.6,2.9,0.55,0.16,11,0.99,tr,1270,1330,2390,228,3340,1080,488,966,1670,1880,616,841,786,844,987,218,706,1010,0.89,2.74,1.01,0.93,0.80,0,,0.11,0.40,,,,,tr,,0.14,tr,0.66,0.01,0.17,,0.01,tr,tr,0,tr,,,,,tr,,,,,,,0.12,,,,,,,,0.76,,,,,,0.76,,,,,,,,0.03,,,,,0.01,,,0.01,,,,,,0.40,,,,0.40,,,,,0.09,,,,,,,,,,0.08,,,,,0.03,,,,,,,,tr,,,,0.04,,,,,,0.03,0.03,,,,,,0.05,,0.09,0.09,,
091129,12,TLN,"Nile tilapia, farmed, fillet, boiled in recipe (n.s.)",F,c,calc. from 091002,0.30,1,469,111,74.8,3.34,20.9,3.1,0,0,50,1.2,17,0.06,0.9,354,31,38,184,0.52,5.7,28,1,tr,21,0.93,0.03,0.06,7.6,4.0,0.66,0.20,13,1.1,tr,1270,1330,2390,228,3340,1080,488,966,1670,1880,616,841,786,844,987,218,706,1010,0.89,2.74,1.01,0.93,0.80,0,,0.11,0.40,,,,,tr,,0.14,tr,0.66,0.01,0.17,,0.01,tr,tr,0,tr,,,,,tr,,,,,,,0.12,,,,,,,,0.76,,,,,,0.76,,,,,,,,0.03,,,,,0.01,,,0.01,,,,,,0.40,,,,0.40,,,,,0.09,,,,,,,,,,0.08,,,,,0.03,,,,,,,,tr,,,,0.04,,,,,,0.03,0.03,,,,,,0.05,,0.09,0.09,,
091190,12,TLN,"Nile tilapia, farmed, fillet, grilled (n.s.)",F,c,calc. from 091002,0.30,1,516,122,72.2,3.67,23.0,3.4,0,0,55,1.3,18,0.06,0.9,332,30,36,182,0.57,6.3,30,1,tr,23,1.0,0.04,0.05,7.9,3.9,0.76,0.23,13,1.2,tr,1400,1460,2630,252,3680,1190,538,1060,1830,2070,678,926,866,930,1090,240,778,1110,0.89,3.03,1.11,1.03,0.89,0,,0.12,0.44,,,,,tr,,0.15,tr,0.73,0.01,0.18,,0.01,tr,tr,0,tr,,,,,tr,,,,,,,0.13,,,,,,,,0.84,,,,,,0.84,,,,,,,,0.03,,,,,0.01,,,0.02,,,,,,0.44,,,,0.44,,,,,0.10,,,,,,,,,,0.09,,,,,0.04,,,,,,,,tr,,,,0.04,,,,,,0.03,0.03,,,,,,0.05,,0.09,0.09,,
091003,12,TLN,"Nile tilapia, farmed, fillet w/o skin, raw (China)",F,r,"fi074, fi244, fi266, 091001, SR27-15261",0.30,1,367,87,80,2.79,17.5,1.9,0,0,43,1,13,0.04,0.2,318,27,28,156,0.33,5,23,1,tr,20,0.81,0.04,0.05,6.7,3.6,0.68,0.21,13,1.1,tr,1060,1110,2000,191,2790,907,409,809,1390,1570,516,704,658,707,826,183,591,843,0.86,1.63,0.55,0.58,0.49,0.02,,0.05,0.25,,,,,tr,,0.05,tr,0.38,0.01,0.09,,tr,tr,tr,0,tr,,,,,tr,,,,,,,0.07,,,,,,,,0.47,,,,,,0.47,,,,,,,,0.02,,,,,tr,,,0.01,,,,,,0.25,,,,0.25,,,,,0.05,,,,,,,,,,0.06,,,,,0.02,,,,,,,tr,tr,,,,0.03,,,,,,tr,tr,,,,,,0.03,,0.04,0.04,,
