"","species","taxon","max_size","max_length","TL","CA_mg","EPA_g","DHA_g","FE_mg","ZN_mg","HG_mcg","FAT","PROTCNT_g","lwA","lwB","Habitat","Subgroup","Abs_lat","StockCode","DietTroph","DietSeTroph","FoodTroph","FoodSeTroph","SpecCode"
"1","Abramis brama","Carps, barbels and other cyprinids",8.90007469420244,82,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00871,3.14,"marine","Finfish",53.875369,NA,3.05,0.139,3.15000009536743,0.5281,268
"2","Abramis brama","Carps, barbels and other cyprinids",8.90007469420244,82,2.9,11.6,NA,NA,0.17,0.39294,NA,NA,NA,0.00871,3.14,"freshwater","Finfish",54.084241,NA,3.05,0.139,3.15000009536743,0.5281,268
"3","Abramis brama","Carps, barbels and other cyprinids",8.90007469420244,82,2.9,53,NA,NA,0.6,1,61,NA,138,0.00871,3.14,"freshwater","Finfish",41.53,NA,3.05,0.139,3.15000009536743,0.5281,268
"4","Abramis brama","Carps, barbels and other cyprinids",8.90007469420244,82,2.9,20.92,NA,NA,0.21,0.373252,NA,NA,NA,0.00871,3.14,"freshwater","Finfish",54.00394,NA,3.05,0.139,3.15000009536743,0.5281,268
"5","Abramis brama","Carps, barbels and other cyprinids",8.90007469420244,82,2.9,11.46,NA,NA,0.18,0.372708,NA,NA,NA,0.00871,3.14,"freshwater","Finfish",54.117096,NA,3.05,0.139,3.15000009536743,0.5281,268
"6","Abramis brama","Carps, barbels and other cyprinids",8.90007469420244,82,2.9,12.11,NA,NA,0.19,0.36618,NA,NA,NA,0.00871,3.14,"freshwater","Finfish",54.117096,NA,3.05,0.139,3.15000009536743,0.5281,268
"7","Abramis brama","Carps, barbels and other cyprinids",8.90007469420244,82,2.9,52,NA,NA,0.7,0.9,25,NA,180,0.00871,3.14,"freshwater","Finfish",41.53,NA,3.05,0.139,3.15000009536743,0.5281,268
"8","Abramis brama","Carps, barbels and other cyprinids",8.90007469420244,82,2.9,NA,0.09322,0.12087,NA,NA,NA,1,NA,0.00871,3.14,"freshwater","Finfish",41.53,NA,3.05,0.139,3.15000009536743,0.5281,268
"9","Abramis brama","Carps, barbels and other cyprinids",8.90007469420244,82,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00871,3.14,"marine","Finfish",61.92411,NA,3.05,0.139,3.15000009536743,0.5281,268
"10","Ageneiosus inermis","Miscellaneous freshwater fishes",2.45121049059286,59,4,NA,0.001647504,0.021005676,NA,NA,NA,0.36,92,0.0055,3.19,"freshwater","Finfish",19.427757,NA,NA,NA,3.98,0.66,47969
"11","Albatrossia pectoralis","Cods, hakes, haddocks",35.9594366751993,210,4.3,NA,0.018676001,0.033661436,NA,NA,NA,NA,NA,0.00102,3.25,"marine","Finfish",57.79,NA,4.3,0.66,3.86,0.57,8435
"12","Alectis alexandrina","Miscellaneous pelagic fishes",NA,70,3.6,NA,0.071736104,0.10450176,NA,NA,NA,1.32,NA,NA,NA,"marine","Finfish",37.370157,NA,NA,NA,3.6,0.59,1888
"13","Alepocephalus bairdii","Miscellaneous demersal fishes",6.76265706879437,100,3.7,NA,NA,NA,NA,NA,NA,NA,3,0.00513,3.06,"marine","Finfish",57.596278,NA,NA,NA,3.69,0.54,230
"14","Alepocephalus australis","Miscellaneous demersal fishes",4.63956715804349,79,3.4,NA,NA,NA,NA,NA,NA,NA,5,0.00724,3.06,"marine","Finfish",71.706936,NA,NA,NA,NA,NA,9172
"15","Alosa alosa","Shads",2.78599417907132,68,3.62,NA,0.670366968,1.859680295,NA,NA,NA,15.91,249,0.0096,2.980999947,"marine","Finfish",42.163403,NA,2.95,0.179,3.62,0.53,101
"16","Alosa sapidissima","Shads",1.30797837810506,62,3.19,14.4,NA,NA,0.94,0.3792,55,NA,NA,0.0065,2.959000111,"freshwater","Finfish",45.993164,NA,3.48,0.32,3.60999989509582,0.56,1584
"17","Aluterus monoceros","Miscellaneous coastal fishes",NA,76.2,3.5,NA,0.3231,1.09136,NA,NA,NA,3.59,NA,NA,NA,"marine","Finfish",23.372169,NA,3.84,NA,2.93,0.39,4274
"18","Parambassis wolffii","Miscellaneous coastal fishes",0.0102199229734787,8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.01955,3.01,"marine","Finfish",24.4333,NA,NA,NA,3.72,0.58,16235
"19","Parambassis wolffii","Miscellaneous coastal fishes",0.0102199229734787,8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.01955,3.01,"marine","Finfish",24.4333,NA,NA,NA,3.72,0.58,16235
