term,wip,V1,V2,V3,estimate,lower,upper
body_partmuscle,1.00,+,+,+,0.97,-0.30,2.25
body_partmuscle_organs,1.00,+,+,+,2.75,1.42,4.08
log_length,0.67,-0.29,NA,-0.34,-0.30,-1.20,0.60
bulk_trophic_level,0.83,0.50,0.75,NA,0.60,-0.52,1.73
feeding_modepredator,0.50,NA,+,+,-0.12,-1.18,0.95
feeding_modevariable,0.50,NA,+,+,0.54,-0.62,1.69
DemersPelag,NA,NA,NA,NA,NA,NA,NA
EnvTemp,NA,NA,NA,NA,NA,NA,NA
realm,NA,NA,NA,NA,NA,NA,NA
R2.R2_pred,NA,0.54,0.56,0.55,NA,NA,NA
delta,NA,0.00,0.84,2.09,NA,NA,NA
weight,NA,0.46,0.30,0.16,NA,NA,NA
cum_weight,NA,0.46,0.76,0.92,NA,NA,NA
