Culture	Abbreviation	Region	Location	Species in diet
Abenaki	AB	Northeast	Quebec; Maine	29
Bella Coola	BC	Northwest Coast	British Columbia	40
Central Salish	CS	Northwest Coast	British Columbia; Washington	42
Cree	CR	Subarctic	Labrador; Quebec; Ontario; Manitoba; Saskatchewan; Alberta	27
Haida	HA	Northwest Coast	British Columbia; Alaska	36
Inuit-Inupiaq	II	Arctic	Alaska; Northwest Territories; Nunavut; Nunavik; Quebec; Labrador	52
Kwakiutl	KW	Northwest Coast	British Columbia	40
Micmac	MI	Northeast	Nova Scotia; New Brunswick; Quebec; Newfoundland	57
Montagnais-Naskapi	MN	Subarctic	Labrador; Quebec	25
Nootkan	NO	Northwest Coast	British Columbia; Washington	49
Tlingit	TL	Northwest Coast	British Columbia; Yukon; Alaska	51
Tsimshian	TS	Northwest Coast	British Columbia; Alaska	41
Wampanoag	WA	Northeast	Massachusetts	35
Yupik	YU	Arctic	Alaska	38
