term,V1,V2,estimate,lower,upper,wip
body_partmuscle,+,+,-2.0365050922235985,-3.007547486199023,-1.065462698248174,1
body_partmuscle_organs,+,+,-1.445084782251922,-2.59167462535589,-0.2984949391479541,1
feeding_modepredator,+,+,-0.3311490322574522,-0.9634640712734371,0.3011660067585328,1
feeding_modevariable,+,+,-0.4542798369564646,-1.1772105338360066,0.2686508599230773,1
log_length, 0.02576022,-0.03223299,-0.001572708224267371,-0.21080729131342024,0.20766187486488552,1
DemersPelagdemersal,+,NA,-0.0054665437585725545,-0.3768744585820199,0.36594137106487484,0.528687427297101
DemersPelagpelagic-neritic,+,NA,0.6642690062829815,0.14412435488449082,1.184413657681472,0.528687427297101
DemersPelagpelagic-oceanic,+,NA,0.23601695809821308,-0.3482062440243855,0.8202401602208117,0.528687427297101
bulk_trophic_level,0.03707691,0.07579040,0.05532306375905806,-0.1677342258640972,0.27838035338221334,1
realmfresh,+,+,-0.951917133215727,-1.7571108355291394,-0.14672343090231466,1
realmfreshbrack,+,+,-1.3209781726217635,-2.023908539793376,-0.6180478054501514,1
realmfreshbrackmarine,+,+,-0.12140842402293567,-0.7148849259061207,0.47206807786024935,1
realmmarine,+,+,0.028927883613546437,-0.3491189663717181,0.4069747335988109,1
EnvTempsubtropical,+,+,0.2651195900545534,-0.2880061086225882,0.8182452887316949,1
EnvTemptemperate,+,+,0.3556708130614177,-0.19357508148788194,0.9049167076107173,1
EnvTemptropical,+,+,-0.09290259010500124,-0.8379223979381658,0.6521172177281633,1
R2.R2_pred,0.4216265,0.4261582,NA,NA,NA,NA
delta,0.0000000,0.2297517,NA,NA,NA,NA
weight,0.5022171,0.4477149,NA,NA,NA,NA
cum_weight,0.5022171,0.9499320,NA,NA,NA,NA
