term,wip,1,2,3,4,4,5,7,8,estimate,lower,upper
body_partmuscle,1.00,+,+,+,+,+,+,+,+,-0.75,-1.45,-0.05
body_partmuscle_organs,1.00,+,+,+,+,+,+,+,+,0.04,-0.77,0.86
log_length,0.76,-0.21,,-0.13,-0.16,-0.13,-0.19,,,-0.19,-0.41,0.02
bulk_trophic_level,0.80,0.14,0.17,,,,0.15,0.08,0.19,0.15,-0.06,0.35
feeding_modepredator,0.35,,+,+,,,,,+,-0.26,-1.08,0.57
feeding_modevariable,0.35,,+,+,,,,,+,0.25,-0.60,1.10
EnvTemppolar,0.05,,,,+,,,,,-0.20,-1.19,0.80
EnvTempsubtropical,0.05,,,,+,,,,,0.30,-0.55,1.16
EnvTemptemperate,0.05,,,,+,,,,,-0.18,-0.98,0.62
EnvTemptropical,0.05,,,,+,,,,,-0.04,-0.90,0.82
DemersPelagdemersal,0.08,,,,,+,+,+,+,0.03,-0.40,0.46
DemersPelagpelagic-neritic,0.08,,,,,+,+,+,+,0.24,-0.35,0.84
DemersPelagpelagic-oceanic,0.08,,,,,+,+,+,+,-0.09,-0.77,0.59
realm,,,,,,,,,,,,
R2,,0.16,0.16,0.16,0.17,0.15,0.16,0.14,0.17,,,
delta AIC,,0.00,1.86,2.83,4.90,5.88,6.04,7.07,7.16,,,
Akaike weight,,0.50,0.20,0.12,0.04,0.03,0.02,0.01,0.01,,,
cumulative Akaike weight,,0.50,0.70,0.82,0.86,0.89,0.91,0.93,0.94,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
