term,V1,V2,estimate,lower,upper,wip
body_partmuscle,+,+,-2.2729092758460694,-2.841287225530645,-1.7045313261614938,1
body_partmuscle_organs,+,+,-1.9214580664786,-2.6050273889742397,-1.2378887439829604,1
feeding_modepredator,+,NA,-0.37467615727378084,-0.8342102202817521,0.08485790573419033,0.907672159778482
feeding_modevariable,+,NA,0.17457236689564387,-0.3769820939410193,0.726126827732307,0.907672159778482
EnvTemppolar,+,+,-0.09673684641352981,-0.8288265860018451,0.6353528931747854,1
EnvTempsubtropical,+,+,0.5009816763493772,-0.1061406961260829,1.1081040488248373,1
EnvTemptemperate,+,+,0.17430565162556064,-0.4091207912380769,0.7577320944891982,1
EnvTemptropical,+,+,1.0074653498382562,0.37178373798815645,1.6431469616883558,1
bulk_trophic_level,NA,-0.1343825,-0.13438251437578352,-0.2592274132328166,-0.009537615518750417,0.0923278402215179
DemersPelag,NA,NA,NA,NA,NA,NA
log_length,NA,NA,NA,NA,NA,NA
realm,NA,NA,NA,NA,NA,NA
R2.R2_pred,0.5567823,0.5276895,NA,NA,NA,NA
delta,0.000000,4.571075,NA,NA,NA,NA
weight,0.81475688,0.08287656,NA,NA,NA,NA
cum_weight,0.8147569,0.8976334,NA,NA,NA,NA
